地域コード,都道府県,市町村,地域,地区,年次,総数(ha),田(ha),畑(ha),樹園地(ha)
05212,秋田県,大仙市,市内全域,全域,1975(昭和50),19635,18059,1515,61
05212,秋田県,大仙市,市内全域,全域,1980(昭和55),20047,18572,1382,93
05212,秋田県,大仙市,市内全域,全域,1985(昭和60),20027,18581,1348,98
05212,秋田県,大仙市,市内全域,全域,1990(平成2),19546,18247,1186,113
052124,秋田県,大仙市,市内全域,全域,1995(平成7),19020,17680,1248,92
052124,秋田県,大仙市,市内全域,全域,2000(平成12),18792,17510,1235,47
052124,秋田県,大仙市,市内全域,全域,2005(平成17),17560,16665,865,30
052124,秋田県,大仙市,市内全域,全域,2010(平成22),14605,13768,813,24
052124,秋田県,大仙市,市内全域,全域,2015(平成27),13715,13043,646,26
052124,秋田県,大仙市,市内全域,全域,2020(令和2),16503,15680,798,25
052124,秋田県,大仙市,大曲地域,全域,1975(昭和50),4236,3940,276,19
052124,秋田県,大仙市,大曲地域,大曲,1975(昭和50),674,640,34,0
052124,秋田県,大仙市,大曲地域,花館,1975(昭和50),513,461,43,10
052124,秋田県,大仙市,大曲地域,内小友,1975(昭和50),798,727,64,4
052124,秋田県,大仙市,大曲地域,大川西根,1975(昭和50),422,386,36,1
052124,秋田県,大仙市,大曲地域,藤木,1975(昭和50),529,512,17,0
052124,秋田県,大仙市,大曲地域,四ツ屋,1975(昭和50),910,840,70,0
052124,秋田県,大仙市,大曲地域,角間川,1975(昭和50),390,374,14,3
052124,秋田県,大仙市,大曲地域,全域,1980(昭和55),4242,4010,216,16
052124,秋田県,大仙市,大曲地域,大曲,1980(昭和55),658,628,30,0
052124,秋田県,大仙市,大曲地域,花館,1980(昭和55),500,460,31,10
052124,秋田県,大仙市,大曲地域,内小友,1980(昭和55),787,740,44,3
052124,秋田県,大仙市,大曲地域,大川西根,1980(昭和55),420,393,26,0
052124,秋田県,大仙市,大曲地域,藤木,1980(昭和55),526,512,13,0
052124,秋田県,大仙市,大曲地域,四ツ屋,1980(昭和55),952,891,60,1
052124,秋田県,大仙市,大曲地域,角間川,1980(昭和55),400,385,12,3
052124,秋田県,大仙市,大曲地域,全域,1985(昭和60),4170,3951,203,16
052124,秋田県,大仙市,大曲地域,大曲,1985(昭和60),615,588,27,0
052124,秋田県,大仙市,大曲地域,花館,1985(昭和60),504,463,32,9
052124,秋田県,大仙市,大曲地域,内小友,1985(昭和60),781,734,43,4
052124,秋田県,大仙市,大曲地域,大川西根,1985(昭和60),417,391,26,0
052124,秋田県,大仙市,大曲地域,藤木,1985(昭和60),508,497,11,0
052124,秋田県,大仙市,大曲地域,四ツ屋,1985(昭和60),943,889,53,1
052124,秋田県,大仙市,大曲地域,角間川,1985(昭和60),403,389,11,3
052124,秋田県,大仙市,大曲地域,全域,1990(平成2),4069,3899,155,14
052124,秋田県,大仙市,大曲地域,大曲,1990(平成2),592,575,18,0
052124,秋田県,大仙市,大曲地域,花館,1990(平成2),478,448,22,9
052124,秋田県,大仙市,大曲地域,内小友,1990(平成2),769,730,35,3
052124,秋田県,大仙市,大曲地域,大川西根,1990(平成2),410,393,17,0
052124,秋田県,大仙市,大曲地域,藤木,1990(平成2),499,490,9,0
052124,秋田県,大仙市,大曲地域,四ツ屋,1990(平成2),943,897,46,0
052124,秋田県,大仙市,大曲地域,角間川,1990(平成2),377,367,8,2
052124,秋田県,大仙市,大曲地域,全域,1995(平成7),3900,3732,154,14
052124,秋田県,大仙市,大曲地域,大曲,1995(平成7),554,539,15,0
052124,秋田県,大仙市,大曲地域,花館,1995(平成7),459,425,25,9
052124,秋田県,大仙市,大曲地域,内小友,1995(平成7),740,706,30,3
052124,秋田県,大仙市,大曲地域,大川西根,1995(平成7),395,380,15,0
052124,秋田県,大仙市,大曲地域,藤木,1995(平成7),483,472,11,0
052124,秋田県,大仙市,大曲地域,四ツ屋,1995(平成7),907,856,49,1
052124,秋田県,大仙市,大曲地域,角間川,1995(平成7),363,354,9,0
052124,秋田県,大仙市,大曲地域,全域,2000(平成12),3811,3655,146,10
052124,秋田県,大仙市,大曲地域,大曲,2000(平成12),514,500,14,0
052124,秋田県,大仙市,大曲地域,花館,2000(平成12),440,413,21,6
052124,秋田県,大仙市,大曲地域,内小友,2000(平成12),745,716,27,2
052124,秋田県,大仙市,大曲地域,大川西根,2000(平成12),381,369,12,0
052124,秋田県,大仙市,大曲地域,藤木,2000(平成12),483,471,10,2
052124,秋田県,大仙市,大曲地域,四ツ屋,2000(平成12),906,853,53,0
052124,秋田県,大仙市,大曲地域,角間川,2000(平成12),341,333,8,0
052124,秋田県,大仙市,大曲地域,全域,2005(平成17),3665,3534,121,9
052124,秋田県,大仙市,大曲地域,大曲,2005(平成17),478,468,10,0
052124,秋田県,大仙市,大曲地域,花館,2005(平成17),430,402,21,7
052124,秋田県,大仙市,大曲地域,内小友,2005(平成17),686,664,21,1
052124,秋田県,大仙市,大曲地域,大川西根,2005(平成17),374,361,13,0
