地域コード,都道府県名,市町村名,年度,全国花火競技大会（千人）,"秋の稔り
フェア（千人）","新作花火
コレクション（千人）",夏まつり大曲（千人）,"神岡南外
花火大会（千人）","刈和野
大綱引き（千人）","ドンパン
まつり（千人）","ジャンボうさぎ
フェスティバル（千人）","長野神社
祭典（千人）"
052124,秋田県,大仙市,2001,640,85,25,21,10,7,55,25,10
052124,秋田県,大仙市,2002,580,80,25,16,10,6,50,28,11
052124,秋田県,大仙市,2003,630,100,22,20,6,6,50,30,10
052124,秋田県,大仙市,2004,700,-,25,22,6,6,50,25,10
052124,秋田県,大仙市,2005,680,73,30,22,6,7,55,25,9
052124,秋田県,大仙市,2006,750,151,27,20,10,6,52,28,9
052124,秋田県,大仙市,2007,760,65,30,18,10,7,35,35,9
052124,秋田県,大仙市,2008,650,70,33,22,12,6,40,35,9
052124,秋田県,大仙市,2009,680,70,30,25,10,6,50,25,9
052124,秋田県,大仙市,2010,800,42,33,21,10,6,50,26,9
052124,秋田県,大仙市,2011,700,38,25,20,12,7,50,10,8
052124,秋田県,大仙市,2012,760,35,28,101,12,7,30,5,10
052124,秋田県,大仙市,2013,760,33,30,113,13,7.5,40,4,12
052124,秋田県,大仙市,2014,720,34,34,98,14,7,40,6,13
052124,秋田県,大仙市,2015,710,31,35,99,15,7,40,7,13
052124,秋田県,大仙市,2016,740,36,28,106,11,8,45,9,10
052124,秋田県,大仙市,2017,740,34,31,127,13,7,46,8,7
052124,秋田県,大仙市,2018,750,48,32,123,14,7,28,8,7
052124,秋田県,大仙市,2019,750,30,10,122,14,8,-,-,7
052124,秋田県,大仙市,2020,-,7,-,-,-,7,-,-,-
052124,秋田県,大仙市,2021,-,-,1,-,-,-,-,-,-
