市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,ライセンス,登録日,最終更新日,備考
052019,0000000001,秋田県,秋田市,位置と面積,秋田市役所の位置と秋田市の面積,excel,国土・気象,変更があった場合,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-01-24,
052019,0000000002,秋田県,秋田市,市域の変遷,秋田市の市域の変遷,excel,国土・気象,変更があった場合,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-01-24,
052019,0000000003,秋田県,秋田市,都市計画用途地域別面積,都市計画用途地域別面積,excel,国土・気象,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-05-11,
052019,0000000004,秋田県,秋田市,公園・緑地面積,公園・緑地面積,excel,国土・気象,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-05-11,
052019,0000000005,秋田県,秋田市,住居表示地区の面積,住居表示地区の面積,excel,国土・気象,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-04-11,
052019,0000000006,秋田県,秋田市,気象,気象,excel,国土・気象,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003561.html,CC BYに準拠。,2018-07-01,2023-04-25,
052019,0000000007,秋田県,秋田市,平成27年国勢調査,平成27年国勢調査,excel,人口・世帯,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1010369.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000008,秋田県,秋田市,平成22年国勢調査,平成22年国勢調査,excel,人口・世帯,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1010369.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000009,秋田県,秋田市,人口・世帯の推移,人口・世帯の推移,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000010,秋田県,秋田市,人口動態,人口動態,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-18,
052019,0000000011,秋田県,秋田市,都道府県別転入・転出人口,都道府県別転入・転出人口,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-18,
052019,0000000012,秋田県,秋田市,県内市町村別転入・転出人口 ,県内市町村別転入・転出人口 ,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000013,秋田県,秋田市,地区別人口および世帯の動向 ,地区別人口および世帯の動向 ,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-18,
052019,0000000014,秋田県,秋田市,外国人人口,外国人人口,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-18,
052019,0000000015,秋田県,秋田市,住民基本台帳人口,住民基本台帳人口,excel,人口・世帯,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000016,秋田県,秋田市,[国勢調査]人口・世帯の推移,[国勢調査]人口・世帯の推移,excel,人口・世帯,5年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003563.html,CC BYに準拠。,2018-07-01,2023-02-16,
