市町村コード,都道府県名,市町村名,地域,年度,世帯数(世帯),人口(人),面積(平方キロメートル),人口密度(人/1平方ｷﾛﾒｰﾄﾙ)
052124,秋田県,大仙市,全域,2020,28370,77657,866.79,89.6
052124,秋田県,大仙市,大曲地域,2020,14136,35180,104.69,336
052124,秋田県,大仙市,神岡地域,2020,1617,4759,35.17,135.4
052124,秋田県,大仙市,西仙北地域,2020,2548,7428,168.42,44.1
052124,秋田県,大仙市,中仙地域,2020,2784,8518,78.93,107.9
052124,秋田県,大仙市,協和地域,2020,2160,6290,247.77,25.4
052124,秋田県,大仙市,南外地域,2020,1101,3128,98.86,31.6
052124,秋田県,大仙市,仙北地域,2020,2215,6644,29.56,224.8
052124,秋田県,大仙市,太田地域,2020,1809,5710,103.39,55.2
052124,秋田県,大仙市,全域,2015,28198,82783,866.77,95.5
052124,秋田県,大仙市,大曲地域,2015,13529,35873,104.69,342.7
052124,秋田県,大仙市,神岡地域,2015,1653,5126,35.17,145.7
052124,秋田県,大仙市,西仙北地域,2015,2690,8429,168.42,50
052124,秋田県,大仙市,中仙地域,2015,2890,9524,78.93,120.7
052124,秋田県,大仙市,協和地域,2015,2251,6841,247.77,27.6
052124,秋田県,大仙市,南外地域,2015,1148,3604,98.86,36.5
052124,秋田県,大仙市,仙北地域,2015,2173,7045,29.56,238.3
052124,秋田県,大仙市,太田地域,2015,1864,6341,103.37,61.3
052124,秋田県,大仙市,全域,2010,28354,88301,866.67,101.9
052124,秋田県,大仙市,大曲地域,2010,13172,36561,104.68,349.3
052124,秋田県,大仙市,神岡地域,2010,1689,5529,35.16,157.3
052124,秋田県,大仙市,西仙北地域,2010,2823,9389,168.4,55.8
052124,秋田県,大仙市,中仙地域,2010,3003,10645,78.92,134.9
052124,秋田県,大仙市,協和地域,2010,2397,7785,247.74,31.4
052124,秋田県,大仙市,南外地域,2010,1196,3993,98.85,40.4
052124,秋田県,大仙市,仙北地域,2010,2173,7477,29.56,252.9
052124,秋田県,大仙市,太田地域,2010,1901,6922,103.36,67
052124,秋田県,大仙市,全域,2005,28381,93352,866.68,107.71
052124,秋田県,大仙市,大曲地域,2005,13001,37863,104.69,361.67
052124,秋田県,大仙市,神岡地域,2005,1691,5824,35.16,165.64
052124,秋田県,大仙市,西仙北地域,2005,2891,10201,168.4,60.58
052124,秋田県,大仙市,中仙地域,2005,3047,11279,78.92,142.92
052124,秋田県,大仙市,協和地域,2005,2485,8710,247.74,35.16
052124,秋田県,大仙市,南外地域,2005,1237,4396,98.85,44.47
052124,秋田県,大仙市,仙北地域,2005,2121,7791,29.56,263.57
052124,秋田県,大仙市,太田地域,2005,1908,7288,103.36,70.51
