都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金（基本）,料金（詳細）,連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込方法,URL,備考
5212,1,秋田県,大仙市,川を渡るぼんでん,カワヲワタルボンデン,River Crossing Bonden,毎年2月11日,毎年2月11日,,,,花館地区の各町内から集まった十数本の色とりどりのぼんでんが、高らかなほら貝の音とぼんでん唄が歌われるなか、町内をめぐります。一の鳥居前でもみ合いした後、川船で雄物川を渡ったぼんでんは、伊豆山神社に奉納されます。雪山をバックに川船で川を渡るその姿は、一面の銀世界との絶妙なコントラストで、幻想的な世界を醸し出します。,,,川を渡るぼんでん実行委員会事務局（花館公民館）,0187-62-3012,,川を渡るぼんでん実行委員会,大仙市大曲地域花館地区各町内～雄物川（臨時渡船場）～伊豆山,秋田県大仙市花館下竹花下川原,,,,JR大曲駅から車で5分,,,,,,
5212,2,秋田県,大仙市,全国花火競技大会「大曲の花火」,ゼンコクハナビキョウギタイカイ「オオマガリノハナビ」,National Fireworks Competition-Omagari Hanabi,毎年8月最終土曜日,毎年8月最終土曜日,,,,明治43年（1910年）から行われている歴史ある花火競技大会です。第82回大会には100年の記念大会として過去最高の観客80万人を記録しました。昼花火･夜花火（割物10号２発、創造花火１組）の2部制になっており、最優秀賞には内閣総理大臣賞が授与される等、日本最高峰の花火競技大会となっています。,,,大曲商工会議所,0187-88-8073,,「大曲の花火」実行委員会,「大曲の花火」公園,秋田県大仙市大曲雄物川河畔,,,,,,,,,,
5212,3,秋田県,大仙市,秋の稔りフェア,アキノミノリフェア,,,,,,,市内の農産物や地場産品が一堂に会し行われる一大イベントです。各商工業者による出店や展示コーナー、舞台発表などがあります。,,,大仙市秋の稔りフェア推進協議会事務局（農業振興課）,0187-63-1111,243,大仙市秋の稔りフェア推進協議会,大曲ヒカリオ他,秋田県大仙市大曲通町1-46,,,,,,,,,,
5212,4,秋田県,大仙市,鳥子舞・大曲の綱引き,トリコマイ・オオマガリノツナヒキ,Torikomai & Omagari Tug of War,毎年2月第3土曜日,毎年2月第3土曜日,,,,鳥子舞では、祠の前に高く雪盛りした祭壇で神官たちが舞を奉納した後、鶏の冠をつけた神官が御神木をその年の恵方に向かって投じます。境内には、この御神木を奪おうと屈強な若者が集まっており、投じられた御神木の争奪戦が繰り広げられます。大曲の綱引きでは、例年、75尋（136m）の綱が諏訪神社から降ろされ、財振り棒を先頭に大綱が街を練り歩きます。その後、大町交差点において市内を上丁・下丁に二分し数百人が綱を引き合い、上丁が勝てば「米」が値上がりし、下丁が勝てば「豆」が値上がりすると言われ、勝負の結果によってその年の作況を占います。享保年間(1727年頃)から始まった長い歴史と伝統を誇り、秋田県指定の無形民俗文化財に指定されている小正月行事です。,,,大曲の綱引実行委員会（諏訪神社内）,0187-62-2016,,大曲の綱引き実行委員会,諏訪神社,秋田県大仙市大曲上大町12-20,,,,JR大曲駅から徒歩12分,,,,,,
5212,5,秋田県,大仙市,大曲の花火―新作花火コレクション―,オオマガリノハナビ―シンサクハナビコレクション―,,,,,,,平成5年（1993年）に次世代を担う全国の若手花火師（花火作家）の育成と日本花火の伝統継承・技術向上を目的として始まりました。アイデアに優れた新進気鋭の若手花火作家を選抜し、4号玉と 5号玉で構成した創造性の高い花火「新作花火の部」と、10号玉による完成度の高さを追求する花火「芯入割物の部」の2部門で競技大会を行います。,,,大曲商工会議所,0187-88-8073,,「大曲の花火」実行委員会,「大曲の花火」公園,秋田県大仙市大曲雄物川河畔,,,,,,,,,,
5212,6,秋田県,大仙市,夏まつり大曲,ナツマツリオオマガリ,Omagari Summer Festival,,,,,,「夏まつり大曲」は、全国花火競技大会が開催される週の日曜日に「大曲の花火ウィーク」のオープニングと合わせて開催しています。花火通り商店街を会場に昼の部では子ども樽みこしや地域団体・学校による踊りなどのステージイベントを行い、夜の部では『おどりの広場』として各町内会・企業が一同に会して花火音頭などを踊り、最後はフィナーレ花火の打ち上げを行っています。,,,まつり大曲推進協議会事務局（観光振興課）,0187-63-1111,252,まつり大曲推進協議会,花火通り商店街,大仙市大曲中通,,,,JR大曲駅から徒歩5分,,,,,,
5212,7,秋田県,大仙市,角間川の盆踊り,カクマガワノボンオドリ,Kakumagawa Bon Odori,毎年8月16日,毎年8月16日,,,,角間川盆踊りは、昭和42年に旧大曲市の無形民俗文化財に指定され、現在は、8月16日に「角間川盆踊り大会」として行われております。起源は江戸時代にさかのぼると言われ、地口（唄）は無く、やぐらの上の笛・太鼓のお囃子に合わせて、編み笠、浴衣姿の踊り手がくるりと一回りする所作が特徴的な踊りです。当日は本郷・荒川邸の黒塀の前にかがり火が焚かれ、輪となって優雅な踊りが繰り広げられます。お囃子には小中学校生徒も加わり、全町あげて保存・継承に努めております。,,,角間川盆踊り保存会（角間川公民館）,0187-65-2545,,,大仙市角間川町本通り（JA秋田おばこ大曲南支店まえ）,秋田県大仙市角間川町西中上町22-1,,,,JR大曲駅から車で15分,,,,,,
5212,8,秋田県,大仙市,大曲の花火―春の章―,オオマガリノハナビ―ハルノショウ―,Omagari-Hanabi Spring Chapter,,,,,,平成28年（2016年）4月には「国際花火シンポジウムプレ大会」が開催され、平成29年４月に「第16回国際花火シンポジウム」、「大曲の花火－春の章－　世界の花火 日本の花火」が開催されました。以降も「大曲の花火－春の章－」と位置づけられ、海外から花火業者を迎えて、世界の花火と日本の花火の両方を楽しむことができます。,,,大曲商工会議所,0187-88-8073,,「大曲の花火」実行委員会,「大曲の花火」公園,秋田県大仙市大曲雄物川河畔,,,,,,,,,,
5212,9,秋田県,大仙市,大曲の花火―秋の章―,オオマガリノハナビ―アキノショウ―,Omagari-Hanabi Autumn Chapter,,,,,,平成26年（2014年）に行われた「国民文化祭」を機会に、「飯田五社競演花火大会」が発展した形で「大曲の花火－秋の章－」として位置づけられた花火大会です。地元花火会社の競演等が行われ、普段の「大曲の花火」とは違った音楽と花火の独創的なコラボレーションのショーが楽しめます。,,,大曲商工会議所,0187-88-8073,,「大曲の花火」実行委員会,「大曲の花火」公園,秋田県大仙市大曲雄物川河畔,,,,,,,,,,
5212,10,秋田県,大仙市,余目さくら花火鑑賞会,アマルメサクラハナビカンショウカイ,Amarume Sakura Fireworks,,,,,,"大曲地域内小友地区の余目公園で、満開の桜と一緒に夜空に咲き誇る約1,000発の花火が鑑賞できます。杯をかわしながら、桜と花火のコラボレーションをお楽しみください。",,,余目さくら花火鑑賞会実行委員会,0187-68-2625,,余目さくら花火鑑賞会実行委員会,大仙市内小友余目公園地内,秋田県大仙市内小友七頭25,,,,JR大曲駅から車で15分,,,,,,
5212,11,秋田県,大仙市,花火通り商店街七夕花火,ハナビドオリショウテンガイタナバタハナビ,Hanabi-dori Shopping Town Tanabata Fireworks,,,,,,すがすがしい初夏にふさわしい花火大会。イベント会場周辺には地元の保育園・幼稚園の子どもたちが願い事を書いた約30本の七夕飾りが彩り、短冊に託した夢を花火で表現します。【打上発数】約500発,,,花火通り商店街,0187-63-2558,,花火通り商店街,丸子川　丸子橋上流,,,,,JR大曲駅から徒歩5分,,,,,,
5212,12,秋田県,大仙市,秋田県立大曲支援学校　七夕花火会,アキタケンリツオオマガリシエンガッコウ　タナバタハナビカイ,Omagari Special Education School Tanabata Fireworks,,,,,,寄宿舎生手作りの地域との交流会。地元花火師さんの打ち上げ花火と踊りや出店での夏の一夜を一緒に楽しみませんか。【打上発数】約300発,,,秋田県立大曲支援学校寄宿舎,0187-68-4123,,秋田県立大曲支援学校寄宿舎,秋田県立大曲支援学校地内駐車場,秋田県大仙市大曲西根下成沢122,,,,JR大曲駅から車で12分,,,,,,
5212,13,秋田県,大仙市,四ツ屋まつり,ヨツヤマツリ,Yotsuya Festival,,,,,,,,,,0187-75-1111,,四ツ屋まつり実行委員会,大仙市四ツ屋公民館,秋田県大仙市四ツ屋西下瀬162-4,,,,,,,,,,
5212,14,秋田県,大仙市,大曲南部地区イルミネーション花火,オオマガリナンブチクイルミネーションハナビ,South Omagari Illumination Fireworks,,,,,,12月。藤木・角間川地区の旧県道沿いの民家、商店の軒先にはイルミネーションが点灯されます。イベント会場となる浜倉周辺にはメインとなるイルミネーションを設置。「イルミネーション花火」当日は、冬の澄んだ夜空に鮮やかな花火の色が冴え渡り、ロマンチックな花火をご覧いただけます。心温まるイルミネーションと花火のコラボをお楽しみください。【打上予定発数】約800発,,,,080-9635-8211,,（株）角間川,大仙市角間川町本町はまぐら周辺特設会場,秋田県大仙市角間川町西本町,,,,JR大曲駅から車で15分,,,,,,
5212,15,秋田県,大仙市,神岡南外花火大会,カミオカナンガイハナビタイカイ,Kamioka Nangai Fireworks,毎年9月14日,毎年9月14日,,,,"昭和55年に第1回大会が開催され、恒例となった「メッセージ花火」や、花火の打ち上げ場所と観覧席が近いのも魅力のひとつ。神宮寺嶽をバックに音が反響することで、迫力満点の炸裂音と色とりどりの光の変化や点減を楽しめます。【打上発数】約7,000発",,,神岡南外花火大会実行委員会（大仙市商工会神岡支所内）,0187-72-4028,,神岡南外花火大会実行委員会,中川原コミュニティ公園,秋田県大仙市神宮寺字屋敷南,,,,JR神宮寺駅から徒歩10分,,,,,,
5212,16,秋田県,大仙市,刈和野の大綱引き,カリワノノオオツナヒキ,Kariwano Giant Tug of War,毎年2月10日,毎年2月10日,,,,500年以上続く伝統行事で、国の重要無形民俗文化財に指定されています。西仙北地域刈和野を上町（二日町）、下町（五日町）に二分し、毎年新藁約７千束を編んで大綱を作ります。直径約80cm、長さが雄綱（二日町）約64m（42尋）、雌綱（五月町）約50m（33尋）、重さが各々約10トンで、国内最大級です。上町が勝つと米の値段が上がり、下町が勝つと豊作になると伝えられています。,,,刈和野大綱引保存会事務局,0187-75-1115,,刈和野大綱引保存会,刈和野大町通り,秋田県大仙市字刈和野190-1,,,,JR刈和野駅から徒歩10分,,,,,,
5212,17,秋田県,大仙市,ふるさと西仙まつり,フルサトニシセンマツリ,Furusato Nishisen Festival,毎年8月15日,毎年8月15日,,,,西仙北地域の中央を流れる雄物川河川敷を舞台に、児童、生徒等が作製した灯ろう約800個が静かに流れ、水面に幻想的な光が漂うなか、対岸からは花火が夏の夜空いっぱいに光の華を咲かせます。,,,ふるさと西仙まつり実行委員会事務局（西仙北支所市民サービス課）,0187-75-1111,,ふるさと西仙まつり実行委員会,雄物川河川敷（刈和野橋上流）,秋田県大仙市北野目北野目,,,,JR刈和野駅から徒歩10分,,,,,,
5212,18,秋田県,大仙市,八坂神社梵天まつり,ヤサカジンジャボンデンマツリ,,,,,,,四百数十年を超える伝統を持つ梵天まつり。荒々しさで知られる、ケンカ梵天。神社奉納時は、泉に梵天が映り、とても美しい。稲作りが盛んな頃は、清水に感謝を込めて遠く大曲・南外・仙南からも奉納されたという。,,,中仙支所市民サービス課,0187-56-2111,,,八坂神社,秋田県大仙市清水字沖郷天王39,,,,JR羽後長野駅から車で15分,,,,,,
5212,19,秋田県,大仙市,ドンパン祭り,ドンパンマツリ,Donpan Festival,毎年8月16日,毎年8月16日,,,,ドンパン祭りは全国的にも有名な民謡「ドンパン」節発祥の地、秋田県大仙市中仙地域で開催される盆踊りです。毎年8月16日に多くの観客と飛び入り参加を含めた踊り手が集います。会場のドンパン広場には幾重もの大きな「踊りの輪」がうまれ、特設ステージでは踊り子「ドンパン娘」が舞い踊ります。,,,ドンパン祭り実行委員会事務局（中仙支所市民サービス課）,0187-56-2111,,ドンパン祭り実行委員会,大仙市中仙支所　ドンパン広場,秋田県大仙市北長野字茶畑141,,,,JR羽後長野駅から徒歩5分,,,,,,
5212,20,秋田県,大仙市,長野神社祭典,ナガノジンジャサイテン,,毎年9月10日,毎年9月11日,,,,五穀豊穣を感謝するお祭りで、数百年続いている。遠く京都で製造された約1トンの神輿が、若者に担がれる様は圧巻！！各町内に余興舞台が立ちます。,,,大仙市観光物産協会,0187-88-8481,,,長野神社,秋田県大仙市長野二日町,,,,,,,,,,
5212,21,秋田県,大仙市,「水神社」例大祭,スイジンジャサイテン,,毎年8月17日,毎年8月17日,,,,秋田県唯一の国宝「線刻千手観音等鏡像」が、一年に一度この日この時間帯のみ、ご覧になれます。11世紀頃の青銅の鏡で、千手観音菩薩像を中心に観音八部衆などが線刻されています。,,,中仙支所市民サービス課,0187-56-2111,,,水神社,秋田県大仙市豊川観音堂57,,,,JR羽後長野駅から車で10分,,,,,,
5212,22,秋田県,大仙市,ジャンボうさぎフェスティバル,ジャンボウサギフェスティバル,National Jumbo Rabbit Festival,,,,,,先人が長い年月に亘り改良を重ね、現在に引き継がれてきた秋田県特有の大型の白うさぎ（日本白色種秋田改良種）を後世に残すことと、さらに品質改良を進め全国的な普及を図るために行われます。,,,中仙支所農林建設課,0187-56-2113,,全国ジャンボうさぎフェスティバル実行委員会,大仙市中仙支所　ドンパン広場,秋田県大仙市北長野字茶畑141,,,,JR羽後長野駅から徒歩5分,,,,,,
5212,23,秋田県,大仙市,協和七夕花火,キョウワタナバタハナビ,Kyowa Tanabata Fireworks,,,,,,30数年前の天王まつりに、地元の有志が10発ずつ花火玉を持ち寄って上げたのが始まりです。仕掛花火、特大20号玉（二尺玉）や大スターマインが七夕の夜空に打ち上げられます。また、「全国女流花火作家競技大会」も開催され、全国でも珍しい、女性花火師の作品を堪能できる大会となっています。,,,協和七夕花火実行委員会,090-2275-2665,,協和七夕花火実行委員会,協和船岡字上宇津野地内,秋田県大仙市協和船岡字上宇津野,,,,秋田自動車道協和ICから車で25分,,,,,,
5212,24,秋田県,大仙市,楢岡さなぶり酒花火,ナラオカサナブリサケハナビ,Naraoka Sanaburi Sake Fireworks,,,,,,"酒米の豊作を願って打ち上げられる「楢岡さなぶり酒花火」。「さなぶり」とは田植え終了の祝い事で、秋田・南外地域では、おいしいお酒を飲みながら花火を楽しむのが恒例となっています。会場では、数々のアトラクションが盛り沢山。きき酒・ふるまい酒など地元酒造の酒が提供されるほか、飲食ブースも並び毎年多くの来場者で賑わいます。そして、フィナーレを飾るのは、約1,000発の打ち上げ花火。地元のおいしい日本酒を酌み交わしながらの花火観賞会。贅沢な時間をお楽しみください。",,,楢岡さなぶり酒花火実行委員会事務局,0187-63-1224,,楢岡さなぶり酒花火実行委員会,南外・梨木田　南外体育館前,秋田県大仙市南外字梨木田208-3,,,,,,,,,,
