９　都　道　府　県　別　転　入　・　転　出　人　口 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,令和４年間　単位：人
都　道　府　県,転　　　入　　　人　　　口,,,,,,転　　出　　人　　口,,,,,,差　　　　引　　　　計,,,,,
,総　　数,,男,,女,,総　　数,,男,,女,,総　　数,,男,,女,
総　　　　　　　数, (736) ,"8,785 ", (433) ,"4,891 ", (303) ,"3,894 ", (422) ,"8,795 ", (266) ,"4,935 ", (156) ,"3,860 ", (314) ,△ 10, (167) ,△ 44, (147) ,34
北　　　海　　　道, (15) ,287 , (13) ,164 , (2) ,123 , (3) ,291 , (3) ,156 ,,135 , (12) ,△ 4, (10) ,8, (2) ,△ 12
青　　　　　　　森, (1) ,411 , (1) ,235 ,,176 , (1) ,324 , (1) ,235 ,,89 ,   ,87,   ,0,   ,87
岩　　　　　　　手, (4) ,428 , (2) ,238 , (2) ,190 , (6) ,452 , (6) ,273 ,,179 , (△2) ,△ 24, (△4) ,△ 35, (2) ,11
宮　　　　　　　城, (13) ,842 , (8) ,501 , (5) ,341 , (10) ,"1,129 ", (9) ,643 , (1) ,486 , (3) ,△ 287, (△1) ,△ 142, (4) ,△ 145
秋　　　　　　　田, (9) ,"3,011 ", (2) ,"1,471 ", (7) ,"1,540 ", (8) ,"2,157 ", (4) ,"1,195 ", (4) ,962 , (1) ,854, (△2) ,276, (3) ,578
山　　　　　　　形, (5) ,262 , (5) ,159 ,,103 ,,217 ,,129 ,,88 , (5) ,45, (5) ,30,   ,15
福　　　　　　　島, (1) ,235 ,,154 , (1) ,81 , (2) ,229 , (2) ,148 ,,81 , (△1) ,6, (△2) ,6, (1) ,0
茨　　　　　　　城, (2) ,73 , (2) ,51 ,,22 , (6) ,139 , (2) ,79 , (4) ,60 , (△4) ,△ 66,   ,△ 28, (△4) ,△ 38
栃　　　　　　　木,,61 ,,39 ,,22 , (4) ,103 , (3) ,56 , (1) ,47 , (△4) ,△ 42, (△3) ,△ 17, (△1) ,△ 25
群　　　　　　　馬, (4) ,51 ,,30 , (4) ,21 , (1) ,58 , (1) ,40 ,   ,18 , (3) ,△ 7, (△1) ,△ 10, (4) ,3
埼　　　　　　　玉, (9) ,258 , (8) ,170 , (1) ,88 , (11) ,354 , (7) ,187 , (4) ,167 , (△2) ,△ 96, (1) ,△ 17, (△3) ,△ 79
千　　　　　　　葉, (24) ,224 , (11) ,122 , (13) ,102 , (8) ,362 , (3) ,190 , (5) ,172 , (16) ,△ 138, (8) ,△ 68, (8) ,△ 70
東　　　　　　　京, (41) ,694 , (27) ,389 , (14) ,305 , (32) ,"1,031 ", (17) ,513 , (15) ,518 , (9) ,△ 337, (10) ,△ 124, (△1) ,△ 213
神　　　奈　　　川, (5) ,335 , (5) ,204 ,,131 , (9) ,475 , (5) ,252 , (4) ,223 , (△4) ,△ 140,   ,△ 48, (△4) ,△ 92
新　　　　　　　潟, (1) ,131 , (1) ,72 ,,59 , (4) ,134 , (2) ,75 , (2) ,59 , (△3) ,△ 3, (△1) ,△ 3, (△2) ,0
"北  陸  地  方
（福井・石川・富山）", (4) ,60 ,,36 , (4) ,24 , (1) ,76 , (1) ,37 ,   ,39 , (3) ,△ 16, (△1) ,△ 1, (4) ,△ 15
"甲  信  地  方
（山梨・長野）", (9) ,73 , (6) ,41 , (3) ,32 , (1) ,82 ,   ,42 , (1) ,40 , (8) ,△ 9, (6) ,△ 1, (2) ,△ 8
"東  海  地  方
（静岡・愛知・岐阜・三重）", (21) ,244 , (14) ,167 , (7) ,77 , (16) ,291 , (9) ,176 , (7) ,115 , (5) ,△ 47, (5) ,△ 9,   ,△ 38
"近  畿  地  方
（滋賀･大阪･京都･奈良･和歌山･兵庫）", (21) ,230 , (14) ,148 , (7) ,82 , (11) ,260 , (4) ,140 , (7) ,120 , (10) ,△ 30, (10) ,8,   ,△ 38
"中  国  地  方
（鳥取・島根・岡山・広島・山口）", (5) ,72 , (2) ,37 , (3) ,35 , (1) ,75 , (1) ,49 ,,26 , (4) ,△ 3, (1) ,△ 12, (3) ,9
"四  国  地  方
（香川・徳島・高知・愛媛）", (2) ,26 , (2) ,16 ,,10 , (2) ,19 , (2) ,14 ,,5 ,   ,7,   ,2,   ,5
"九  州  地  方
（福岡･佐賀･長崎･熊本･大分･宮崎･鹿児島･沖縄）", (6) ,113 , (4) ,65 , (2) ,48 , (1) ,117 ,,72 , (1) ,45 , (5) ,△ 4, (4) ,△ 7, (1) ,3
国　　　　　　　外, (525) ,621 , (303) ,345 , (222) ,276 , (183) ,315 , (115) ,164 , (68) ,151 , (342) ,306, (188) ,181, (154) ,125
従前の住所なし, (9) ,43 , (3) ,37 , (6) ,6 , (101) ,105 , (69) ,70 , (32) ,35 , (△92) ,△ 62, (△66) ,△ 33, (△26) ,△ 29
　　注）１　秋田市市民課の資料に基づき、秋田市情報統計課が集計したものである。,,,,,,,,,,,,,,,,,,
　　　　２　（　）内は外国人で再掲,,,,,,,,,,,,,,,,,,
　　　　３　秋田県の転入・転出数は、秋田市以外の県内市町村の転入・転出数を示す。,,,,,,,,,,,,,,,,,,
