１３３　乳 児 の 死 亡 者 数,,,,,,
,,,,,,
,,,,,,各年間　単位：人
年次,乳児死亡者数,,,出生児数,"乳児死亡率
(出生1,000人対)",
,,,,,,
,総数,男,女,,市,国
平成24年,1 ,1 , － ,"2,282 ",0.4 ,2.2 
25,2 ,2 , － ,"2,221 ",0.9 ,2.1 
26,7 ,3 , 4 ,"2,291 ",3.1 ,2.1 
27,7 ,3 , 4 ,"2,130 ",3.3 ,1.9 
28,6 ,3 , 3 ,"2,082 ",2.9 ,2.0 
29,8 ,5 , 3 ,"1,987 ",4.0 ,1.9 
30,4 , － , 4 ,"1,911 ",2.1 ,1.9 
令和元年,4 ,2 , 2 ,"1,793 ",2.2 ,1.9 
２,4 ,4 , － ,"1,752 ",2.3 ,1.8 
３,2 ,1 , 1 ,"1,738 ",1.2 ,1.7 
　資料　人口動態調査、秋田市保健総務課,,,,,,
"　　注）　乳児死亡率＝１年間の乳児の死亡数／１年間の出生数×1,000　　　",,,,,,
