市町村コード,都道府県名,市町村名,地域,年度,年齢5歳階級,全産業(人),農業(人),林業(人),漁業(人),鉱業，採石業，砂利採取業(人),建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),宿泊業・飲食サービス業(人),医療，福祉(人),教育，学習支援業(人),学術研究，専門・技術サービス業,複合サービス業(人),生活関連サービス業，娯楽業,サービス業（他に分類されないもの）(人),公務（他に分類されるものを除く）(人),分類不能の産業(人)
052124,秋田県,大仙市,全域,2005,総数,46719,7381,94,6,142,5835,7315,178,267,1483,7319,710,139,1761,4357,1709,,1099,,5147,1756,21
052124,秋田県,大仙市,全域,2005,15-19歳,470,11,0,0,0,50,146,0,1,4,101,1,0,59,33,1,,7,,55,1,0
052124,秋田県,大仙市,全域,2005,20-24歳,2702,62,0,0,3,306,523,6,20,53,557,29,2,134,436,69,,69,,363,70,0
052124,秋田県,大仙市,全域,2005,25-29歳,3805,81,2,0,7,510,613,23,28,93,698,76,6,142,573,160,,98,,511,180,4
052124,秋田県,大仙市,全域,2005,30-34歳,3948,103,3,0,12,496,756,31,20,147,654,81,10,136,441,235,,114,,485,224,0
052124,秋田県,大仙市,全域,2005,35-39歳,3810,102,7,0,14,383,885,28,32,160,610,115,13,111,406,224,,119,,452,148,1
052124,秋田県,大仙市,全域,2005,40-44歳,4788,181,14,0,10,512,1072,18,33,198,805,110,10,144,572,277,,130,,499,202,1
052124,秋田県,大仙市,全域,2005,45-49歳,5618,441,6,1,14,707,1069,20,31,237,920,102,16,174,651,254,,157,,556,262,0
052124,秋田県,大仙市,全域,2005,50-54歳,6481,778,12,0,26,938,1047,20,44,211,998,99,7,262,635,199,,175,,683,346,1
052124,秋田県,大仙市,全域,2005,55-59歳,5745,1048,16,3,37,967,692,27,44,211,802,64,30,283,391,165,,134,,593,237,1
052124,秋田県,大仙市,全域,2005,60-64歳,3205,1057,14,1,9,500,245,2,10,105,425,22,7,152,87,58,,38,,422,47,4
052124,秋田県,大仙市,全域,2005,65-69歳,2840,1438,11,1,4,304,146,1,3,42,317,7,16,92,69,38,,43,,278,26,4
052124,秋田県,大仙市,全域,2005,70-74歳,2017,1259,7,0,3,132,77,1,1,17,205,2,12,49,43,21,,12,,163,9,4
052124,秋田県,大仙市,全域,2005,75-79歳,918,617,1,0,2,26,28,0,0,4,139,2,3,17,11,5,,2,,56,4,1
052124,秋田県,大仙市,全域,2005,80-84歳,297,169,0,0,1,4,14,1,0,1,69,0,4,2,8,2,,1,,21,0,0
052124,秋田県,大仙市,全域,2005,85歳以上,75,34,1,0,0,0,2,0,0,0,19,0,3,4,1,1,,0,,10,0,0
052124,秋田県,大仙市,全域,2010,総数,42349,5983,149,10,79,4797,6350,217,179,1527,6608,664,345,1853,4995,1655,934,793,1732,1746,1608,125
052124,秋田県,大仙市,全域,2010,15-19歳,290,3,1,0,0,29,74,4,0,4,63,1,1,37,32,1,3,0,18,15,2,2
052124,秋田県,大仙市,全域,2010,20-24歳,1976,39,6,0,0,160,429,9,12,33,374,29,19,115,411,55,27,39,111,42,54,12
052124,秋田県,大仙市,全域,2010,25-29歳,3138,100,4,0,1,292,560,20,26,87,595,54,28,142,595,95,63,67,176,91,137,5
052124,秋田県,大仙市,全域,2010,30-34歳,3852,123,9,1,2,464,593,28,25,131,731,61,48,159,603,162,99,89,179,141,196,8
052124,秋田県,大仙市,全域,2010,35-39歳,3927,132,7,0,5,482,682,31,26,164,656,89,35,158,512,234,93,99,153,135,230,4
052124,秋田県,大仙市,全域,2010,40-44歳,3845,119,16,1,11,357,814,33,22,178,629,110,31,136,467,234,126,116,153,143,145,4
052124,秋田県,大仙市,全域,2010,45-49歳,4636,238,20,0,8,437,937,30,17,216,740,108,39,189,639,301,97,95,154,167,196,8
052124,秋田県,大仙市,全域,2010,50-54歳,5309,471,19,1,11,644,846,23,19,237,823,83,35,206,718,252,142,123,160,233,252,11
052124,秋田県,大仙市,全域,2010,55-59歳,5792,866,24,2,15,820,769,27,20,218,847,76,26,283,595,176,144,104,185,285,303,7
052124,秋田県,大仙市,全域,2010,60-64歳,4330,1192,20,3,17,696,393,10,9,168,531,36,35,232,291,68,63,39,176,262,75,14
052124,秋田県,大仙市,全域,2010,65-69歳,2184,917,10,2,1,258,128,2,1,58,239,10,14,103,62,47,38,8,133,128,11,14
052124,秋田県,大仙市,全域,2010,70-74歳,1645,914,11,0,4,109,72,0,1,19,183,5,17,59,35,19,18,13,92,57,4,13
052124,秋田県,大仙市,全域,2010,75-79歳,959,618,2,0,3,40,33,0,1,11,101,1,6,24,23,9,12,1,31,32,3,8
052124,秋田県,大仙市,全域,2010,80-84歳,352,208,0,0,1,6,14,0,0,2,63,0,8,9,10,2,6,0,8,8,0,7
052124,秋田県,大仙市,全域,2010,85歳以上,114,43,0,0,0,3,6,0,0,1,33,1,3,1,2,0,3,0,3,7,0,8
052124,秋田県,大仙市,全域,2015,総数,41500,5570,137,6,80,4740,5797,200,166,1335,6200,586,354,1765,5774,1665,936,893,1598,1751,1582,365
052124,秋田県,大仙市,全域,2015,15-19歳,290,8,3,0,0,47,70,1,0,4,54,1,1,31,27,1,5,4,12,6,10,5
052124,秋田県,大仙市,全域,2015,20-24歳,1679,41,3,0,0,186,279,8,8,21,325,27,11,102,346,43,20,40,69,47,78,25
052124,秋田県,大仙市,全域,2015,25-29歳,2618,70,9,0,1,243,449,20,12,54,448,49,22,110,568,90,45,67,126,76,133,26
052124,秋田県,大仙市,全域,2015,30-34歳,3369,134,8,0,3,338,547,19,18,97,584,43,36,130,687,131,69,78,149,133,143,22
052124,秋田県,大仙市,全域,2015,35-39歳,4004,153,11,0,4,484,598,29,24,108,633,69,43,158,722,175,109,111,157,166,208,42
052124,秋田県,大仙市,全域,2015,40-44歳,4088,141,14,0,8,472,662,21,20,147,660,73,29,173,604,267,107,122,125,157,242,44
052124,秋田県,大仙市,全域,2015,45-49歳,3908,130,17,0,8,383,756,37,21,180,581,95,35,133,547,240,111,135,136,161,165,37
052124,秋田県,大仙市,全域,2015,50-54歳,4578,213,17,1,19,448,857,26,25,208,699,91,35,183,681,296,101,114,147,177,214,26
052124,秋田県,大仙市,全域,2015,55-59歳,5126,490,11,2,14,620,711,22,18,241,749,64,34,213,766,249,151,115,158,232,233,33
052124,秋田県,大仙市,全域,2015,60-64歳,4942,1046,20,0,13,796,485,14,11,152,698,44,41,238,517,91,119,68,179,259,122,29
052124,秋田県,大仙市,全域,2015,65-69歳,3492,1275,12,2,8,488,238,3,8,90,374,19,36,180,227,50,56,27,146,205,21,27
052124,秋田県,大仙市,全域,2015,70-74歳,1622,804,6,1,2,149,80,0,1,24,165,6,16,62,47,20,24,6,110,71,10,18
052124,秋田県,大仙市,全域,2015,75-79歳,1086,631,4,0,0,60,43,0,0,9,136,3,11,35,19,8,10,4,60,38,3,12
052124,秋田県,大仙市,全域,2015,80-84歳,530,342,2,0,0,22,20,0,0,0,61,1,2,16,13,2,6,0,18,15,0,10
052124,秋田県,大仙市,全域,2015,85歳以上,168,92,0,0,0,4,2,0,0,0,33,1,2,1,3,2,3,2,6,8,0,9
052124,秋田県,大仙市,全域,2020,総数,39321,4669,130,4,86,4470,5632,224,184,1239,5767,557,367,1537,5911,1745,881,797,1419,1856,1594,252
