観測点,年　次,年平均気温(℃),年最高気温(℃),年最高気温記録日,年最高気温記録時刻,年最低気温(℃),年最低気温記録日時,年最低気温記録時刻,年総降水量(mm),日最多降水量(mm),日最多降水量記録日,日照時間(h)
大曲観測所,1985,10.0 ,35.7 ,1985-08-05,15:00,-14.8 ,1985-01-05,8:00,"1,653",67,9月7日,"2,001.2 "
大曲観測所,1986,9.5 ,34.1 ,1986-08-02,15:00,-17.6 ,1986-02-02,6:00,"1,542",69,8月5日,"2,065.6 "
大曲観測所,1987,10.3 ,33.9 ,1987-08-31,13:00,-16.2 ,1987-12-07,5:00,"1,691",97,8月17日,466.9 
大曲観測所,1988,9.8 ,33.7 ,1988-08-20,14:00,-14.8 ,1988-02-22,6:00,"1,496",49,8月30日,"1,390.2 "
大曲観測所,1989,11.1 ,35.2 ,1989-08-04,15:00,-10.8 ,1989-01-18,7:00,"1,446",50,8月28日,"1,499.9 "
大曲観測所,1990,11.5 ,34.8 ,1990-08-22,15:00,-16.8 ,1990-01-24,0:00,"2,025",118,9月12日,"1,475.5 "
大曲観測所,1991,10.7 ,33.5 ,1991-08-30,13:00,-14.4 ,1991-01-19,5:00,"1,977",104,8月31日,"1,288.7 "
大曲観測所,1992,10.5 ,34.1 ,1992-08-16,14:00,-13.6 ,1992-01-27,5:00,"1,401",66,9月4日,"1,159.2 "
大曲観測所,1993,10.0 ,31.8 ,1993-08-25,14:00,-12.3 ,1993-12-20,5:00,"1,837",54,9月18日,"1,194.9 "
大曲観測所,1994,11.0 ,36.2 ,1994-08-13,6:00,-15.7 ,1994-01-31,1:00,"1,306",50,10月16日,"1,469.1 "
大曲観測所,1995,10.4 ,33.8 ,1995-07-24,14:00,-16.5 ,1995-01-21,8:00,"2,267",118,8月26日,"1,138.8 "
大曲観測所,1996,10.0 ,34.4 ,1996-08-13,15:00,-13.3 ,1996-01-03,8:00,"1,626",55,6月18日,"1,333.6 "
大曲観測所,1997,10.8 ,34.8 ,1997-07-27,13:00,-13.9 ,1997-01-22,7:00,"1,916",182,9月2日,"1,322.0 "
大曲観測所,1998,11.3 ,33.7 ,1998-07-28,14:00,-11.0 ,1998-02-07,8:00,"2,098",107,8月7日,"1,306.1 "
大曲観測所,1999,11.2 ,36.0 ,1999-08-09,15:00,-15.0 ,1999-02-05,7:00,"1,789",63,8月29日,"1,424.1 "
大曲観測所,2000,11.1 ,37.6 ,2000-07-31,15:00,-10.6 ,2000-12-07,5:00,"1,822",63,9月9日,"1,324.5 "
大曲観測所,2001,10.3 ,33.4 ,2001-08-17,15:00,-15.8 ,2001-01-20,1:00,"1,582",68,6月19日,"1,420.1 "
大曲観測所,2002,10.5 ,33.6 ,2002-07-25,15:00,-14.5 ,2002-01-07,5:00,"2,287",110,8月12日,"1,283.9 "
