市町村コード,都道府県名,市町村名,年度,可燃物処理状況（ｔ）,不燃物処理状況（ｔ）,資源物処理状況（ｔ）,収集職員数（人）,収集車両台数（台）,焼却処理（ｔ）,埋立処理（ｔ）,１日あたりゴミ排出量（ｔ）
052124,秋田県,大仙市,2006(平成18),31181,2371,3698,108,105,31181,3960,91.4
052124,秋田県,大仙市,2007(平成19),30131,2085,4053,107,100,30131,3559,88.3
052124,秋田県,大仙市,2008(平成20),28266,1738,3959,113,103,28266,5672,82.2
052124,秋田県,大仙市,2009(平成21),26908,1498,3972,150,117,26908,5638,77.8
052124,秋田県,大仙市,2010(平成22),26332,1192,3723,164,125,26332,4294,75.4
052124,秋田県,大仙市,2011(平成23),26525,1377,3512,167,129,27397,3961,76.4
052124,秋田県,大仙市,2012(平成24),26763,1324,3918,173,126,29848,4392,77
052124,秋田県,大仙市,2013(平成25),27347,1331,3696,187,135,30320,4493,78.6
052124,秋田県,大仙市,2014(平成26),27003,1282,3215,190,137,30136,4312,77.5
052124,秋田県,大仙市,2015(平成27),26602,1301,2898,168,140,29603,4203,76.4
052124,秋田県,大仙市,2016(平成28),26246,977,2994,182,134,28775,3759,74.6
052124,秋田県,大仙市,2017(平成29),27477,1187,2869,181,140,31913,4518,78.5
052124,秋田県,大仙市,2018(平成30),26923,1153,2704,184,145,29416,3873,76.9
052124,秋田県,大仙市,2019(令和1),27430,1071,2506,160,122,29617,4566,78.1
052124,秋田県,大仙市,2020(令和2),26611,1061,2370,164,137,28275,4420,75.6
052124,秋田県,大仙市,2021(令和3),26303,1129,2560,184,142,28053,4418,75.2
