市町村コード,都道府県名,市町村名,地域,年　　度,行政区域内人口（人）,処理区域内人口（人）,現在処理面積（ha）,下水管施設総延長（m）,総処理水量(m3),1日平均処理状況（m3）,下水道普及率（％）
5212,秋田県,大仙市,市全域,2005(平成17),"95,155","26,640","1,084.30","191,340","2,220,620","6,084",28
5212,秋田県,大仙市,市全域,2006(平成18),"94,160","29,062","1,123.50","203,564","2,142,982","5,871",30.9
5212,秋田県,大仙市,市全域,2007(平成19),"93,103","29,719","1,165.30","214,562","2,294,500","6,185",31.9
5212,秋田県,大仙市,市全域,2008(平成20),"92,224","32,033","1,253.40","243,413","2,380,220","6,521",34.7
5212,秋田県,大仙市,市全域,2009(平成21),"91,308","32,784","1,271.80","247,864","2,467,629","6,760",35.9
5212,秋田県,大仙市,市全域,2010(平成22),"90,406","33,527","1,293.80","252,941","2,573,559","7,051",37.1
5212,秋田県,大仙市,市全域,2011(平成23),"89,290","34,065","1,316.90","259,083","2,574,121","7,052",38.2
5212,秋田県,大仙市,市全域,2012(平成24),"88,219","34,324","1,341.70","264,591","2,680,467","7,344",38.9
5212,秋田県,大仙市,市全域,2013(平成25),"87,239","34,289","1,357.60","269,698","2,752,028","7,540",39.3
5212,秋田県,大仙市,市全域,2014(平成26),"86,061","34,036","1,377.00","273,423","2,756,632","7,554",39.5
5212,秋田県,大仙市,市全域,2015(平成27),"84,903","33,859","1,388.40","276,783","2,827,847","7,747",39.9
5212,秋田県,大仙市,市全域,2016(平成28),"83,578","33,835","1,415.50","282,105","2,968,881","8,134",40.5
5212,秋田県,大仙市,市全域,2017(平成29),"82,468","34,050","1,432.40","285,678","3,110,963","8,522",41.3
5212,秋田県,大仙市,市全域,2018(平成30),"81,144","35,330","1,452.20","290,169","2,998,907","8,216",44.1
5212,秋田県,大仙市,市全域,2019(平成31),"79,930","35,823","1,461.90","292,353","2,937,172","8,047",44.8
5212,秋田県,大仙市,大曲地域,2005(平成17),"38,376","14,482",410.5,"78,755","1,241,110","3,400",37.7
5212,秋田県,大仙市,大曲地域,2006(平成18),"38,123","15,398",428.1,"83,754","1,228,143","3,365",40.4
5212,秋田県,大仙市,大曲地域,2007(平成19),"37,870","15,966",443,"87,455","1,312,622","3,596",42.2
5212,秋田県,大仙市,大曲地域,2008(平成20),"37,793","16,299",455.6,"90,104","1,301,392","3,565",43.1
5212,秋田県,大仙市,大曲地域,2009(平成21),"37,555","16,608",462.1,"91,969","1,367,765","3,747",44.2
5212,秋田県,大仙市,大曲地域,2010(平成22),"37,454","17,053",469.8,"94,282","1,434,642","3,930",45.5
5212,秋田県,大仙市,大曲地域,2011(平成23),"37,289","17,504",480.1,"96,877","1,461,796","4,005",46.9
5212,秋田県,大仙市,大曲地域,2012(平成24),"37,177","17,697",493,"99,900","1,493,816","4,093",47.6
5212,秋田県,大仙市,大曲地域,2013(平成25),"37,090","17,940",498.4,"102,346","1,534,822","4,205",48.4
5212,秋田県,大仙市,大曲地域,2014(平成26),"36,856","17,843",510.4,"104,555","1,566,060","4,291",48.4
5212,秋田県,大仙市,大曲地域,2015(平成27),"36,579","17,705",518.6,"106,327","1,643,470","4,503",48.4
5212,秋田県,大仙市,大曲地域,2016(平成28),"36,319","18,038",540,"110,202","1,732,239","4,746",49.7
5212,秋田県,大仙市,大曲地域,2017(平成29),"36,191","18,396",550.6,"112,596","1,830,036","5,014",50.8
5212,秋田県,大仙市,大曲地域,2018(平成30),"35,884","20,235",567.9,"116,429","1,792,531","4,911",56.4
5212,秋田県,大仙市,大曲地域,2019(平成31),"35,636","20,410",575.1,"118,039","1,776,115","4,866",57.3
5212,秋田県,大仙市,神岡地域,2005(平成17),"5,990",-,-,"13,710",-,-,-
5212,秋田県,大仙市,神岡地域,2006(平成18),"5,955","1,940",96.7,"16,503",-,-,32.6
5212,秋田県,大仙市,神岡地域,2007(平成19),"5,929","1,920",106.2,"18,821","21,291",58,32.4
5212,秋田県,大仙市,神岡地域,2008(平成20),"5,862","2,756",114.8,"20,921","49,387",135,47
5212,秋田県,大仙市,神岡地域,2009(平成21),"5,848","2,898",120.5,"22,417","76,061",208,49.6
5212,秋田県,大仙市,神岡地域,2010(平成22),"5,793","3,139",127.6,"23,479","98,237",269,54.2
5212,秋田県,大仙市,神岡地域,2011(平成23),"5,721","3,295",134.1,"24,666","118,700",325,57.6
5212,秋田県,大仙市,神岡地域,2012(平成24),"5,599","3,373",139.6,"25,719","130,120",356,60.2
5212,秋田県,大仙市,神岡地域,2013(平成25),"5,510","3,383",145.2,"27,091","137,409",376,61.4
5212,秋田県,大仙市,神岡地域,2014(平成26),"5,454","3,386",150.9,"27,742","140,711",386,62.1
5212,秋田県,大仙市,神岡地域,2015(平成27),"5,330","3,350",152.2,"28,700","146,149",400,62.9
5212,秋田県,大仙市,神岡地域,2016(平成28),"5,241","3,352",156.6,"29,284","152,292",417,64
5212,秋田県,大仙市,神岡地域,2017(平成29),"5,182","3,331",161.9,"29,761","162,356",444,64.3
5212,秋田県,大仙市,神岡地域,2018(平成30),"5,063","3,326",163.6,"30,258","155,900",427,65.7
5212,秋田県,大仙市,神岡地域,2019(平成31),"4,958","3,443",166.2,"30,832","156,453",429,69.4
5212,秋田県,大仙市,西仙北地域,2005(平成17),"10,561","3,779",131.5,"25,745","258,785",709,35.8
5212,秋田県,大仙市,西仙北地域,2006(平成18),"10,388","3,820",132.5,"26,267","207,480",568,36.8
5212,秋田県,大仙市,西仙北地域,2007(平成19),"10,195","3,768",133.5,"26,540","244,577",670,36.9
5212,秋田県,大仙市,西仙北地域,2008(平成20),"9,998","3,710",133.5,"28,073","256,341",702,37.1
5212,秋田県,大仙市,西仙北地域,2009(平成21),"9,817","3,649",133.5,"28,073","260,140",713,37.2
5212,秋田県,大仙市,西仙北地域,2010(平成22),"9,658","3,622",133.5,"28,073","250,771",687,37.5
5212,秋田県,大仙市,西仙北地域,2011(平成23),"9,448","3,513",133.5,"28,073","259,770",712,37.2
5212,秋田県,大仙市,西仙北地域,2012(平成24),"9,287","3,484",133.5,"28,073","260,066",713,37.5
5212,秋田県,大仙市,西仙北地域,2013(平成25),"9,109","3,403",133.5,"28,073","265,700",728,37.4
5212,秋田県,大仙市,西仙北地域,2014(平成26),"8,885","3,338",133.5,"28,073","256,923",704,37.6
5212,秋田県,大仙市,西仙北地域,2015(平成27),"8,695","3,255",133.5,"28,073","255,161",699,37.4
5212,秋田県,大仙市,西仙北地域,2016(平成28),"8,479","3,187",133.5,"28,073","258,851",709,37.6
5212,秋田県,大仙市,西仙北地域,2017(平成29),"8,240","3,121",133.5,"28,073","264,025",723,37.8
5212,秋田県,大仙市,西仙北地域,2018(平成30),"8,041","3,056",133.5,"28,073","246,000",674,38.1
5212,秋田県,大仙市,西仙北地域,2019(平成31),"7,832","2,967",133.5,"28,073","239,495",656,37.9
5212,秋田県,大仙市,中仙地域,2005(平成17),"11,542","3,894",303.7,"39,065","335,435",919,33.7
5212,秋田県,大仙市,中仙地域,2006(平成18),"11,393","3,573",275.1,"40,896","342,016",937,31.4
5212,秋田県,大仙市,中仙地域,2007(平成19),"11,288","3,647",291.6,"42,564","343,541",941,32.3
5212,秋田県,大仙市,中仙地域,2008(平成20),"11,114","3,729",298,"43,737","385,644","1,057",33.6
5212,秋田県,大仙市,中仙地域,2009(平成21),"10,959","3,759",301.4,"44,310","370,507","1,015",34.3
5212,秋田県,大仙市,中仙地域,2010(平成22),"10,835","3,728",301.4,"44,310","367,617","1,007",34.4
5212,秋田県,大仙市,中仙地域,2011(平成23),"10,624","3,695",303.8,"45,417","371,037","1,017",34.8
5212,秋田県,大仙市,中仙地域,2012(平成24),"10,466","3,770",307.6,"45,894","366,923","1,005",36
5212,秋田県,大仙市,中仙地域,2013(平成25),"10,299","3,809",310.4,"46,354","360,530",988,37
5212,秋田県,大仙市,中仙地域,2014(平成26),"10,063","3,687",310.4,"46,354","343,312",941,36.6
5212,秋田県,大仙市,中仙地域,2015(平成27),"9,900","3,710",310.4,"46,354","335,939",920,37.5
5212,秋田県,大仙市,中仙地域,2016(平成28),"9,649","3,629",310.4,"46,354","374,161","1,025",37.6
5212,秋田県,大仙市,中仙地域,2017(平成29),"9,441","3,548",310.4,"46,354","388,695","1,065",37.6
5212,秋田県,大仙市,中仙地域,2018(平成30),"9,268","3,504",310.4,"46,354","364,324",998,37.8
5212,秋田県,大仙市,中仙地域,2019(平成31),"9,059","3,428",310.4,"46,354","335,715",920,37.8
5212,秋田県,大仙市,協和地域,2005(平成17),"8,599","2,816",95,"20,617","242,245",664,32.7
5212,秋田県,大仙市,協和地域,2006(平成18),"8,418","2,722",102,"20,617","236,311",647,32.3
5212,秋田県,大仙市,協和地域,2007(平成19),"8,228","2,819",102,"20,617","243,755",668,34.3
5212,秋田県,大仙市,協和地域,2008(平成20),"8,076","2,766",102,"20,617","254,572",697,34.2
5212,秋田県,大仙市,協和地域,2009(平成21),"7,945","2,658",102,"20,617","236,517",648,33.5
5212,秋田県,大仙市,協和地域,2010(平成22),"7,797","2,732",102,"20,617","246,730",676,35
5212,秋田県,大仙市,協和地域,2011(平成23),"7,585","2,678",102,"20,617","229,739",629,35.3
5212,秋田県,大仙市,協和地域,2012(平成24),"7,398","2,603",102,"20,617","225,912",619,35.2
5212,秋田県,大仙市,協和地域,2013(平成25),"7,260","2,422",102,"20,617","225,426",618,33.4
5212,秋田県,大仙市,協和地域,2014(平成26),"7,089","2,447",102,"20,617","219,337",601,34.5
5212,秋田県,大仙市,協和地域,2015(平成27),"6,913","2,492",102,"20,645","210,574",577,36
5212,秋田県,大仙市,協和地域,2016(平成28),"6,712","2,312",102,"20,645","210,137",576,34.4
5212,秋田県,大仙市,協和地域,2017(平成29),"6,581","2,393",102,"20,645","214,655",588,36.4
5212,秋田県,大仙市,協和地域,2018(平成30),"6,390","2,316",102,"20,645","206,000",564,36.2
5212,秋田県,大仙市,協和地域,2019(平成31),"6,251","2,282",102,"20,645","196,050",537,36.5
5212,秋田県,大仙市,南外地域,2009(平成21),"4,182",439,16.7,"6,171",-,-,10.5
5212,秋田県,大仙市,南外地域,2010(平成22),"4,119",562,23.9,"7,873","5,883",16,13.6
5212,秋田県,大仙市,南外地域,2011(平成23),"4,023",661,27.8,"9,126","11,250",31,16.4
5212,秋田県,大仙市,南外地域,2012(平成24),"3,946",710,30.4,"10,081","16,292",45,18
5212,秋田県,大仙市,南外地域,2013(平成25),"3,854",785,32.5,"10,910","18,486",51,20.4
5212,秋田県,大仙市,南外地域,2014(平成26),"3,787",804,34.2,"11,775","17,621",48,21.2
5212,秋田県,大仙市,南外地域,2015(平成27),"3,726",837,36.2,"12,377","21,459",59,22.5
5212,秋田県,大仙市,南外地域,2016(平成28),"3,635",860,37.4,"13,240","25,948",71,23.7
5212,秋田県,大仙市,南外地域,2017(平成29),"3,537",851,38.4,"13,942","25,670",70,24.1
5212,秋田県,大仙市,南外地域,2018(平成30),"3,418",916,39,"14,103","24,000",66,26.8
5212,秋田県,大仙市,南外地域,2019(平成31),"3,317",876,39,"14,103","28,638",78,26.4
5212,秋田県,大仙市,仙北地域,2005(平成17),"8,001","1,669",89.1,"15,527","143,045",392,20.9
5212,秋田県,大仙市,仙北地域,2006(平成18),"7,974","1,609",89.1,"15,527","129,032",354,20.2
5212,秋田県,大仙市,仙北地域,2007(平成19),"7,875","1,599",89,"15,543","128,714",353,20.1
5212,秋田県,大仙市,仙北地域,2008(平成20),"7,809","2,773",135.6,"34,307","132,884",364,35.2
5212,秋田県,大仙市,仙北地域,2009(平成21),"7,787","2,773",135.6,"34,307","156,639",429,35.6
5212,秋田県,大仙市,仙北地域,2010(平成22),"7,651","2,691",135.6,"34,307","169,679",465,35.2
5212,秋田県,大仙市,仙北地域,2011(平成23),"7,627","2,719",135.6,"34,307","175,700",481,35.6
5212,秋田県,大仙市,仙北地域,2012(平成24),"7,461","2,687",135.6,"34,307","187,338",513,36
5212,秋田県,大仙市,仙北地域,2013(平成25),"7,347","2,547",135.6,"34,307","209,655",574,34.7
5212,秋田県,大仙市,仙北地域,2014(平成26),"7,297","2,531",135.6,"34,307","212,668",583,34.7
5212,秋田県,大仙市,仙北地域,2015(平成27),"7,206","2,510",135.6,"34,307","215,095",589,34.8
