市町村コード,都道府県名,自治体名,測定日,大曲,神岡,西仙北,中仙,協和,南外,仙北,太田
5212,秋田県,大仙市,2005/11/1,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/2,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/3,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/4,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/5,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/6,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/7,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/8,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/9,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/10,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/11,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/12,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/13,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/14,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/15,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/16,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/17,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/18,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/19,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/20,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/21,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/22,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/23,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/24,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/25,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/26,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/27,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/28,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/29,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/11/30,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/1,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/2,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/3,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/4,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/5,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/6,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/7,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/8,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/9,0,0,0,0,0,0,0,0
5212,秋田県,大仙市,2005/12/10,9,9,6,20,19,20,14,22
5212,秋田県,大仙市,2005/12/11,16,11,14,10,13,24,14,20
5212,秋田県,大仙市,2005/12/12,16,30,17,12,21,28,15,20
5212,秋田県,大仙市,2005/12/13,34,30,29,25,24,39,27,36
5212,秋田県,大仙市,2005/12/14,44,33,27,50,29,37,40,53
5212,秋田県,大仙市,2005/12/15,55,38,36,45,35,40,45,49
5212,秋田県,大仙市,2005/12/16,47,40,36,35,38,42,44,40
5212,秋田県,大仙市,2005/12/17,50,35,32,37,38,43,48,38
5212,秋田県,大仙市,2005/12/18,42,30,31,39,39,45,48,36
5212,秋田県,大仙市,2005/12/19,48,46,39,40,42,49,50,48
5212,秋田県,大仙市,2005/12/20,54,50,46,38,45,52,54,44
5212,秋田県,大仙市,2005/12/21,60,55,47,50,53,52,56,53
5212,秋田県,大仙市,2005/12/22,55,50,44,39,50,50,48,44
5212,秋田県,大仙市,2005/12/23,70,58,57,54,64,62,53,57
5212,秋田県,大仙市,2005/12/24,85,75,73,59,76,76,68,77
5212,秋田県,大仙市,2005/12/25,79,66,67,63,77,78,70,72
5212,秋田県,大仙市,2005/12/26,79,54,72,70,78,78,71,70
5212,秋田県,大仙市,2005/12/27,95,82,80,85,84,79,81,84
5212,秋田県,大仙市,2005/12/28,110,87,85,93,86,92,90,94
5212,秋田県,大仙市,2005/12/29,125,97,94,93,85,97,94,95
5212,秋田県,大仙市,2005/12/30,125,91,92,97,86,96,102,97
5212,秋田県,大仙市,2005/12/31,114,95,101,96,85,104,100,95
5212,秋田県,大仙市,2006/1/1,112,94,93,97,85,101,95,90
5212,秋田県,大仙市,2006/1/2,106,92,87,95,84,100,95,85
5212,秋田県,大仙市,2006/1/3,99,86,86,94,84,100,95,85
5212,秋田県,大仙市,2006/1/4,123,105,96,98,87,105,100,110
5212,秋田県,大仙市,2006/1/5,137,120,115,115,106,115,130,116
5212,秋田県,大仙市,2006/1/6,144,129,120,123,108,123,134,125
5212,秋田県,大仙市,2006/1/7,149,130,125,132,110,128,131,120
5212,秋田県,大仙市,2006/1/8,159,135,127,126,112,134,135,116
5212,秋田県,大仙市,2006/1/9,167,130,121,120,120,130,134,119
5212,秋田県,大仙市,2006/1/10,150,120,118,110,114,126,130,110
5212,秋田県,大仙市,2006/1/11,154,115,118,107,114,121,127,108
5212,秋田県,大仙市,2006/1/12,143,112,113,103,113,117,122,107
5212,秋田県,大仙市,2006/1/13,143,112,113,101,111,115,120,106
5212,秋田県,大仙市,2006/1/14,120,102,108,91,108,99,105,95
5212,秋田県,大仙市,2006/1/15,113,97,94,85,103,95,95,86
5212,秋田県,大仙市,2006/1/16,107,94,90,79,98,93,92,81
5212,秋田県,大仙市,2006/1/17,102,84,86,74,95,87,88,77
5212,秋田県,大仙市,2006/1/18,110,93,92,78,94,91,95,81
5212,秋田県,大仙市,2006/1/19,117,100,96,79,94,100,104,83
5212,秋田県,大仙市,2006/1/20,132,124,107,90,98,104,123,90
5212,秋田県,大仙市,2006/1/21,133,108,105,97,102,102,124,97
5212,秋田県,大仙市,2006/1/22,133,106,113,100,105,103,120,96
5212,秋田県,大仙市,2006/1/23,162,123,123,108,115,131,136,105
5212,秋田県,大仙市,2006/1/24,164,131,138,116,119,141,147,116
5212,秋田県,大仙市,2006/1/25,154,123,124,103,117,135,134,108
5212,秋田県,大仙市,2006/1/26,148,121,115,107,115,145,132,107
5212,秋田県,大仙市,2006/1/27,149,119,113,107,115,140,135,110
5212,秋田県,大仙市,2006/1/28,147,113,109,101,111,136,128,103
5212,秋田県,大仙市,2006/1/29,140,115,107,97,107,136,123,100
5212,秋田県,大仙市,2006/1/30,139,111,106,91,105,132,121,97
5212,秋田県,大仙市,2006/1/31,128,107,103,86,103,120,112,93
5212,秋田県,大仙市,2006/2/1,126,106,102,86,100,118,110,92
5212,秋田県,大仙市,2006/2/2,138,120,119,97,113,133,123,98
5212,秋田県,大仙市,2006/2/3,145,123,124,102,116,139,128,101
