１２８　医　療　施　設　別　従　事　者　数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,各年１２月３１日現在　単位：人,,,,
年次,医師,,,,歯科医師,,,,薬剤師,,,,,,,
,総数,"医療施設
の従事者","医療施設
以外の
従事者","その他の者
(無職を含む)",総数,"医療施設
の従事者","医療施設
以外の
従事者","その他の者
(無職を含む)",総数,"薬局・
医療施設
の従事者","薬局・医療
施設以外の
従事者","その他の者
(無職を含む)",,,,
平成14年,"1,076 ","1,008 ",61 ,7 ,212 ,205 ,5 , 2 ,723 ,461 ,194 ,68 ,,,,
16,"1,074 ","1,002 ",61 ,11 ,228 ,216 ,7 ,5 ,707 ,478 ,168 ,61 ,,,,
18,"1,103 ","1,042 ",55 ,6 ,227 ,214 ,6 ,7 ,756 ,510 ,166 ,80 ,,,,
20,"1,125 ","1,056 ",62 ,7 ,234 ,220 ,5 ,9 ,791 ,554 ,164 ,73 ,,,,
22,"1,165 ","1,100 ",58 ,7 ,234 ,227 ,4 ,3 ,768 ,597 ,135 ,36 ,,,,
24,"1,186 ","1,136 ",46 ,4 ,240 ,233 ,5 ,2 ,811 ,621 ,138 ,52 ,,,,
26,"1,224 ","1,175 ",41 ,8 ,231 ,225 ,4 ,2 ,825 ,646 ,127 ,52 ,,,,
28,"1,227 ","1,172 ",49 ,6 ,242 ,239 ,3 ,0 ,857 ,680 ,123 ,54 ,,,,
30,"1,258 ","1,200 ",51 ,7 ,247 ,241 ,4 ,2 ,867 ,697 ,122 ,48 ,,,,
令和２年,"1,268 ","1,218 ",47 ,3 ,240 ,235 ,3 ,2 ,890 ,725 ,106 ,59 ,,,,
　資料　医師・歯科医師・薬剤師調査 ,,,,,,,,,,,,,,,,
　　注）１　隔年調査,,,,,,,,,,,,,,,,
　　　　２ 「医療施設」には老人保健施設、介護医療院、介護保健施設を含むものである。,,,,,,,,,,,,,,,,
