地域,年度,総数_新規(件),総数_既済(件),総数_未済(件),刑事訴訟事件_新規(件),刑事訴訟事件_既済(件),刑事訴訟事件_未済(件),略式・交通即決_新規(件),略式・交通即決_既済(件),略式・交通即決_未済(件),その他_新規(件),その他_既済(件),その他_未済(件)
大仙市(中仙地域を除く)_美郷町管内,2005(平成17),897,918,0,4,4,0,431,452,0,462,462,0
大仙市(中仙地域を除く)_美郷町管内,2006(平成18）,799,798,1,7,6,1,385,385,0,407,407,0
大仙市(中仙地域を除く)_美郷町管内,2007(平成19）,647,640,8,13,12,2,304,298,6,330,330,0
大仙市(中仙地域を除く)_美郷町管内,2008(平成20）,592,586,14,20,17,5,213,210,9,359,359,0
大仙市(中仙地域を除く)_美郷町管内,2009(平成21）,638,628,24,28,29,4,256,245,20,354,354,0
大仙市(中仙地域を除く)_美郷町管内,2010(平成22）,650,659,15,14,16,2,251,258,13,385,385,0
大仙市(中仙地域を除く)_美郷町管内,2011(平成23）,479,489,5,4,6,0,204,212,5,271,271,0
大仙市(中仙地域を除く)_美郷町管内,2012(平成24）,507,504,8,15,12,3,209,209,5,283,283,0
大仙市(中仙地域を除く)_美郷町管内,2013(平成25）,486,493,1,14,16,1,210,215,0,262,262,0
大仙市(中仙地域を除く)_美郷町管内,2014(平成26）,393,392,2,15,16,0,144,142,2,234,234,0
大仙市(中仙地域を除く)_美郷町管内,2015(平成27）,305,298,9,10,8,2,124,119,7,171,171,0
大仙市(中仙地域を除く)_美郷町管内,2016(平成28）,280,284,5,5,7,0,108,110,5,167,167,0
大仙市(中仙地域を除く)_美郷町管内,2017(平成29）,336,323,18,5,1,4,108,99,14,223,223,0
大仙市(中仙地域を除く)_美郷町管内,2018(平成30）,417,423,12,13,15,2,127,131,10,277,277,0
大仙市(中仙地域を除く)_美郷町管内,2019(平成31/令和1）,323,324,11,6,7,1,126,126,10,191,191,0
大仙市(中仙地域を除く)_美郷町管内,2020(令和2）,253,259,5,7,7,1,102,108,4,144,144,0
大仙市(中仙地域を除く)_美郷町管内,2021(令和3）,257,258,4,7,8,0,100,100,4,15,15,0
