年度,年齢5歳階級,(男女)総数,(男)総数(人),(男)未婚(人),(男)有配偶(人),(男)死別(人),(男)離別(人),(女)総数(人),(女)未婚(人),(女)有配偶(人),(女)死別(人),(女)離別(人)
2005,総数,82118,38139,9239,26073,1526,1295,43979,6496,26291,9291,1880
2005,15-19歳,4204,2196,2192,4,0,0,2008,1995,12,0,1
2005,20-24歳,3514,1782,1591,180,0,11,1732,1434,277,1,20
2005,25-29歳,4611,2429,1604,788,0,37,2182,1117,977,1,87
2005,30-34歳,4776,2391,1025,1296,1,69,2385,571,1637,9,168
2005,35-39歳,4566,2247,643,1482,5,117,2319,303,1811,15,187
2005,40-44歳,5499,2732,664,1923,8,136,2767,235,2311,39,182
2005,45-49歳,6366,3127,520,2400,23,183,3239,143,2743,89,264
2005,50-54歳,7668,3763,467,3014,53,228,3905,148,3325,164,267
2005,55-59歳,7479,3738,273,3212,79,174,3741,118,3085,303,235
2005,60-64歳,5796,2609,108,2263,95,143,3187,93,2505,472,117
2005,65-69歳,6840,3029,73,2692,175,89,3811,84,2737,861,126
2005,70-74歳,7390,3228,46,2879,238,65,4162,98,2424,1548,92
2005,75-79歳,6436,2601,20,2242,313,24,3835,66,1702,1994,66
2005,80-84歳,3985,1414,7,1150,243,13,2571,53,603,1874,38
2005,85-89歳,2031,613,4,432,171,6,1418,27,130,1240,19
2005,90-94歳,768,194,2,105,87,0,574,9,12,542,9
2005,95-99歳,177,43,0,11,32,0,134,2,0,130,2
2005,100歳以上,12,3,0,0,3,0,9,0,0,9,0
2010,総数,78551,36219,9031,24158,1584,1439,42332,6350,24356,9367,2225
2010,15-19歳,3633,1845,1840,5,0,0,1788,1784,4,0,0
2010,20-24歳,2711,1358,1245,107,1,4,1353,1151,177,1,23
2010,25-29歳,3819,1947,1305,606,1,35,1872,1022,762,3,84
2010,30-34歳,4716,2457,1145,1238,1,73,2259,672,1420,10,157
2010,35-39歳,4746,2352,799,1442,6,104,2394,410,1733,15,235
2010,40-44歳,4544,2257,604,1500,5,148,2287,283,1747,21,235
2010,45-49歳,5383,2638,618,1854,8,158,2745,232,2215,60,238
2010,50-54歳,6235,3034,517,2282,28,206,3201,151,2614,135,299
2010,55-59歳,7510,3674,446,2896,81,251,3836,156,3148,251,280
2010,60-64歳,7335,3650,276,3072,111,191,3685,114,2873,443,254
2010,65-69歳,5570,2452,102,2090,137,123,3118,87,2242,654,132
2010,70-74歳,6421,2774,75,2402,217,79,3647,78,2316,1137,112
2010,75-79歳,6675,2773,38,2380,313,41,3902,93,1814,1910,83
2010,80-84歳,5190,1848,14,1492,324,16,3342,60,1018,2205,55
2010,85-89歳,2750,844,4,619,214,7,1906,35,237,1597,28
2010,90-94歳,1043,252,1,149,99,3,791,21,32,728,7
2010,95-99歳,235,58,2,24,32,0,177,1,4,168,3
2010,100歳以上,35,6,0,0,6,0,29,0,0,29,0
2015,総数,74023,34055,8787,22233,1540,1483,39968,6056,22411,9106,2373
2015,15-19歳,3132,1627,1624,3,0,0,1505,1504,1,0,0
2015,20-24歳,2261,1101,1032,66,0,3,1160,1023,128,0,9
2015,25-29歳,3134,1619,1127,476,0,16,1515,830,617,2,66
2015,30-34歳,3988,2020,950,1013,1,55,1968,650,1185,8,125
2015,35-39歳,4718,2442,894,1447,2,99,2276,477,1594,11,194
2015,40-44歳,4746,2325,684,1503,9,129,2421,350,1732,31,306
2015,45-49歳,4506,2226,558,1492,13,162,2280,275,1720,30,254
2015,50-54歳,5345,2599,567,1839,26,166,2746,241,2159,98,248
2015,55-59歳,6194,3015,506,2236,46,227,3179,145,2539,185,309
2015,60-64歳,7340,3551,417,2775,98,257,3789,145,3000,370,272
2015,65-69歳,7118,3502,259,2917,146,180,3616,111,2633,628,244
2015,70-74歳,5201,2223,89,1884,152,97,2978,91,1908,853,124
2015,75-79歳,5678,2318,48,1964,247,56,3360,79,1707,1465,107
2015,80-84歳,5476,2059,25,1667,336,30,3417,76,1069,2200,65
2015,85-89歳,3502,1051,6,744,298,3,2451,34,362,2019,34
2015,90-94歳,1354,323,1,181,138,3,1031,19,55,942,13
2015,95-99歳,297,49,0,24,25,0,248,5,2,238,2
2015,100歳以上,33,5,0,2,3,0,28,1,0,26,1
2020,総数,69622,32225,8526,20362,1494,1544,37397,5651,20517,8486,2397
2020,15-19歳,2723,1431,1428,2,0,0,1292,1288,3,0,0
2020,20-24歳,1982,1068,984,60,0,3,914,795,97,0,6
2020,25-29歳,2559,1298,892,364,0,14,1261,722,475,1,49
2020,30-34歳,3200,1643,845,737,0,45,1557,522,912,2,108
2020,35-39歳,4025,2035,730,1201,1,77,1990,490,1306,5,173
2020,40-44歳,4735,2469,762,1534,5,151,2266,383,1621,22,221
2020,45-49歳,4688,2308,643,1469,15,162,2380,329,1689,39,294
2020,50-54歳,4455,2209,527,1461,23,172,2246,255,1666,53,255
2020,55-59歳,5283,2557,518,1776,41,201,2726,238,2062,142,272
2020,60-64歳,6101,2943,483,2159,63,214,3158,145,2437,269,294
2020,65-69歳,7144,3407,379,2638,133,229,3737,150,2807,504,256
2020,70-74歳,6705,3244,223,2672,183,142,3461,115,2288,834,204
2020,75-79歳,4705,1901,61,1576,182,66,2804,76,1455,1128,107
2020,80-84歳,4855,1834,31,1472,273,43,3021,60,1133,1707,81
2020,85-89歳,3982,1333,17,955,331,18,2649,53,465,2037,53
2020,90-94歳,1948,465,2,260,196,3,1483,23,96,1314,22
2020,95-99歳,472,72,1,25,41,4,400,6,4,380,2
2020,100歳以上,60,8,0,1,7,0,52,1,1,49,0
