地域コード,都道府県名,市町村,年次,面積規模,事業所数(店),従業員数(人),売場面積(平方メートル),年間商品販売額(万円)
052124,秋田県,大仙市,2007年(平成19）,総計,"1,224","6,613","171,879","10,284,923"
052124,秋田県,大仙市,2007年(平成19）,10平方メートル未満,31,71,200,"26,558"
052124,秋田県,大仙市,2007年(平成19）,10平方メートル以上∼20平方メートル未満,121,253,"1,652","205,022"
052124,秋田県,大仙市,2007年(平成19）,20平方メートル以上∼30平方メートル未満,130,315,"3,049","203,394"
052124,秋田県,大仙市,2007年(平成19）,30平方メートル以上∼50平方メートル未満,225,637,"8,448","666,308"
052124,秋田県,大仙市,2007年(平成19）,50平方メートル以上∼100平方メートル未満,247,868,"16,681","1,103,248"
052124,秋田県,大仙市,2007年(平成19）,100平方メートル以上∼250平方メートル未満,119,731,"16,521","935,344"
052124,秋田県,大仙市,2007年(平成19）,250平方メートル以上∼500平方メートル未満,33,259,"12,170","424,432"
052124,秋田県,大仙市,2007年(平成19）,500平方メートル以上∼1000平方メートル未満,23,252,"16,037","481,665"
052124,秋田県,大仙市,2007年(平成19）,1000平方メートル以上∼1500平方メートル未満,16,375,"19,496","769,753"
052124,秋田県,大仙市,2007年(平成19）,1500平方メートル以上∼3000平方メートル未満,12,478,"22,592","1,276,626"
052124,秋田県,大仙市,2007年(平成19）,3000平方メートル以上∼6000平方メートル未満,4,251,"16,254","434,525"
052124,秋田県,大仙市,2007年(平成19）,6000平方メートル以上,3,608,"38,779","886,299"
052124,秋田県,大仙市,2007年(平成19）,不詳,260,"1,515",-,"2,871,749"
052124,秋田県,大仙市,2012年(平成24),総計,931,"4,761","143,038","8,397,960"
052124,秋田県,大仙市,2012年(平成24),10平方メートル未満,23,40,140,"29,533"
052124,秋田県,大仙市,2012年(平成24),10平方メートル以上∼20平方メートル未満,80,149,"1,130","146,643"
052124,秋田県,大仙市,2012年(平成24),20平方メートル以上∼30平方メートル未満,101,219,"2,357","176,193"
052124,秋田県,大仙市,2012年(平成24),30平方メートル以上∼50平方メートル未満,184,480,"6,915","429,277"
052124,秋田県,大仙市,2012年(平成24),50平方メートル以上∼100平方メートル未満,163,522,"10,989","734,785"
052124,秋田県,大仙市,2012年(平成24),100平方メートル以上∼250平方メートル未満,98,480,"14,170","726,896"
052124,秋田県,大仙市,2012年(平成24),250平方メートル以上∼500平方メートル未満,34,226,"11,694","296,591"
052124,秋田県,大仙市,2012年(平成24),500平方メートル以上∼1000平方メートル未満,22,210,"15,891","388,250"
052124,秋田県,大仙市,2012年(平成24),1000平方メートル以上∼1500平方メートル未満,7,121,"8,117","277,642"
052124,秋田県,大仙市,2012年(平成24),1500平方メートル以上∼3000平方メートル未満,10,466,"19,849","908,633"
052124,秋田県,大仙市,2012年(平成24),3000平方メートル以上∼6000平方メートル未満,6,249,"26,969","764,928"
052124,秋田県,大仙市,2012年(平成24),6000平方メートル以上,2,331,"24,817","665,437"
052124,秋田県,大仙市,2012年(平成24),不詳,201,"1,268",-,"2,853,152"
052124,秋田県,大仙市,2014年(平成26),総計,884,"5,165","148,140","9,355,566"
052124,秋田県,大仙市,2014年(平成26),10平方メートル未満,28,69,162,"50,715"
052124,秋田県,大仙市,2014年(平成26),10平方メートル以上∼20平方メートル未満,73,183,"1,079","179,737"
052124,秋田県,大仙市,2014年(平成26),20平方メートル以上∼30平方メートル未満,86,237,"2,048","267,454"
052124,秋田県,大仙市,2014年(平成26),30平方メートル以上∼50平方メートル未満,147,376,"5,468","303,662"
052124,秋田県,大仙市,2014年(平成26),50平方メートル以上∼100平方メートル未満,180,615,"12,393","920,224"
052124,秋田県,大仙市,2014年(平成26),100平方メートル以上∼250平方メートル未満,116,625,"16,923","813,967"
052124,秋田県,大仙市,2014年(平成26),250平方メートル以上∼500平方メートル未満,35,226,"12,651","325,630"
052124,秋田県,大仙市,2014年(平成26),500平方メートル以上∼1000平方メートル未満,25,274,"19,604","481,738"
052124,秋田県,大仙市,2014年(平成26),1000平方メートル以上∼1500平方メートル未満,9,123,"10,446","269,684"
052124,秋田県,大仙市,2014年(平成26),1500平方メートル以上∼3000平方メートル未満,6,398,"11,200","771,908"
052124,秋田県,大仙市,2014年(平成26),3000平方メートル以上∼6000平方メートル未満,5,139,"19,387","409,805"
052124,秋田県,大仙市,2014年(平成26),6000平方メートル以上,4,377,"36,779","979,187"
052124,秋田県,大仙市,2014年(平成26),不詳,170,"1,523",-,"3,581,855"
