７５　手形の交換状況,,,,,,
,,,,,,
（１）交換高,,,,,,各年度
年度,交換高,,,"開設日数
（日）",１日平均,
,"枚数
（千枚）","金額
(百万円)","交換尻
(百万円)",,"枚数
（枚）","金額
(百万円)"
,,,,,,
平成24年度,129 ,"184,581 ","95,967 ",245 ,527 ,753 
25,126 ,"188,302 ","100,239 ",245 ,514 ,772 
26,119 ,"184,590 ","97,720 ",246 ,482 ,750 
27,111 ,"176,548 ","93,917 ",245 ,454 ,721 
28,104 ,"165,418 ","91,599 ",245 ,424 ,675 
29,98 ,"163,603 ","92,777 ",245 ,400 ,668 
30,94 ,"159,552 ","92,654 ",244 ,384 ,654 
令和元年度,87 ,"153,653 ","92,521 ",241 ,361 ,638 
２,78 ,"140,103 ","88,309 ",241 ,323 ,581 
３,72 ,"127,425 ","78,004 ",244 ,295 ,522 
　資料　秋田県銀行協会,,,,,,
,,,,,,
（２）不渡手形,,,,,各年度,
年度,不渡高,,内取引停止処分,,,
,"枚数
（枚）","金額
(百万円)","枚数
（枚）","金額
(百万円)","人員
（人）",
,,,,,,
平成24年度,53 ,38 ,8 ,4 ,5 ,
25,84 ,160 ,14 ,16 ,10 ,
26,23 ,8 ,2 , - ,2 ,
27,68 ,102 ,6 ,2 ,3 ,
28,33 ,13 ,6 ,3 ,4 ,
29,139 ,73 ,9 ,4 ,5 ,
30,115 ,137 ,19 ,12 ,5 ,
令和元年度,65 ,30 ,5 ,1 ,4 ,
２, - , - , - , - , - ,
３,47 ,90 ,8 ,20 ,3 ,
　資料　秋田県銀行協会秋田手形交換所,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
