年度,産業大分類,民営事業所数(所),従業者数(人),うち男性(人),1～4人の事業所数(所),従業者数(人),うち男性(人),5～9人の事業所数(所),従業者数(人),うち男性(人),10～19人の事業所数(所),従業者数(人),うち男性(人),20～29人の事業所数(所),従業者数(人),うち男性(人),30人以上の事業所数(所),従業者数(人),うち男性(人),出向・派遣従業者のみの事業所(所),従業者数(人),うち男性(人),,,,,,
2006,全産業,"4,705","36,319","20,245","3,044","6,031","2,884",819,"5,371","2,998",468,"6,261","3,864",177,"4,120","2,574",193,"14,536","7,935",4,-,-,,,,,,
2006,農林漁業,46,492,389,15,38,26,12,85,63,11,170,135,7,156,132,1,43,33,-,-,-,,,,,,
2006,農業，林業,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,漁業,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,非農林漁業(S公務を除く),"4,659","35,827","19,856","3,029","5,993","2,858",807,"5,286","2,935",457,"6,091","3,729",170,"3,964","2,442",192,"14,493","7,892",4,-,-,,,,,,
2006,鉱業，採石業，砂利採取業,11,197,167,2,5,2,2,15,11,4,54,47,1,29,24,2,94,83,-,-,-,,,,,,
2006,建設業,605,"5,331","4,658",281,601,526,149,969,823,99,"1,325","1,136",48,"1,102",978,28,"1,334","1,195",-,-,-,,,,,,
2006,製造業,380,"6,725","3,453",141,325,205,84,559,266,66,923,467,35,839,425,54,"4,079","2,090",-,-,-,,,,,,
2006,電気・ガス・熱供給・水道業,3,168,159,-,-,-,-,-,-,-,-,-,1,21,21,2,147,138,-,-,-,,,,,,
2006,情報通信業,17,107,71,11,24,13,4,30,23,1,12,5,-,-,-,1,41,30,-,-,-,,,,,,
2006,運輸業，郵便業,75,"1,004",865,30,64,53,8,55,43,17,228,193,6,145,133,13,512,443,1,-,-,,,,,,
2006,卸売業，小売業,"1,457","8,621","4,167",992,"2,117","1,001",271,"1,736",950,130,"1,697","1,037",31,720,371,33,"2,351",808,-,-,-,,,,,,
2006,金融業，保険業,75,648,313,36,76,42,21,141,82,9,108,49,4,96,31,5,227,109,-,-,-,,,,,,
2006,不動産業，物品賃貸業,71,140,83,67,121,70,3,19,13,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,
2006,学術研究，専門・技術サービス業,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,宿泊業，飲食サービス業,511,"2,157",681,392,805,226,71,457,132,32,440,149,9,214,68,6,241,106,1,-,-,,,,,,
2006,生活関連サービス業，娯楽業,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,教育，学習支援業,85,294,150,67,104,33,11,72,39,4,44,22,3,74,56,-,-,-,-,-,-,,,,,,
2006,医療，福祉,189,"2,920",639,65,123,57,65,462,103,31,405,77,10,222,17,18,"1,708",385,-,-,-,,,,,,
2006,複合サービス事業,71,978,636,33,88,32,13,88,36,13,192,139,3,70,45,9,540,384,-,-,-,,,,,,
2006,サービス業(他に分類されないもの),"1,109","6,537","3,814",912,"1,540",598,105,683,414,51,663,408,19,432,273,21,"3,219","2,121",1,-,-,,,,,,
2009,全産業,4820,35557,19300,3039,6142,2958,886,5772,3249,508,6883,4065,167,3981,2361,116,4317,2574,68,4520,2239,19,3942,1854,17,-,-
2009,農林漁業,78,1025,805,19,56,42,19,124,81,25,370,288,10,240,202,4,122,105,-,-,-,1,113,87,-,-,-
2009,農業，林業,76,1006,786,18,53,39,19,124,81,24,354,272,10,240,202,4,122,105,-,-,-,1,113,87,-,-,-
2009,漁業,2,19,19,1,3,3,-,-,-,1,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,非農林漁業(公務を除く）,4742,34532,18495,3020,6086,2916,867,5648,3168,483,6513,3777,157,3741,2159,112,4195,2469,68,4520,2239,18,3829,1767,17,-,-
2009,鉱業，採石業，砂利採取業,8,108,90,4,13,6,-,-,-,3,40,34,-,-,-,-,-,-,1,55,50,-,-,-,-,-,-
2009,建設業,601,4912,4243,290,641,538,164,1087,907,92,1287,1111,31,757,672,19,692,633,3,216,170,2,232,212,-,-,-
2009,製造業,378,5419,2854,156,345,208,81,556,296,65,898,489,28,649,324,25,930,469,18,1251,513,5,790,555,-,-,-
2009,電気・ガス・熱供給・水道業,4,246,230,-,-,-,-,-,-,-,-,-,1,21,21,-,-,-,3,225,209,-,-,-,-,-,-
2009,情報通信業,16,131,88,11,28,12,2,13,9,1,10,3,1,27,21,-,-,-,1,53,43,-,-,-,-,-,-
2009,運輸業，郵便業,93,1291,1093,25,63,51,25,165,141,21,296,253,9,214,197,8,23,274,4,233,177,-,-,-,1,-,-
2009,卸売業，小売業,1405,8585,4016,932,2005,938,274,1751,932,130,1691,929,32,775,408,14,525,266,16,1103,355,3,735,188,4,-,-
2009,金融業，保険業,69,587,238,33,77,42,19,125,76,9,119,49,2,51,12,6,215,59,-,-,-,-,-,-,-,-,-
2009,不動産業，物品賃貸業,119,442,266,91,182,110,21,124,89,3,38,24,1,20,8,2,78,35,-,-,-,-,-,-,1,-,-
2009,学術研究，専門・技術サービス業,154,901,568,109,240,156,20,131,75,17,221,151,3,65,40,3,105,56,2,139,90,-,-,-,-,-,-
2009,宿泊業，飲食サービス業,558,2738,925,402,821,235,87,551,167,44,588,216,11,247,93,11,400,163,2,131,51,-,-,-,1,-,-
2009,生活関連サービス業，娯楽業,639,1982,749,564,832,150,32,198,70,23,320,181,11,263,133,6,235,110,2,134,105,-,-,-,1,-,-
2009,教育，学習支援業,88,305,143,70,99,34,10,63,33,6,84,36,1,25,19,1,34,21,-,-,-,-,-,-,-,-,-
2009,医療，福祉,228,3852,901,74,155,71,70,497,110,46,633,97,14,339,36,8,3069,123,9,507,129,5,1412,335,2,-,-
2009,複合サービス事業,66,830,502,33,94,31,19,122,61,3,32,24,2,56,37,5,194,124,2,135,85,1,197,140,1,-,-
