,４８　　農　　業　　の　　概　　況　,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年２月１日現在,
,年次,農家数,,,,,農業人口,,,,"出稼者数
（人）",経 営 耕 地 面 積 (ha),,,,
,,実　　　数　（戸）,,,,"農家率
（％）",農家人口,"農業
従事者","農業就業
人口","農家
人口率
（％）",,総数,田,樹園地,畑,
,,総数,専業,一種兼業,二種兼業,,,,,,,,,,,
,昭和50年,"6,369 ",254 ,"1,681 ","4,434 ",8.1 ,"31,090 ","18,586 ","8,994 ",11.9 ,101 ,"6,294 ","5,707 ",47 ,540 ,
,55,"5,932 ",248 ,"1,434 ","4,250 ",6.8 ,"28,214 ","16,195 ","7,411 ",10.0 ,41 ,"6,075 ","5,576 ",46 ,453 ,
,60,"5,453 ",304 ,"1,084 ","4,065 ",5.7 ,"25,344 ","14,852 ","6,688 ",8.6 ,44 ,"5,862 ","5,424 ",42 ,396 ,
,平成２年,"4,939 ",419 ,784 ,"3,736 ",4.8 ,"22,508 ","13,294 ","6,414 ",7.5 ,38 ,"5,448 ","5,118 ",40 ,290 ,
,７,"4,341 ",452 ,822 ,"3,067 ",3.8 ,"19,165 ","11,690 ","5,855 ",6.2 ,20 ,"5,006 ","4,691 ",36 ,279 ,
,12,"3,203 ",453 ,430 ,"2,320 ",2.6 ,"14,027 ","9,343 ","4,793 ",4.4 ,5 ,"4,623 ","4,382 ",31 ,211 ,
,17,"4,303 ",680 ,483 ,"3,140 ",3.2 ,…,"12,371 ","6,512 ",…,12 ,"7,446 ","7,059 ",50 ,338 ,
,22,"3,495 ",788 ,377 ,"2,330 ",2.6 ,…,"9,894 ","5,466 ",…,…,"7,032 ","6,649 ",40 ,344 ,
,27,"2,676 ",716 ,328 ,"1,632 ",2.0 ,…,"6,919 ","3,928 ",…,…,"6,254 ","5,952 ",45 ,257 ,
,令和２年,"1,941 ",…,…,…,1.4 ,…,"4,690 ",…,…,…,"5,187 ","4,984 ",27 ,176 ,
,　資料　農林水産省「世界農林業ｾﾝｻｽ・農業ｾﾝｻｽ」、秋田県「秋田県統計書」,,,,,,,,,,,,,,,
,　　注）１　対象は、平成７年までは自給的農家を含めた総農家、平成12年から平成27年までは販売農家のみ、令和２年から農家数は販売農家、農業人口と経営耕地面積は個人経営体を対象とする。,,,,,,,,,,,,,,,
,　　　　２　農家数のうち、専業および一種兼業ならびに二種兼業は、令和２年から調査していない。,,,,,,,,,,,,,,,
,　　　　３　農家率とは、全世帯に占める農家数の割合。農家人口率とは、全人口に占める農家人口の割合である。,,,,,,,,,,,,,,,
,　　　　４　農家人口とは、農業に従事しない人を含めた農家の世帯員数である。なお、平成17年から調査していない。,,,,,,,,,,,,,,,
,　　　　５　農業就業人口とは、「自営農業だけに従事した人」＋「自営農業が主で他にも仕事をした人」。平成７年から対象者が16歳以上から15歳以上に変更となった。なお、令和２年から調査していない。,,,,,,,,,,,,,,,
,　　　　６　農業従事者とは、「農業就業人口」＋「その他の仕事が主の人」。平成７年から対象者が16歳以上から15歳以上に変更となった。,,,,,,,,,,,,,,,
,　　　　７　平成17年から経営体の概念が変わったため、農家人口と農家人口率は、調査および集計されていない。,,,,,,,,,,,,,,,
,　　　　８　出稼者数については、平成17年から日雇・臨時雇も含む。なお、平成22年から調査していない。,,,,,,,,,,,,,,,
