１８１　市  税  の  税  目　別　収　入　状　況,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,単位：千円、％,,,,,,,,,,,,,,,,,,,,
税　　目　　別,,,令和２年度,,,３,,,,,,,,,,,,,,,,,,,,,
,,,調定額,収入済額,収入率,調定額,収入済額,収入率,,,,,,,,,,,,,,,,,,,
,,,Ａ,Ｂ,Ｂ／Ａ,Ａ,Ｂ,Ｂ／Ａ,,,,,,,,,,,,,,,,,,,
現年課税分,市民税,個人,"15,574,697 ","15,483,998 ",99.4,"15,470,076 ","15,338,626 ",99.2%,,,,,,,,,,,,,,,,,,,
,,法人,"3,480,681 ","3,408,654 ",97.9,"3,855,259 ","3,845,869 ",99.8%,,,,,,,,,,,,,,,,,,,
,,計,"19,055,378 ","18,892,652 ",99.1,"19,325,335 ","19,184,495 ",99.3%,,,,,,,,,,,,,,,,,,,
,固定資産税    ,固定資産税,"19,262,480 ","18,935,522 ",98.3,"18,781,612 ","18,559,387 ",98.8%,,,,,,,,,,,,,,,,,,,
,,交付金,"206,097 ","206,097 ",100.0,"203,611 ","203,611 ",100.0%,,,,,,,,,,,,,,,,,,,
,,計,"19,468,577 ","19,141,619 ",98.3,"18,985,223 ","18,762,998 ",98.8%,,,,,,,,,,,,,,,,,,,
,軽自動車税,,"802,669 ","796,869 ",99.3,"838,960 ","831,446 ",99.1%,,,,,,,,,,,,,,,,,,,
,市たばこ税,,"1,946,669 ","1,946,669 ",100.0,"2,101,046 ","2,101,046 ",100.0%,,,,,,,,,,,,,,,,,,,
,鉱産税,,"6,684 ","6,684 ",100.0,"4,131 ","4,131 ",100.0%,,,,,,,,,,,,,,,,,,,
,"特別土地
保有税",, - , - , - , - , - ,-,,,,,,,,,,,,,,,,,,,
,入湯税,,"20,639 ","20,639 ",100.0,"34,736 ","34,736 ",100.0%,,,,,,,,,,,,,,,,,,,
,事業所税,,"1,532,124 ","1,509,546 ",98.5,"1,501,593 ","1,491,076 ",99.3%,,,,,,,,,,,,,,,,,,,
,現年課税分計,,"42,832,740 ","42,314,678 ",98.8,"42,791,024 ","42,409,928 ",99.1%,,,,,,,,,,,,,,,,,,,
滞納繰越分計,,,"1,615,234 ","347,056 ",21.5,"1,628,310 ","400,108 ",24.6%,,,,,,,,,,,,,,,,,,,
市税合計,,,"44,447,974 ","42,661,734 ",96.0,"44,419,334 ","42,810,036 ",96.4%,,,,,,,,,,,,,,,,,,,
　資料　秋田市市民税課「税務概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
