年次,常勤医師（人）,非常勤医師（人）,常勤歯科医師（人）,非常勤歯科医師（人）,薬剤師（人）,保健師（人）,助産師（人）,看護師（人）,准看護師（人）,看護業務補助者（人）,理学療法士（PT）（人）,作業療法士（OT）（人）,視能訓練士（人）,言語聴覚士（人）,義肢装具士（人）,歯科衛生士（人）,歯科技工士（人）,診療放射線技師（人）,診察X線技師（人）,臨床検査技師（人）,衛生検査技師（人）,臨床工学技士（人）,あん摩マッサージ指圧師（人）,柔道整復師（人）,管理栄養士（人）,栄養士（人）,精神保健福祉士（人）,社会福祉士（人）,介護福祉士（人）,その他の技術員（人）,医療社会事業従業者（人）,事務職員（人）,その他の職員（人）
2020,118.0 ,26.9 ,3.0 ,0.3 ,34.0 ,4.0 ,26.2 ,821.2 ,49.4 ,137.9 ,66.2 ,54.5 ,3.1 ,12.0 ,-,7.2 ,1.0 ,39.0 ,-,53.0 ,-,16.0 ,1.0 ,-,18.0 ,-,16.4 ,6.0 ,22.8 ,5.0 ,6.0 ,204.4 ,57.6 
2019,123.0 ,21.4 ,4.0 ,0.4 ,31.0 ,4.0 ,27.7 ,826.0 ,71.2 ,148.5 ,62.2 ,49.4 ,2.1 ,12.0 ,-,7.5 ,1.0 ,38.0 ,-,55.5 ,-,17.8 ,1.0 ,-,17.0 ,1.0 ,16.0 ,14.0 ,32.0 ,4.7 ,4.4 ,191.5 ,64.3 
2018,123.0 ,21.4 ,4.0 ,0.4 ,31.0 ,4.0 ,27.7 ,826.0 ,71.2 ,148.5 ,62.2 ,49.4 ,2.1 ,12.0 ,-,7.5 ,1.0 ,38.0 ,-,55.5 ,-,17.8 ,1.0 ,-,17.0 ,1.0 ,16.0 ,14.0 ,32.0 ,4.7 ,4.4 ,191.5 ,64.3 
2017,123.0 ,21.4 ,4.0 ,0.4 ,31.0 ,4.0 ,27.7 ,826.0 ,71.2 ,148.5 ,62.2 ,49.4 ,2.1 ,12.0 ,-,7.5 ,1.0 ,38.0 ,-,55.5 ,-,17.8 ,1.0 ,-,17.0 ,1.0 ,16.0 ,14.0 ,32.0 ,4.7 ,4.4 ,191.5 ,64.3 
2016,119.0 ,15.7 ,4.0 ,0.5 ,31.6 ,4.0 ,27.7 ,809.2 ,78.1 ,133.7 ,59.6 ,50.5 ,2.0 ,9.0 ,-,7.2 ,1.0 ,38.0 ,-,53.5 ,-,17.0 ,1.0 ,-,17.6 ,2.0 ,15.0 ,4.0 ,47.0 ,8.0 ,5.0 ,212.5 ,59.0 
2015,113.0 ,15.9 ,3.0 ,0.3 ,29.6 ,4.0 ,26.7 ,798.5 ,83.0 ,139.7 ,58.0 ,50.7 ,2.0 ,10.0 ,-,7.0 ,1.0 ,37.0 ,-,55.2 ,-,17.0 ,1.0 ,-,18.0 ,1.0 ,15.0 ,3.0 ,43.0 ,8.5 ,5.0 ,224.0 ,66.2 
2014,116.0 ,14.2 ,3.0 ,0.5 ,32.2 ,4.0 ,27.7 ,794.6 ,91.2 ,137.5 ,49.0 ,49.7 ,2.0 ,9.0 ,-,7.0 ,1.0 ,37.0 ,-,53.2 ,-,17.0 ,1.0 ,1.0 ,17.0 ,1.0 ,16.0 ,3.0 ,42.0 ,8.0 ,5.0 ,206.3 ,69.9 
2013,107.0 ,20.4 ,2.0 ,1.3 ,29.9 ,4.0 ,25.9 ,760.9 ,106.4 ,120.1 ,44.5 ,43.6 ,2.0 ,9.0 ,-,6.8 ,1.0 ,35.0 ,-,52.3 ,-,14.0 ,1.0 ,1.0 ,15.0 ,4.0 ,9.0 ,1.0 ,40.0 ,9.5 ,9.3 ,185.4 ,80.9 
2012,107.0 ,20.4 ,2.0 ,1.3 ,29.9 ,4.0 ,25.9 ,760.9 ,106.4 ,120.1 ,44.5 ,43.6 ,2.0 ,9.0 ,-,6.8 ,1.0 ,35.0 ,-,52.3 ,-,14.0 ,1.0 ,1.0 ,15.0 ,4.0 ,9.0 ,1.0 ,40.0 ,9.5 ,9.3 ,185.4 ,80.9 
2011,111.0 ,24.4 ,3.0 ,0.6 ,32.3 ,3.0 ,22.9 ,771.8 ,118.6 ,117.1 ,42.8 ,37.9 ,2.0 ,7.0 ,-,6.8 ,1.0 ,36.0 ,-,54.8 ,-,14.0 ,1.0 ,-,14.0 ,4.0 ,9.0 ,1.0 ,35.0 ,15.0 ,9.3 ,186.6 ,75.4 
2010,111.0 ,24.4 ,3.0 ,0.6 ,32.3 ,3.0 ,22.9 ,771.8 ,118.6 ,115.6 ,39.8 ,35.9 ,2.0 ,6.0 ,-,6.8 ,1.0 ,35.0 ,-,54.5 ,-,12.0 ,3.0 ,1.0 ,14.0 ,3.0 ,8.0 ,1.0 ,32.0 ,13.6 ,8.3 ,178.3 ,75.3 
2009,116.0 ,24.2 ,3.0 ,0.5 ,32.1 ,3.0 ,23.9 ,771.2 ,122.8 ,105.6 ,39.6 ,36.7 ,2.0 ,7.0 ,-,6.8 ,1.0 ,35.0 ,-,53.8 ,-,11.0 ,3.0 ,1.0 ,14.0 ,3.0 ,7.0 ,1.0 ,28.0 ,22.2 ,8.3 ,175.3 ,92.7 
2008,114.0 ,20.8 ,3.0 ,0.7 ,31.1 ,3.0 ,24.0 ,768.9 ,129.0 ,82.3 ,37.0 ,31.1 ,2.0 ,8.0 ,-,7.0 ,1.0 ,34.6 ,-,54.1 ,-,10.0 ,4.0 ,1.0 ,12.0 ,4.0 ,8.0 ,1.0 ,31.0 ,19.3 ,9.3 ,170.7 ,96.2 
2007,113.0 ,21.2 ,2.0 ,1.5 ,32.0 ,3.0 ,21.0 ,764.1 ,134.3 ,84.8 ,30.0 ,23.1 ,2.0 ,3.0 ,-,7.0 ,3.0 ,35.6 ,-,55.6 ,-,9.0 ,5.0 ,1.0 ,13.0 ,3.8 ,7.0 ,-,28.0 ,16.3 ,14.3 ,175.7 ,94.4 
2006,110.0 ,22.3 ,2.0 ,0.9 ,31.0 ,5.0 ,19.0 ,772.0 ,143.5 ,83.8 ,29.0 ,23.1 ,3.4 ,3.0 ,-,7.0 ,3.0 ,36.0 ,-,54.8 ,-,9.0 ,6.0 ,1.0 ,12.0 ,6.0 ,8.0 ,-,24.0 ,19.0 ,11.3 ,187.2 ,98.8 
