１４０　職　業　紹　介　＜ Ⅲ ＞,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
（３）産業別求人受理状況（常用計）　,,,,,,,,,,,,　各年度間　単位：人,,
"年　　度
年 ・ 月",総数,農林漁業,建設業,製造業,情報通信業,運輸業・　　　　　　　　郵便業,"卸売・
小売業","金融・
保険業","飲食店・
宿泊業",医療・福祉,サービス業,"公務・
その他",,
平成24年度,"35,945 ",66 ,"2,578 ","1,439 ",371 ,"1,444 ","7,220 ",375 ,"5,181 ","5,946 ","8,121 ","1,264 ",,
25,"32,678 ",64 ,"2,603 ","1,444 ",247 ,"1,215 ","6,571 ",318 ,"5,239 ","4,992 ","7,483 ",860 ,,
26,"35,899 ",39 ,"2,563 ","1,514 ",286 ,"1,293 ","6,355 ",224 ,"8,062 ","6,280 ","6,897 ",841 ,,
27,"34,899 ",68 ,"2,528 ","1,472 ",289 ,"1,410 ","6,084 ",349 ,"6,673 ","6,521 ","7,047 ",912 ,,
28,"34,745 ",63 ,"2,572 ","1,440 ",350 ,"1,493 ","6,144 ",336 ,"5,123 ","6,975 ","7,689 ",945 ,,
29,"38,054 ",70 ,"2,762 ","1,896 ",371 ,"1,660 ","6,149 ",346 ,"6,993 ","7,210 ","7,961 ",932 ,,
30,"38,140 ",81 ,"2,632 ","1,642 ",419 ,"1,836 ","6,448 ",346 ,"7,261 ","7,079 ","7,561 ","1,115 ",,
令和元年度,"36,918 ",74 ,"2,930 ","1,506 ",396 ,"1,720 ","6,196 ",444 ,"6,786 ","7,658 ","6,113 ","1,402 ",,
２,"36,673 ",121 ,"3,799 ","1,256 ",455 ,"1,451 ","6,065 ",410 ,"5,928 ","8,497 ","5,610 ","1,353 ",,
３,"36,088 ",109 ,"3,689 ","1,609 ",505 ,"1,413 ","5,784 ",426 ,"4,957 ","8,233 ","6,504 ","1,043 ",,
,,,,,,,,,,,,,,
令和３年４月,"3,006 ",10 ,404 ,145 ,55 ,115 ,472 ,30 ,201 ,740 ,641 ,76 ,,
５,"2,990 ",7 ,313 ,106 ,31 ,145 ,564 ,28 ,363 ,693 ,466 ,69 ,,
６,"3,979 ",8 ,421 ,168 ,40 ,119 ,667 ,57 ,776 ,873 ,652 ,75 ,,
７,"2,797 ",14 ,410 ,124 ,73 ,100 ,458 ,30 ,176 ,706 ,545 ,49 ,,
８,"3,022 ",6 ,303 ,129 ,34 ,132 ,613 ,26 ,364 ,685 ,465 ,64 ,,
９,"3,962 ",10 ,404 ,209 ,53 ,112 ,588 ,68 ,733 ,863 ,723 ,58 ,,
10,"2,179 ",10 ,217 ,94 ,43 ,136 ,323 ,22 ,177 ,564 ,441 ,39 ,,
11,"2,264 ", 5 ,244 ,123 ,33 ,91 ,369 ,20 ,256 ,554 ,396 ,17 ,,
12,"3,094 ",10 ,254 ,119 ,44 ,104 ,457 ,40 ,695 ,646 ,576 ,3 ,,
令和４年１月,"2,550 ",-,164 ,124 ,31 ,128 ,468 ,30 ,272 ,607 ,529 ,48 ,,
２,"2,629 ",14 ,230 ,137 ,41 ,112 ,385 ,30 ,230 ,564 ,451 ,297 ,,
３,"3,616 ",15 ,325 ,131 ,27 ,119 ,420 ,45 ,714 ,738 ,619 ,248 ,,
　資料　秋田公共職業安定所,,,,,,,,,,,,,,
　　注）１　本表は、同職安管内分でパートを含む数値である。（男鹿出張所を除く。）,,,,,,,,,,,,,,
　　　　２　「常用」とは雇用期間を定めないもの又は４か月以上の雇用期間が定められているものをいう。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
