１７０　非　行　少　年　補　導　状　況,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 （１）非行少年 ,,,,,,,,,,,,各年間　単位：人,,,,,,,,,
種別／年次,総数,,,,,,,,,,,,,,,,,,,,
,,,刑法犯少年,,,,,,,,特別法犯,ぐ犯少年,,,,,,,,,
,,,,犯罪少年,,,,,,触法少年,,,,,,,,,,,
,,,,凶悪犯,粗暴犯,窃盗犯,知能犯,風俗犯,"その他
刑法犯",,,,,,,,,,,,
平成25年, 159 , 138 , 116 , 5 ,18 ,63 ,5 , － ,25 ,22 ,19 ,2 ,,,,,,,,,
26, 134 , 109 , 97 , 3 , 13 ,50 ,4 , － ,27 ,12 ,24 ,1 ,,,,,,,,,
27, 124 ,109 , 87 , 1 ,7 ,60 ,5 , － ,14 ,22 ,14 ,1 ,,,,,,,,,
28, 84 ,79 , 55 , － , 11 ,33 ,0 , － ,11 ,24 ,5 , － ,,,,,,,,,
29, 68 , 63 , 41 , － , 4 ,28 , 3 , － , 6 ,22 ,5 , － ,,,,,,,,,
30, 61 , 49 , 36 , － , 3 ,21 , 1 , － , 11 ,13 ,10 ,2 ,,,,,,,,,
令和元年, 59 , 54 , 39 , － ,2 , 26 , 1 , － , 10 , 15 , 5 , － ,,,,,,,,,
２, 61 , 54 , 33 , － ,10 , 16 , 1 , － , 6 , 21 , 7 , － ,,,,,,,,,
３, 67 , 53 , 37 , － ,8 , 18 , 2 , － , 9 , 16 , 13 , 1 ,,,,,,,,,
４, 40 , 36 , 24 , 2 ,0 , 11 , 2 , － , 9 , 12 , 4 , － ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
（２）不良行為少年,,,,,,,,,,,,,,,,,各年間　単位：人,,,,
種別／年次,飲酒,喫煙,薬物乱用,粗暴行為,"刃物等
所持","金品不正
要求･金品
持ち出し","性的
いたずら",暴走行為,家出,無断外泊,"深夜
はいかい",怠学,"不健全性
的行為等",不良交友,"不健全
娯楽",その他,合計,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
平成25年,65 ,152 , － ,55 , 1 ,9 , 1 ,3 ,50 ,12 ,751 ,22 ,6 ,5 , 2 , － ,"1,134 ",,,,
26,40 ,148 , 1 ,49 , 3 ,8 , － , － ,39 ,6 ,633 ,11 ,7 ,2 , － , － ,947 ,,,,
27,42 ,100 , － ,35 , 1 ,14 , － , － ,27 ,6 ,354 ,5 ,7 , － , 14 , － ,605 ,,,,
28,44 ,34 , － ,37 , － ,4 , － , － ,30 ,4 ,330 ,3 ,7 , － , 8 , － ,501 ,,,,
29,28 ,34 , － ,25 , 1 ,7 ,1 , 2 ,35 ,4 ,201 ,8 ,4 , － , 10 , － ,360 ,,,,
30,49 ,45 , － ,19 , － ,1 ,1 , 8 ,22 ,15 ,159 ,11 ,7 , － , 10 , － ,347 ,,,,
令和元年, 49 , 33 , － , 27 , － , 11 , － , － , 42 , 1 , 96 , 2 , 12 , － , 12 , － , 285 ,,,,
２, 33 , 44 , 1 , 30 , － , 5 , 1 , 4 , 46 , 4 , 114 , 5 , 1 , － , 8 , － , 296 ,,,,
３, 32 , 45 , 1 , 27 , 2 , 8 , － , － , 36 , 7 , 171 , 3 , 13 , － , 5 , － , 350 ,,,,
４, 54 , 30 , 8 , 47 , 1 , 5 , － , － , 32 , 6 , 160 , 10 , 11 , － , 8 , － , 372 ,,,,
　資料　秋田県警察本部人身安全対策課,,,,,,,,,,,,,,,,,,,,,
　　注）１　秋田中央警察署、秋田臨港警察署および秋田東警察署内の補導人数をまとめたものである。,,,,,,,,,,,,,,,,,,,,,
　　　　２　特別法犯に道路交通法関係は含まない。,,,,,,,,,,,,,,,,,,,,,
　　　　３　犯罪少年は14歳以上20歳未満、触法少年は14歳未満である。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
