１７８　一般会計の性質別歳出当初予算および決算,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,単位：千円、％,,,,,,
性質別,令和２年度,,,３,,,４,,,,,,
,当初予算額,決算額,構成比,当初予算額,決算額,構成比,当初予算額,,,,,,
総額,"139,600,000 ","178,248,867 ",100.0 ,"136,850,000 ","159,236,846 ",100.0 ,"137,870,000 ",,,,,,
消費的経費,"88,809,942 ","123,991,291 ",69.5 ,"88,604,317 ","104,906,870 ",65.9 ,"92,664,673 ",,,,,,
  うち    人件費,"23,260,031 ","21,967,515 ",12.3 ,"22,809,344 ","21,436,356 ",13.5 ,"22,600,101 ",,,,,,
  うち    物件費,"16,316,006 ","17,391,779 ",9.7 ,"16,786,451 ","19,415,602 ",12.2 ,"19,083,622 ",,,,,,
  うち維持補修費,"1,882,664 ","3,372,864 ",1.9 ,"1,807,733 ","4,569,114 ",2.9 ,"1,782,902 ",,,,,,
  うち    扶助費,"36,135,518 ","35,619,044 ",20.0 ,"36,142,463 ","43,181,594 ",27.1 ,"36,276,810 ",,,,,,
  うち  補助費等,"11,215,723 ","45,640,089 ",25.6 ,"11,058,326 ","16,304,204 ",10.2 ,"12,921,238 ",,,,,,
投資的経費,"16,191,890 ","19,582,749 ",11.0 ,"13,512,624 ","20,172,481 ",12.7 ,"10,299,530 ",,,,,,
普通建設事業費,"14,694,125 ","17,941,296 ",10.1 ,"13,512,619 ","19,906,951 ",12.5 ,"10,293,526 ",,,,,,
    うち補助事業費,"9,568,572 ","11,161,554 ",6.3 ,"9,509,525 ","12,792,860 ",8.0 ,"3,416,232 ",,,,,,
    うち単独事業費,"5,125,553 ","6,779,742 ",3.8 ,"4,003,094 ","7,114,091 ",4.5 ,"6,877,294 ",,,,,,
災害復旧事業費,"1,497,765 ","1,641,453 ",0.9 ,5 ,"265,530 ",0.2 ,"6,004 ",,,,,,
公債費,"13,530,409 ","13,451,877 ",7.5 ,"13,118,683 ","13,009,439 ",8.2 ,"13,109,929 ",,,,,,
積立金,"236,501 ","2,810,402 ",1.6 ,"234,631 ","3,073,999 ",1.9 ,"239,242 ",,,,,,
投資及び出資金,"1,110,411 ","1,073,577 ",0.6 ,"1,086,864 ","1,059,119 ",0.6 ,"1,066,314 ",,,,,,
貸付金,"6,955,295 ","6,883,317 ",3.9 ,"6,955,695 ","6,866,125 ",4.3 ,"6,855,295 ",,,,,,
繰出金," 12,765,552 ","10,455,654 ",5.9 ,"13,337,186 ","10,148,813 ",6.4 ,"13,635,017 ",,,,,,
資料　秋田市財政課,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
