市町村コード,都道府県名,市町村名,地域,年度,行政区域内人口（人）,処理区域内人口（人）,現在処理面積（ha）,下水管施設総延長（m）,総処理水量(m3),1日平均処理状況（m3）,下水道普及率（％）
052124,秋田県,大仙市,市全域,2005(平成17),95155,26640,1084.3,191340,2220620,6084,28
052124,秋田県,大仙市,市全域,2006(平成18),94160,29062,1123.5,203564,2142982,5871,30.9
052124,秋田県,大仙市,市全域,2007(平成19),93103,29719,1165.3,214562,2294500,6185,31.9
052124,秋田県,大仙市,市全域,2008(平成20),92224,32033,1253.4,243413,2380220,6521,34.7
052124,秋田県,大仙市,市全域,2009(平成21),91308,32784,1271.8,247864,2467629,6760,35.9
052124,秋田県,大仙市,市全域,2010(平成22),90406,33527,1293.8,252941,2573559,7051,37.1
052124,秋田県,大仙市,市全域,2011(平成23),89290,34065,1316.9,259083,2574121,7052,38.2
052124,秋田県,大仙市,市全域,2012(平成24),88219,34324,1341.7,264591,2680467,7344,38.9
052124,秋田県,大仙市,市全域,2013(平成25),87239,34289,1357.6,269698,2752028,7540,39.3
052124,秋田県,大仙市,市全域,2014(平成26),86061,34036,1377,273423,2756632,7554,39.5
052124,秋田県,大仙市,市全域,2015(平成27),84903,33859,1388.4,276783,2827847,7747,39.9
052124,秋田県,大仙市,市全域,2016(平成28),83578,33835,1415.5,282105,2968881,8134,40.5
052124,秋田県,大仙市,市全域,2017(平成29),82468,34050,1432.4,285678,3110963,8522,41.3
052124,秋田県,大仙市,市全域,2018(平成30),81144,35330,1452.2,290169,2998907,8216,44.1
052124,秋田県,大仙市,市全域,2019(平成31),79930,35823,1461.9,292353,2937172,8047,44.8
052124,秋田県,大仙市,市全域,2020(令和02),78603,37933,1607.8,343331,3247520,8897,48.3
052124,秋田県,大仙市,市全域,2021(令和03),77299,37587,1607.8,344966,3316118,9085,48.6
052124,秋田県,大仙市,大曲地域,2005(平成17),38376,14482,410.5,78755,1241110,3400,37.7
052124,秋田県,大仙市,大曲地域,2006(平成18),38123,15398,428.1,83754,1228143,3365,40.4
052124,秋田県,大仙市,大曲地域,2007(平成19),37870,15966,443,87455,1312622,3596,42.2
052124,秋田県,大仙市,大曲地域,2008(平成20),37793,16299,455.6,90104,1301392,3565,43.1
052124,秋田県,大仙市,大曲地域,2009(平成21),37555,16608,462.1,91969,1367765,3747,44.2
