年度,大曲（人）,神宮寺（人）,刈和野（人）,峰吉川（人）,羽後境（人）,羽後長野（人）
2000,2748,327,695,147,340,140
2001,2631,323,619,144,351,133
2002,2479,318,615,149,326,144
2003,2423,324,614,146,322,145
2004,2389,342,587,137,309,143
2005,2337,333,555,126,299,122
2006,2350,333,547,112,294,106
2007,2273,309,535,104,294,89
2008,2247,305,525,94,277,95
2009,2153,293,525,82,267,112
2010,2160,300,536,73,266,114
2011,2066,287,525,72,258,109
2012,2085,296,493,X,249,99
2013,2150,289,490,66,252,91
2014,2115,249,440,58,240,86
2015,2127,230,453,63,237,83
2016,2078,214,420,68,208,80
2017,2070,216,364,66,201,89
2018,2043,202,310,67,197,92
2019,1957,184,270,57,202,99
2020,1330,159,224,51,158,71
