地域コード,都道府県名,市町村名,年度,市町村民所得（百万円）,雇用者報酬（百万円）,内、賃金・俸給（百万円）,内、雇主の社会負担（百万円）,財産所得（百万円）,内、一般政府（百万円）,内、家計（百万円）,内、対家計民間非営利団体（百万円）,企業所得（百万円）,内、民間法人企業（百万円）,内、公的企業（百万円）,内、個人企業（百万円）,個人企業の内、農林水産業（百万円）,個人企業の内、その他の産業（百万円）,個人企業の内、持ち家（百万円）
05000,秋田県,県内全域,2006,2716929,1732006,1479176,252830,122968,-47364,168000,2332,861955,557848,26301,277806,9885,63689,204232
05000,秋田県,県内全域,2007,2634625,1713855,1454670,259185,129028,-52777,179058,2747,791742,497557,18080,276105,13032,60118,202955
05000,秋田県,県内全域,2008,2424252,1654499,1406225,248274,118424,-54412,170085,2751,651329,357239,20588,273502,16132,53387,203983
05000,秋田県,県内全域,2009,2394323,1589190,1350594,238596,110755,-53351,161452,2654,694378,401166,20167,273045,9470,47754,215821
05000,秋田県,県内全域,2010,2452076,1575460,1326873,248587,107532,-53603,158279,2856,769084,461838,19916,287330,10446,55808,221076
05000,秋田県,県内全域,2011,2507823,1605619,1352017,253602,176330,-8354,182007,2677,725874,438145,16197,271532,19698,52627,199207
05000,秋田県,県内全域,2012,2465811,1595404,1342829,252575,160989,-7990,166518,2461,709418,406286,15625,287507,31857,52415,203235
05000,秋田県,県内全域,2013,2518916,1582176,1328878,253298,162981,-7562,168054,2489,773759,471048,15910,286801,25907,59569,201325
05000,秋田県,県内全域,2014,2484057,1593827,1335955,257872,154817,-6477,158807,2487,735413,465270,14507,255636,3469,55476,196691
05000,秋田県,県内全域,2015,2527709,1596292,1335506,260786,166148,-5024,168750,2422,765269,472457,17450,275362,13764,64384,197214
05000,秋田県,県内全域,2016,2566220,1613258,1349667,263591,164220,-4142,165797,2565,788742,500544,17459,270740,20331,53264,197145
05000,秋田県,県内全域,2017,2677865,1651543,1381279,270264,165026,-3232,165320,2938,861296,574203,15953,271141,24671,51434,195036
05000,秋田県,県内全域,2018,2605127,1664130,1394596,269534,166983,-1694,165531,3146,774014,507554,16569,249891,17553,38559,193779
05000,秋田県,県内全域,2019,2639176,1666003,1394163,271840,161221,-1333,159567,2987,811952,549596,14713,247643,18295,36287,193061
052124,秋田県,大仙市,2006,208316,131754,112521,19233,9372,-4051,13319,104,67190,41879,2363,22948,1198,5451,16299
052124,秋田県,大仙市,2007,198612,128287,108886,19401,9630,-4556,14052,134,60695,36289,1651,22755,1619,4963,16173
052124,秋田県,大仙市,2008,183824,123762,105190,18572,8757,-4708,13324,141,51305,26974,1792,22539,2017,4290,16232
052124,秋田県,大仙市,2009,177128,117579,99926,17653,8047,-4682,12589,140,51502,27691,1759,22052,1195,3709,17148
052124,秋田県,大仙市,2010,181424,116499,98117,18382,7880,-4610,12335,155,57045,32228,1633,23184,1270,4373,17541
052124,秋田県,大仙市,2011,186807,119489,100616,18873,13414,-906,14170,150,53904,30058,1470,22376,2480,4129,15767
052124,秋田県,大仙市,2012,184525,119322,100432,18890,12278,-926,13062,142,52925,27259,1492,24174,3927,4200,16047
052124,秋田県,大仙市,2013,188849,118665,99667,18998,12499,-835,13185,149,57685,31694,2200,23791,2979,4955,15857
052124,秋田県,大仙市,2014,183074,118560,99378,19182,11824,-689,12364,149,52690,30583,1736,20371,371,4546,15454
052124,秋田県,大仙市,2015,187050,118895,99471,19424,12720,-523,13095,148,55435,31484,1856,22095,1461,5178,15456
052124,秋田県,大仙市,2016,192548,121494,101643,19851,12675,-417,12933,159,58379,34288,2150,21941,2208,4283,15450
052124,秋田県,大仙市,2017,199109,125058,104593,20465,12796,-312,12927,181,61255,37442,1755,22058,2683,4090,15285
052124,秋田県,大仙市,2018,196402,126073,105653,20420,12958,-154,12920,192,57371,35550,1720,20101,1928,2986,15187
052124,秋田県,大仙市,2019,197394,126358,105740,20618,12513,-121,12452,182,58523,37536,905,20082,2087,2865,15130
