地域,年度,保険料（徴収決定額）（千円）,保険料（収納済額）（千円）,保険給付件数（総数）（件）,保険給付件数（療養補償給付）（件）,保険給付件数（休業補償給付）（件）,保険給付件数（障害補償給付）（件）,保険給付件数（遺族補償給付）（件）,保険給付件数（その他）（件）,保険給付金額（総額）（千円）,保険給付金額（療養補償給付）（千円）,保険給付金額（休業補償給付）（千円）,保険給付金額（障害補償給付）（千円）,保険給付金額（遺族補償給付）（千円）,保険給付金額（その他）（千円）
大仙市_仙北市_美郷町管内,2005(平成17),1966998,1863528,1064,349,645,14,4,52,144052,8379,99616,21618,5396,9043
大仙市_仙北市_美郷町管内,2006(平成18）,1998901,1895860,997,310,619,16,1,51,143085,7298,97285,26690,4080,7731
大仙市_仙北市_美郷町管内,2007(平成19）,1694976,1602620,970,306,602,11,0,51,126597,7277,89918,21643,0,7756
大仙市_仙北市_美郷町管内,2008(平成20）,1632570,1537393,1002,284,647,17,4,54,149984,6743,95114,38983,0,9139
大仙市_仙北市_美郷町管内,2009(平成21）,1134768,1037170,4453,2327,568,676,792,90,595100,147033,84725,158611,182070,24229
大仙市_仙北市_美郷町管内,2010(平成22）,1350669,1248677,4899,2662,680,672,784,101,645454,198604,93346,157546,170434,25524
大仙市_仙北市_美郷町管内,2011(平成23）,1490903,1394862,5035,2847,660,645,778,105,674021,249023,94357,137402,165925,27314
大仙市_仙北市_美郷町管内,2012(平成24）,1344895,1253491,4675,2553,622,632,758,110,622866,199943,90880,138321,162176,31546
大仙市_仙北市_美郷町管内,2013(平成25）,1296414,1216789,4709,2686,554,618,740,111,623740,208514,77268,147087,159817,31052
大仙市_仙北市_美郷町管内,2014(平成26）,1379580,1305699,4512,2448,545,619,753,107,647982,218091,81584,159687,159478,29141
大仙市_仙北市_美郷町管内,2015(平成27）,1342612,1272475,3947,2096,409,590,753,99,533968,158712,61144,125849,159717,28546
大仙市_仙北市_美郷町管内,2016(平成28）,1203020,1152066,3956,2067,418,600,774,97,551045,168903,58110,134283,163707,26039
大仙市_仙北市_美郷町管内,2017(平成29）,1102051,1062702,3882,2053,380,594,771,84,557794,185058,51498,133322,164809,23107
大仙市_仙北市_美郷町管内,2018(平成30）,1114767,1084537,4193,2359,404,577,770,83,576926,209524,55528,123155,167019,21698
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,1112431,1085317,4403,2474,505,571,768,85,627719,218489,59430,137581,188114,24105
大仙市_仙北市_美郷町管内,2020(令和2）,1069575,1048194,4516,2539,537,584,772,84,635945,248488,59173,129288,178264,20732
大仙市_仙北市_美郷町管内,2021(令和3）,1069239,1047723,4296,2488,455,531,742,80,618754,261520,53094,122200,159266,22674
