１６５　　消　　防　　力　　の　　推　　移,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,各年４月１日現在
年次,"消防署
所数",消防自動車等,,,,,,,,,,,,,,,,,,,"消防
職員"
,,総数,消防ポンプ自動車,,,はしご車,化学車,"救助
工作車","大型
化学車","大型
高所
放水車",,大型化学高所放水車,"泡原液
搬送車",救急車,救助艇,,指揮車,広報車,非常用車両,,
,,,総数,"署所
管理",団管理,,,,,,,,,,,,,,消防車,救急車,
,,,,,,,,,,,,,,,,,,,,,（人）
平成25年,14 ,66 ,23 ,13 ,10 ,2 ,4 ,4 ,1 ,*1,1 , - ,1 ,8 ,*2,2 ,7 ,5 ,5 , 3 ,※  401
26,14 ,66 ,23 ,13 ,10 ,2 ,4 ,4 ,1 ,*1,1 , - ,1 ,8 ,*2,2 ,7 ,5 ,5 , 3 ,※　403
27,14 ,68 ,23 ,13 ,10 ,3 ,4 ,4 ,1 ,*1,1 , - ,1 ,8 ,*2,2 ,5 ,9 ,5 , 3 ,１※403
28,14 ,67 ,23 ,13 ,10 ,3 ,4 ,4 ,1 ,*1,1 , - ,1 ,8 ,*2,2 ,5 ,8 ,5 , 3 ,１※406
29,14 ,67 ,23 ,13 ,10 ,3 ,4 ,4 , - ,, - ,1 ,1 ,9 ,*2,2 ,5 ,8 ,5 , 3 ,１※417
30,14 ,67 ,23 ,13 ,10 ,3 ,4 ,4 , - ,, - ,1 ,1 ,9 ,*2,2 ,5 ,7 ,5 , 3 ,１※421
31,14 ,65 ,22 ,13 ,9 ,3 ,4 ,4 , - ,, - ,1 ,1 ,9 ,,2 ,5 ,7 ,4 ,3 ,１※425
令和２年,14 ,65 ,21 ,13 ,8 ,3 ,4 ,4 , - ,, - ,1 ,1 ,9 ,,2 ,5 ,7 , 5 ,3 ,１※427
３,14 ,68 ,21 ,13 ,8 ,3 ,4 ,4 , - ,, - ,1 ,1 ,9 ,,5 ,5 ,7 ,5 ,3 ,１※431
４,14 ,67 ,20 ,13 ,7 ,3 ,4 ,4 ,,,,1 ,1 ,9 ,,5 ,5 ,7 ,5 ,3 ,436 
　資料　秋田市消防本部総務課・警防課,,,,,,,,,,,,,,,,,,,,,
　　注）１　＊1　はしご自動車兼用,,,,,,,,,,,,,,,,,,,,,
　　　　２　＊2　「救助艇」は消防艇とは異なり、水害等に救命用として使用する船外機付きのボートのこと,,,,,,,,,,,,,,,,,,,,,
　　　　３　※については、総務省消防庁・秋田県・秋田県消防学校派遣職員および市長事務部局派遣職員を含む,,,,,,,,,,,,,,,,,,,,,
　　　　４　１※については、総務省消防庁・秋田県・秋田県消防学校派遣職員および市長事務部局派遣職員を含む(再任用含む）,,,,,,,,,,,,,,,,,,,,,
