１３４　予防接種の実施状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,各年度間　単位：人,,,,,,,,,,,
年度,総数,四種混合,三種混合,二種混合,ポリオ,"不活化
ポリオ",ＭＲ,麻しん,風しん,日本脳炎,ＢＣＧ,ヒブ,"小児の
肺炎球菌",子宮頸がん,水痘,Ｂ型肝炎,ロタウイルス感染症,"高齢者の
インフル
エンザ","高齢者の
肺炎球菌",,,,,,,,,,,
平成24年度,"83,610 ","2,142 ","7,302 ","2,659 ",782 ,"6,755 ","9,586 ",2 ,3 ,"13,265 ","2,129 ",－ ,－ ,－ ,－ ,－ ,－ ,"38,985 ",－ ,,,,,,,,,,,
25,"89,763 ","7,084 ","2,121 ","2,308 ",－ ,"2,475 ","4,665 ",1 ,－ ,"9,930 ","1,924 ","9,878 ","9,278 ",194 ,－ ,－ ,－ ,"39,905 ",－ ,,,,,,,,,,,
26,"104,540 ","8,926 ",356 ,"2,567 ",－ ,"1,048 ","4,641 ",－ ,－ ,"10,999 ","2,267 ","9,278 ","9,256 ",10 ,"4,389 ",－ ,－ ,"41,279 ","9,524 ",,,,,,,,,,,
27,"100,136 ","8,874 ",－ ,"2,248 ",－ ,259 ,"4,629 ",－ ,－ ,"10,659 ","2,248 ","8,734 ","8,729 ",9 ,"4,709 ",－ ,－ ,"41,333 ","7,732 ",,,,,,,,,,,
28,"106,276 ","8,565 ",－ ,"2,299 ",－ ,100 ,"4,408 ",－ ,－ ,"11,421 ","2,115 ","8,456 ","8,443 ",34 ,"4,105 ","3,415 ",－ ,"43,355 ","9,560 ",,,,,,,,,,,
29,"106,319 ","8,035 ",－ ,"2,207 ",－ ,87 ,"4,259 ",－ ,－ ,"10,738 ","2,010 ","7,945 ","7,959 ",27 ,"3,913 ","6,053 ",－ ,"43,099 ","9,987 ",,,,,,,,,,,
30,"107,447 ","7,788 ", － ,"2,209 ", － ,23 ,"4,244 ", － , － ,"10,951 ","1,889 ","7,738 ","7,723 ",48 ,"3,931 ","5,821 ",－ ,"45,813 ","9,269 ",,,,,,,,,,,
令和元年度,"102,766 ","7,385 ", － ,"2,870 ", － ,2 ,"4,026 ", － , － ,"10,231 ","1,861 ","7,200 ","7,346 ",156 ,"3,725 ","5,432 ", － ,"49,008 ","3,524 ",,,,,,,,,,,
２,"117,037 ","7,309 ", － ,"2,234 ", － , － ,"4,043 ", － , － ,"9,948 ","1,768 ","7,310 ","7,178 ",582 ,"3,652 ","5,340 ","1,652 ","61,838 ","4,183 ",,,,,,,,,,,
３,"105,235 ","6,919 ", － ,"2,164 ", － , － ,"3,842 ", － , － ,"4,327 ","1,707 ","6,893 ","6,905 ","1,814 ","3,425 ","5,179 ","3,998 ","54,908 ","3,154 ",,,,,,,,,,,
　資料　秋田市保健所「保健衛生事業の概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　１　ポリオは平成24年度で終了し、不活化ポリオを、平成24年9月1日より実施した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　　２　四種混合は、平成24年11月1日より実施した。　　　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　　３　子宮頸がん、ヒブ、小児の肺炎球菌は、平成25年4月1日より定期予防接種に追加された。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　　４　高齢者の肺炎球菌感染症、水痘は、平成26年10月1日より定期予防接種に追加された。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　　５　Ｂ型肝炎は、平成28年10月1日より定期予防接種に追加された。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　　６　ロタウイルス感染症は、令和2年10月1日より定期予防接種に追加された。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
