１７３　簡易裁判所事件の処理状況,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年間
年次,民事訴訟事件（件),,,督促事件（件),,,民事調停事件（件),,,刑事訴訟事件（件),,,略式・交通即決事件（件),,
,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済
平成25年,756 ,766 ,143 ,478 ,480 ,3 ,241 ,240 ,20 ,51 ,42 ,11 ,813 ,832 , － 
26,614 ,646 ,111 ,417 ,413 ,7 ,162 ,168 ,14 ,52 ,47 ,16 ,704 ,676 ,28 
27,506 ,510 ,107 ,322 ,327 ,2 ,123 ,125 ,12 ,48 ,56 ,8 ,619 ,632 ,15 
28,509 ,515 ,101 ,439 ,440 ,1 ,150 ,146 ,16 ,68 ,63 ,13 ,613 ,607 , 21 
29,463 ,462 ,102 ,438 ,426 ,13 ,107 ,113 ,10 ,64 ,66 ,11 ,628 ,640 ,9 
30,445 ,464 ,83 ,514 ,522 ,5 ,82 ,75 ,17 ,31 ,38 ,4 ,547 ,550 ,6 
令和元年,359 ,350 ,92 ,454 ,446 ,13 ,85 ,89 ,13 ,51 ,44 ,11 ,522 ,487 ,41 
２,289 ,301 ,80 ,353 ,356 ,10 ,83 ,86 ,10 ,37 ,44 ,4 ,589 ,556 ,74 
３,279 ,301 ,58 ,312 ,316 ,6 ,67 ,60 ,17 ,34 ,33 ,5 ,555 ,594 ,35 
４,254 ,266 ,46 ,303 ,292 ,17 ,58 ,52 ,23 ,32 ,30 ,7 ,426 ,450 ,11 
　資料　秋田地方裁判所,,,,,,,,,,,,,,,
　　注）１　本表の事件数は秋田簡易裁判所が取り扱ったものである。,,,,,,,,,,,,,,,
　　　　２　略式・交通即決事件欄の数値は、略式事件の総数である。,,,,,,,,,,,,,,,
