１７１　刑法犯の認知・検挙状況（秋田市内）　,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
（１）認知件数,,,,,,,各年間,,,,,,,,,,,,,,,,,,
種別／年次,総数,,,,,,,,,,,,,,,,,,,,,,,,
,,凶悪犯,粗暴犯,窃盗犯,知能犯,風俗犯,その他刑法犯,,,,,,,,,,,,,,,,,,
平成元年,"2,920 ",8 ,118 ,"2,454 ",239 ,16 ,85 ,,,,,,,,,,,,,,,,,,
２,"3,274 ",13 ,120 ,"2,921 ",146 ,9 ,65 ,,,,,,,,,,,,,,,,,,
３,"3,438 ",18 ,83 ,"2,954 ",239 ,10 ,134 ,,,,,,,,,,,,,,,,,,
４,"3,350 ",11 ,45 ,"2,776 ",389 ,13 ,116 ,,,,,,,,,,,,,,,,,,
５,"3,822 ",27 ,79 ,"3,184 ",396 ,16 ,120 ,,,,,,,,,,,,,,,,,,
６,"3,461 ",28 ,71 ,"2,934 ",320 ,11 ,97 ,,,,,,,,,,,,,,,,,,
７,"2,901 ",18 ,71 ,"2,454 ",236 ,14 ,108 ,,,,,,,,,,,,,,,,,,
８,"3,067 ",11 ,68 ,"2,637 ",222 ,13 ,116 ,,,,,,,,,,,,,,,,,,
９,"4,611 ",17 ,43 ,"4,033 ",308 ,43 ,167 ,,,,,,,,,,,,,,,,,,
10,"5,326 ",13 ,101 ,"4,638 ",267 ,18 ,289 ,,,,,,,,,,,,,,,,,,
11,"5,417 ",23 ,85 ,"4,693 ",324 ,30 ,262 ,,,,,,,,,,,,,,,,,,
12,"5,929 ",21 ,143 ,"4,966 ",366 ,47 ,386 ,,,,,,,,,,,,,,,,,,
13,"5,990 ",23 ,178 ,"4,794 ",160 ,42 ,793 ,,,,,,,,,,,,,,,,,,
14,"5,260 ",17 ,192 ,"3,890 ",237 ,39 ,885 ,,,,,,,,,,,,,,,,,,
15,"4,360 ",19 ,145 ,"3,162 ",194 ,35 ,805 ,,,,,,,,,,,,,,,,,,
16,"3,838 ",17 ,115 ,"2,814 ",272 ,33 ,587 ,,,,,,,,,,,,,,,,,,
17,"3,657 ",13 ,137 ,"2,539 ",358 ,32 ,578 ,,,,,,,,,,,,,,,,,,
18,"3,192 ",9 ,124 ,"2,222 ",310 ,17 ,510 ,,,,,,,,,,,,,,,,,,
19,"2,823 ",7 ,129 ,"2,053 ",173 ,20 ,441 ,,,,,,,,,,,,,,,,,,
20,"2,608 ",10 ,98 ,"1,874 ",249 ,30 ,347 ,,,,,,,,,,,,,,,,,,
21,"2,701 ",14 ,94 ,"2,107 ",116 ,18 ,352 ,,,,,,,,,,,,,,,,,,
22,"2,627 ",8 ,89 ,"1,978 ",129 ,19 ,404 ,,,,,,,,,,,,,,,,,,
23,"2,091 ",11 ,105 ,"1,583 ",110 ,22 ,260 ,,,,,,,,,,,,,,,,,,
24,"1,942 ",10 ,105 ,"1,536 ",80 ,9 ,202 ,,,,,,,,,,,,,,,,,,
25,"1,833 ",8 ,98 ,"1,392 ",92 ,12 ,231 ,,,,,,,,,,,,,,,,,,
26,"1,665 ",7 ,105 ,"1,209 ",102 ,19 ,223 ,,,,,,,,,,,,,,,,,,
27,"1,342 ",7 ,122 ,957 ,85 ,13 ,158 ,,,,,,,,,,,,,,,,,,
28,"1,301 ",9 ,108 ,938 ,86 ,12 ,148 ,,,,,,,,,,,,,,,,,,
29,"1,020 ",7 ,76 ,733 ,88 ,12 ,104 ,,,,,,,,,,,,,,,,,,
30,939 ,6 ,74 ,678 ,57 ,11 ,113 ,,,,,,,,,,,,,,,,,,
令和元年,967 ,3 ,62 ,708 ,70 ,15 ,109 ,,,,,,,,,,,,,,,,,,
２,"1,013 ",2 ,59 ,699 ,74 ,9 ,170 ,,,,,,,,,,,,,,,,,,
３,824 ,9 ,54 ,552 ,60 ,13 ,136 ,,,,,,,,,,,,,,,,,,
　資料　秋田県警察本部「刑法犯認知件数＿罪種別＿市町村別」,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
