議案等に対する議員の表決状況（令和５年６月定例会）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,令和５年７月３日,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賛否内容（○：賛成【可決・承認・認定・同意・採択・趣旨採択】、×：反対【否決・不承認・不認定・不同意・不採択】、欠：欠席、除：除斥、退：退席、議：議長）,,,,,,,,,
,,,,,,,,公明党：公明党秋田市議会、共産党：日本共産党秋田市議会議員団、市民ク：市民クラブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,,件　名,"議決
結果",秋水会,,,,,,,,フロンティア秋田,,,,,,,,自民党,,,,,,,公明党,,,,そうせいと維新,,,,共産党,,市民ク,,議長,,,,,,,,,
,,,,荻　原　貴　幸,細　川　信　二,川　口　雅　丈,見　上　万里子,佐　藤　宏　悦,伊　藤　一　榮,渡　辺　正　宏,小木田　喜美雄,後　藤　　　良,船　木　　　純,藤　田　 　信,藤　枝　隆　博,工　藤　新　一,佐　藤　哲　治,倉　田　芳　浩,小　林　一　夫,飯牟礼　克　年,工　藤　潤　平,工　藤　知　彦,安　井　正　浩,伊　藤　巧　一,熊　谷　重　隆,小野寺　　　誠,佐　藤　佳　人,牧　野　　　守,武　田　正　子,石　塚　秀　博,藤　井　　　翼,菊　地　格　夫,若　松　尚　利,小　松　　 健,奈　良　順　子,佐　藤　純　子,安　井　誠　悦,花　田　清　美,菅　原　琢　哉,,,,,,,,,
市長提出,83,秋田市市税条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,84,秋田市国民健康保険税条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,85,秋田市指定障害福祉サービスの事業等の人員、設備および運営に関する基準を定める条例等の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,86,秋田市指定通所支援の事業等の人員、設備および運営に関する基準を定める条例等の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,87,秋田市介護保険条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,88,秋田市臨時診療所条例を廃止する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,89,秋田市火災予防条例の一部を改正する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,90,字の区域を変更する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,91,市道路線を認定する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,92,都市計画道路泉外旭川線道路築造に伴う附帯工事請負契約の変更契約を締結する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
市長提出,93,千秋公園整備事業大手門の堀遊歩道整備工事請負契約を締結する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,×,×,○,○,議,,,,,,,,,
,94,秋田市立外旭川中学校屋内運動場大規模改造建築工事請負契約を締結する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,95,寺内・将軍野統合出張所（仮称）新築建築工事請負契約を締結する件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,96,小型動力ポンプ積載車を買い入れる件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,97,救急自動車を買い入れる件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
,98,令和５年度秋田市一般会計補正予算（第３号）の件,可決,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,欠,○,○,○,○,○,○,○,議,,,,,,,,,
