地域コード,都道府県名,市町村名,年度,学校名,学級数_総数（学級）,生徒数_総数（人）,生徒数_男（人）,生徒数_女（人）,生徒数_１学年_総数（人）,生徒数_１学年_男（人）,生徒数_１学年_女（人）,生徒数_２学年_総数（人）,生徒数_２学年_男（人）,生徒数_２学年_女（人）,生徒数_３学年_総数（人）,生徒数_３学年_男（人）,生徒数_３学年_女（人）,教員数_総数（人）
052124,秋田県,大仙市,2005(平成17),総数,93,2702,1372,1330,866,-,-,903,-,-,933,-,-,210
052124,秋田県,大仙市,2005(平成17),大曲,26,854,422,432,278,-,-,289,-,-,287,-,-,47
052124,秋田県,大仙市,2005(平成17),大曲西,5,126,65,61,42,-,-,49,-,-,35,-,-,14
052124,秋田県,大仙市,2005(平成17),大曲南,5,119,59,60,42,-,-,33,-,-,44,-,-,13
052124,秋田県,大仙市,2005(平成17),平和,7,203,96,107,65,-,-,73,-,-,65,-,-,17
052124,秋田県,大仙市,2005(平成17),西仙北西,7,196,114,82,75,-,-,53,-,-,68,-,-,15
052124,秋田県,大仙市,2005(平成17),西仙北東,4,101,51,50,43,-,-,29,-,-,29,-,-,11
052124,秋田県,大仙市,2005(平成17),中仙,7,200,97,103,69,-,-,78,-,-,53,-,-,16
052124,秋田県,大仙市,2005(平成17),豊成,4,105,60,45,37,-,-,24,-,-,44,-,-,12
052124,秋田県,大仙市,2005(平成17),協和,9,240,130,110,63,-,-,91,-,-,86,-,-,19
052124,秋田県,大仙市,2005(平成17),南外,4,122,56,66,35,-,-,36,-,-,51,-,-,12
052124,秋田県,大仙市,2005(平成17),仙北,7,208,103,105,51,-,-,79,-,-,78,-,-,15
052124,秋田県,大仙市,2005(平成17),太田,8,228,119,109,66,-,-,69,-,-,93,-,-,19
052124,秋田県,大仙市,2006(平成18),総数,91,2608,1325,1283,846,-,-,861,-,-,901,-,-,207
052124,秋田県,大仙市,2006(平成18),大曲,26,840,435,405,275,-,-,276,-,-,289,-,-,46
052124,秋田県,大仙市,2006(平成18),大曲西,5,129,68,61,38,-,-,42,-,-,49,-,-,15
052124,秋田県,大仙市,2006(平成18),大曲南,4,108,57,51,33,-,-,42,-,-,33,-,-,13
052124,秋田県,大仙市,2006(平成18),平和,7,197,101,96,61,-,-,64,-,-,72,-,-,17
052124,秋田県,大仙市,2006(平成18),西仙北西,6,187,98,89,59,-,-,75,-,-,53,-,-,14
052124,秋田県,大仙市,2006(平成18),西仙北東,4,111,51,60,40,-,-,42,-,-,29,-,-,12
052124,秋田県,大仙市,2006(平成18),中仙,8,223,116,107,77,-,-,68,-,-,78,-,-,16
052124,秋田県,大仙市,2006(平成18),豊成,3,89,45,44,28,-,-,37,-,-,24,-,-,12
052124,秋田県,大仙市,2006(平成18),協和,9,219,118,101,64,-,-,63,-,-,92,-,-,19
052124,秋田県,大仙市,2006(平成18),南外,4,114,46,68,43,-,-,35,-,-,36,-,-,12
052124,秋田県,大仙市,2006(平成18),仙北,7,184,85,99,55,-,-,51,-,-,78,-,-,15
052124,秋田県,大仙市,2006(平成18),太田,8,207,105,102,73,-,-,66,-,-,68,-,-,16
052124,秋田県,大仙市,2007(平成19),総数,92,2586,1318,1268,881,-,-,843,-,-,862,-,-,213
052124,秋田県,大仙市,2007(平成19),大曲,26,836,444,392,292,-,-,269,-,-,275,-,-,47
052124,秋田県,大仙市,2007(平成19),大曲西,5,124,68,56,41,-,-,39,-,-,44,-,-,13
052124,秋田県,大仙市,2007(平成19),大曲南,5,1211,60,61,45,-,-,34,-,-,42,-,-,13
052124,秋田県,大仙市,2007(平成19),平和,8,199,99,100,73,-,-,61,-,-,65,-,-,18
052124,秋田県,大仙市,2007(平成19),西仙北西,6,195,99,96,62,-,-,59,-,-,74,-,-,16
052124,秋田県,大仙市,2007(平成19),西仙北東,4,114,51,63,32,-,-,40,-,-,42,-,-,13
052124,秋田県,大仙市,2007(平成19),中仙,7,208,111,97,61,-,-,78,-,-,69,-,-,16
052124,秋田県,大仙市,2007(平成19),豊成,4,107,53,54,43,-,-,28,-,-,36,-,-,12
052124,秋田県,大仙市,2007(平成19),協和,8,187,99,88,60,-,-,64,-,-,63,-,-,20
052124,秋田県,大仙市,2007(平成19),南外,6,130,59,71,52,-,-,43,-,-,35,-,-,14
052124,秋田県,大仙市,2007(平成19),仙北,7,169,85,84,63,-,-,55,-,-,51,-,-,16
052124,秋田県,大仙市,2007(平成19),太田,6,196,90,106,57,-,-,73,-,-,66,-,-,15
052124,秋田県,大仙市,2008(平成20),総数,92,2526,1293,1233,800,419,381,886,450,436,840,424,416,216
052124,秋田県,大仙市,2008(平成20),大曲,27,857,457,400,298,163,135,293,155,138,266,139,127,48
052124,秋田県,大仙市,2008(平成20),大曲西,3,118,60,58,38,20,18,40,21,19,40,19,21,14
052124,秋田県,大仙市,2008(平成20),大曲南,5,122,62,60,42,23,19,46,20,26,34,19,15,14
052124,秋田県,大仙市,2008(平成20),平和,7,187,1,96,53,24,29,73,29,44,61,38,23,17
052124,秋田県,大仙市,2008(平成20),西仙北西,3,90,40,50,18,10,8,32,17,15,40,13,27,12
052124,秋田県,大仙市,2008(平成20),西仙北東,6,184,91,93,63,30,33,62,36,26,59,25,34,15
052124,秋田県,大仙市,2008(平成20),中仙,7,204,107,97,64,29,35,61,34,27,79,44,35,16
052124,秋田県,大仙市,2008(平成20),豊成,4,94,50,44,22,15,7,44,22,22,28,13,15,12
052124,秋田県,大仙市,2008(平成20),協和,8,184,98,86,60,32,28,60,34,26,64,32,32,18
052124,秋田県,大仙市,2008(平成20),南外,6,123,58,65,28,14,14,52,26,26,43,18,25,14
052124,秋田県,大仙市,2008(平成20),仙北,8,181,89,92,62,29,33,65,32,33,54,28,26,17
052124,秋田県,大仙市,2008(平成20),太田,8,182,90,92,52,30,22,58,24,34,72,36,36,19
052124,秋田県,大仙市,2009(平成21),総数,91,2335,1153,1182,734,366,368,799,419,380,883,449,434,217
052124,秋田県,大仙市,2009(平成21),大曲,26,827,438,389,240,122,118,296,162,134,291,154,137,47
052124,秋田県,大仙市,2009(平成21),大曲西,3,103,54,49,27,14,13,38,20,18,38,20,18,12
052124,秋田県,大仙市,2009(平成21),大曲南,5,123,59,64,34,15,19,43,24,19,46,20,26,13
052124,秋田県,大仙市,2009(平成21),平和,7,97,1,96,52,29,23,53,24,29,73,29,44,19
052124,秋田県,大仙市,2009(平成21),西仙北西,4,69,39,30,20,12,8,18,10,8,31,17,14,12
052124,秋田県,大仙市,2009(平成21),西仙北東,6,181,94,87,55,28,27,63,30,33,63,36,27,16
052124,秋田県,大仙市,2009(平成21),中仙,7,178,91,87,53,28,25,64,29,35,61,34,27,17
052124,秋田県,大仙市,2009(平成21),豊成,5,104,55,49,38,18,20,22,15,7,44,22,22,14
052124,秋田県,大仙市,2009(平成21),協和,7,172,90,82,51,23,28,60,32,28,61,35,26,16
052124,秋田県,大仙市,2009(平成21),南外,5,112,56,56,32,16,16,28,14,14,52,26,26,13
052124,秋田県,大仙市,2009(平成21),仙北,8,199,89,110,72,28,44,62,29,33,65,32,33,18
052124,秋田県,大仙市,2009(平成21),太田,8,170,87,83,60,33,27,52,30,22,58,24,34,20
052124,秋田県,大仙市,2010(平成22),総数,91,2210,1091,1119,744,375,369,735,366,369,803,422,381,213
052124,秋田県,大仙市,2010(平成22),大曲,25,795,404,391,260,121,139,238,121,117,297,162,135,46
052124,秋田県,大仙市,2010(平成22),大曲西,5,107,51,56,42,17,25,27,14,13,38,20,18,14
052124,秋田県,大仙市,2010(平成22),大曲南,5,118,62,56,42,24,18,33,14,19,43,24,19,13
052124,秋田県,大仙市,2010(平成22),平和,7,85,1,84,48,18,30,56,31,25,53,24,29,18
052124,秋田県,大仙市,2010(平成22),西仙北西,4,58,33,25,20,11,9,20,12,8,18,10,8,12
052124,秋田県,大仙市,2010(平成22),西仙北東,6,170,85,85,50,25,25,55,28,27,65,32,33,14
052124,秋田県,大仙市,2010(平成22),中仙,7,169,89,80,51,31,20,53,28,25,65,30,35,18
052124,秋田県,大仙市,2010(平成22),豊成,5,84,44,40,24,11,13,38,18,20,22,15,7,13
052124,秋田県,大仙市,2010(平成22),協和,7,171,89,82,60,34,26,51,23,28,60,32,28,16
052124,秋田県,大仙市,2010(平成22),南外,4,86,46,40,26,16,10,32,16,16,28,14,14,12
052124,秋田県,大仙市,2010(平成22),仙北,8,192,92,100,58,35,23,72,28,44,62,29,33,19
052124,秋田県,大仙市,2010(平成22),太田,8,175,95,80,63,32,31,60,33,27,52,30,22,18
052124,秋田県,大仙市,2011(平成23),総数,89,2104,1030,1074,696,363,333,747,376,371,737,367,370,210
052124,秋田県,大仙市,2011(平成23),大曲,23,721,342,379,221,100,121,262,121,141,238,121,117,46
052124,秋田県,大仙市,2011(平成23),大曲西,5,91,43,48,21,11,10,43,18,25,27,14,13,13
052124,秋田県,大仙市,2011(平成23),大曲南,5,109,56,53,33,18,15,43,24,19,33,14,19,13
052124,秋田県,大仙市,2011(平成23),平和,7,80,1,79,51,27,24,48,18,30,57,32,25,17
052124,秋田県,大仙市,2011(平成23),西仙北西,4,59,34,25,19,11,8,20,11,9,20,12,8,12
052124,秋田県,大仙市,2011(平成23),西仙北東,6,153,78,75,48,25,23,50,25,25,55,28,27,15
052124,秋田県,大仙市,2011(平成23),中仙,7,164,89,75,61,31,30,49,30,19,54,28,26,18
052124,秋田県,大仙市,2011(平成23),豊成,5,88,45,43,26,16,10,24,11,13,38,18,20,13
052124,秋田県,大仙市,2011(平成23),協和,7,172,92,80,61,35,26,60,34,26,51,23,28,16
052124,秋田県,大仙市,2011(平成23),南外,4,81,44,37,23,12,11,26,16,10,32,16,16,12
052124,秋田県,大仙市,2011(平成23),仙北,9,206,109,97,76,46,30,58,35,23,72,28,44,18
052124,秋田県,大仙市,2011(平成23),太田,7,180,97,83,56,31,25,64,33,31,60,33,27,17
052124,秋田県,大仙市,2012(平成24),総数,87,2084,1027,1057,699,348,351,697,361,336,747,377,370,204
052124,秋田県,大仙市,2012(平成24),大曲,24,744,356,388,259,135,124,222,99,123,263,122,141,47
052124,秋田県,大仙市,2012(平成24),大曲西,5,92,41,51,27,12,15,21,11,10,44,18,26,13
052124,秋田県,大仙市,2012(平成24),大曲南,5,105,59,46,29,17,12,33,18,15,43,24,19,13
052124,秋田県,大仙市,2012(平成24),平和,6,77,1,76,37,15,22,51,27,24,48,18,30,15
052124,秋田県,大仙市,2012(平成24),西仙北,9,214,117,97,77,45,32,67,36,31,70,36,34,19
052124,秋田県,大仙市,2012(平成24),中仙,7,178,95,83,67,33,34,61,31,30,50,31,19,18
052124,秋田県,大仙市,2012(平成24),豊成,5,63,35,28,13,8,5,26,16,10,24,11,13,15
052124,秋田県,大仙市,2012(平成24),協和,7,182,94,88,63,26,37,60,34,26,59,34,25,17
052124,秋田県,大仙市,2012(平成24),南外,3,72,40,32,23,12,11,23,12,11,26,16,10,12
052124,秋田県,大仙市,2012(平成24),仙北,9,190,103,87,56,22,34,76,46,30,58,35,23,18
052124,秋田県,大仙市,2012(平成24),太田,7,167,86,81,48,23,25,57,31,26,62,32,30,17
052124,秋田県,大仙市,2013(平成25),総数,83,1984,1004,980,645,348,297,701,351,350,696,363,333,199
052124,秋田県,大仙市,2013(平成25),大曲,25,723,372,351,243,136,107,260,137,123,220,99,121,45
052124,秋田県,大仙市,2013(平成25),大曲西,4,67,36,31,19,13,6,27,12,15,21,11,10,12
052124,秋田県,大仙市,2013(平成25),大曲南,4,92,49,43,30,14,16,29,17,12,33,18,15,12
052124,秋田県,大仙市,2013(平成25),平和,5,66,1,65,36,17,19,37,15,22,51,27,24,16
052124,秋田県,大仙市,2013(平成25),西仙北,9,207,109,98,62,27,35,77,45,32,68,37,31,19
052124,秋田県,大仙市,2013(平成25),中仙,7,174,90,84,45,25,20,68,34,34,61,31,30,19
052124,秋田県,大仙市,2013(平成25),豊成,4,72,42,30,33,18,15,13,8,5,26,16,10,12
052124,秋田県,大仙市,2013(平成25),協和,6,175,86,89,52,25,27,62,26,36,61,35,26,17
052124,秋田県,大仙市,2013(平成25),南外,3,62,35,27,16,11,5,23,12,11,23,12,11,12
052124,秋田県,大仙市,2013(平成25),仙北,9,183,96,87,51,28,23,56,22,34,76,46,30,18
052124,秋田県,大仙市,2013(平成25),太田,7,163,88,75,58,34,24,49,23,26,56,31,25,17
052124,秋田県,大仙市,2014(平成26),総数,90,1977,1000,977,687,356,331,641,347,294,701,349,352,209
052124,秋田県,大仙市,2014(平成26),大曲,28,749,398,351,247,128,119,242,136,106,260,134,126,50
052124,秋田県,大仙市,2014(平成26),大曲西,4,75,42,33,29,17,12,19,13,6,27,12,15,12
052124,秋田県,大仙市,2014(平成26),大曲南,4,86,43,43,28,12,16,30,14,16,28,17,11,13
052124,秋田県,大仙市,2014(平成26),平和,6,64,1,63,43,21,22,35,16,19,38,16,22,16
052124,秋田県,大仙市,2014(平成26),西仙北,9,198,105,93,59,33,26,62,27,35,77,45,32,19
052124,秋田県,大仙市,2014(平成26),中仙,7,174,96,78,62,38,24,45,25,20,67,33,34,17
052124,秋田県,大仙市,2014(平成26),豊成,4,76,38,38,30,12,18,33,18,15,13,8,5,14
052124,秋田県,大仙市,2014(平成26),協和,7,159,80,79,47,29,18,50,25,25,62,26,36,18
052124,秋田県,大仙市,2014(平成26),南外,5,70,36,34,31,13,18,16,11,5,23,12,11,14
052124,秋田県,大仙市,2014(平成26),仙北,9,166,79,87,58,28,30,51,28,23,57,23,34,20
052124,秋田県,大仙市,2014(平成26),太田,7,160,82,78,53,25,28,58,34,24,49,23,26,16
052124,秋田県,大仙市,2015(平成27),総数,87,1911,970,941,640,322,318,684,354,330,643,350,293,206
052124,秋田県,大仙市,2015(平成27),大曲,28,729,383,346,238,118,120,248,127,121,243,138,105,50
052124,秋田県,大仙市,2015(平成27),大曲西,5,74,44,30,26,14,12,29,17,12,19,13,6,13
052124,秋田県,大仙市,2015(平成27),大曲南,3,88,39,49,31,14,17,27,11,16,30,14,16,12
052124,秋田県,大仙市,2015(平成27),平和,6,58,1,57,35,19,16,43,21,22,36,17,19,14
052124,秋田県,大仙市,2015(平成27),西仙北,6,168,81,87,47,21,26,59,33,26,62,27,35,16
052124,秋田県,大仙市,2015(平成27),中仙,8,170,100,70,65,37,28,60,38,22,45,25,20,19
052124,秋田県,大仙市,2015(平成27),豊成,4,78,36,42,15,6,9,30,12,18,33,18,15,14
052124,秋田県,大仙市,2015(平成27),協和,6,149,83,66,52,29,23,47,29,18,50,25,25,16
052124,秋田県,大仙市,2015(平成27),南外,5,62,33,29,16,9,7,30,13,17,16,11,5,15
052124,秋田県,大仙市,2015(平成27),仙北,9,164,81,83,55,25,30,58,28,30,51,28,23,20
052124,秋田県,大仙市,2015(平成27),太田,7,171,89,82,60,30,30,53,25,28,58,34,24,17
052124,秋田県,大仙市,2016(平成28),総数,87,1804,992,923,592,316,276,639,322,317,684,354,330,207
052124,秋田県,大仙市,2016(平成28),大曲,25,713,369,344,232,125,107,235,117,118,246,127,119,47
052124,秋田県,大仙市,2016(平成28),大曲西,5,73,42,31,17,11,6,26,14,12,30,17,13,13
052124,秋田県,大仙市,2016(平成28),大曲南,5,81,33,48,23,8,15,31,14,17,27,11,16,13
052124,秋田県,大仙市,2016(平成28),平和,6,1,61,51,34,21,13,35,19,16,43,21,22,14
052124,秋田県,大仙市,2016(平成28),西仙北,7,155,77,78,49,23,26,47,21,26,59,33,26,17
052124,秋田県,大仙市,2016(平成28),中仙,8,185,107,78,59,32,27,66,37,29,60,38,22,20
052124,秋田県,大仙市,2016(平成28),豊成,4,68,32,36,23,14,9,15,6,9,30,12,18,12
052124,秋田県,大仙市,2016(平成28),協和,6,144,83,61,44,25,19,52,29,23,48,29,19,16
052124,秋田県,大仙市,2016(平成28),南外,5,66,34,32,20,12,8,16,9,7,30,13,17,13
052124,秋田県,大仙市,2016(平成28),仙北,8,162,76,86,48,23,25,56,25,31,58,28,30,22
052124,秋田県,大仙市,2016(平成28),太田,8,156,78,78,43,22,21,60,31,29,53,25,28,20
052124,秋田県,大仙市,2017(平成29),総数,85,1855,964,891,630,330,300,588,312,276,637,322,315,206
052124,秋田県,大仙市,2017(平成29),大曲,25,720,373,347,253,132,121,231,124,107,236,117,119,48
052124,秋田県,大仙市,2017(平成29),大曲西,5,72,43,29,29,18,11,17,11,6,26,14,12,14
052124,秋田県,大仙市,2017(平成29),大曲南,4,76,34,42,24,13,11,22,7,15,30,14,16,14
