２２　　幼　　稚　　園　　の　　概　　況,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,各年度５月１日現在,
年度,園数,,,"教員数
（人）",園児数（人）,,,,,,,,,〔再掲〕園児数（人）,,,
,総数,"国・
公立",私立,,総数,,,国・公立,,,私立,,,３歳児,４歳児,５歳児,
,,,,,計,男,女,計,男,女,計,男,女,,,,
平成25年度, 31 , 1 , 30 , 327 ," 4,091 "," 2,130 "," 1,961 ", 148 , 67 , 81 ," 3,943 "," 2,063 "," 1,880 "," 1,153 "," 1,416 "," 1,522 ",
26, 31 , 1 , 30 , 326 ," 4,033 "," 2,085 "," 1,948 ", 140 , 60 , 80 ," 3,893 "," 2,025 "," 1,868 "," 1,157 "," 1,427 "," 1,449 ",
27, 18 , 1 , 17 , 166 ," 1,996 "," 1,013 ", 983 , 120 , 56 , 64 ," 1,876 ", 957 , 919 , 559 , 684 , 753 ,
28, 17 , 1 , 16 , 157 ," 1,689 ", 850 , 839 , 93 , 45 , 48 ," 1,596 ", 805 , 791 , 479 , 576 , 634 ,
29, 17 , 1 , 16 , 157 ," 1,643 ", 806 , 837 , 93 , 46 , 47 ," 1,550 ", 760 , 790 , 493 , 552 , 598 ,
30, 17 , 1 , 16 , 155 ," 1,554 ", 765 , 789 , 88 , 41 , 47 ," 1,466 ", 724 , 742 , 459 , 537 , 558 ,
令和元年度, 17 , 1 , 16 , 165 ," 1,513 ", 786 , 727 , 87 , 47 , 40 ," 1,426 ", 739 , 687 , 481 , 493 , 539 ,
２, 17 , 1 , 16 , 173 ," 1,424 ", 761 , 663 , 83 , 46 , 37 ," 1,341 ", 715 , 626 , 412 , 501 , 511 ,
３, 16 , 1 , 15 , 151 ," 1,236 ", 650 , 586 , 79 , 46 , 33 ," 1,157 ", 604 , 553 , 364 , 392 , 480 ,
４, 16 , 1 , 15 , 146 ," 1,096 ", 557 , 539 , 66 , 36 , 30 ," 1,030 ", 521 , 509 , 323 , 369 , 404 ,
  資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,,,
　  注）　教員は本務者のみである。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
