市町村コード,都道府県名,市町村名,年度,地域,総面積(%),田(%),畑(%),宅　地(%),池　沼(%),山　林(%),原　野(%),雑種地・その他(%),
05212,秋田県,大仙市,2005(平成17),市全域,100.0,21.9,2.7,2.8,0.3,30.7,5.3,36.2,
05212,秋田県,大仙市,2006(平成18）,市全域,100.0,21.9,2.7,2.8,0.3,30.2,5.3,36.8,
05212,秋田県,大仙市,2007(平成19）,市全域,100.0,21.9,2.7,2.8,0.3,30.3,5.3,36.7,
05212,秋田県,大仙市,2008(平成20）,市全域,100.0,21.9,2.7,2.8,0.3,30.5,5.2,36.6,
05212,秋田県,大仙市,2009(平成21）,市全域,100.0,21.9,2.6,2.9,0.3,30.4,5.2,36.7,
05212,秋田県,大仙市,2010(平成22）,市全域,100.0,21.9,2.6,2.9,0.3,30.6,5.2,36.6,
05212,秋田県,大仙市,2011(平成23）,市全域,100.0,21.9,2.6,2.9,0.3,30.8,5.1,36.4,
05212,秋田県,大仙市,2012(平成24）,市全域,100.0,21.8,2.6,2.9,0.3,31.1,5.1,36.2,
05212,秋田県,大仙市,2013(平成25）,市全域,100.0,21.8,2.6,2.9,0.3,31.1,5.1,36.2,
05212,秋田県,大仙市,2014(平成26）,市全域,100.0,21.8,2.6,2.9,0.3,31.2,5.1,36.1,
05212,秋田県,大仙市,2015(平成27）,市全域,100.0,21.8,2.6,3.0,0.3,31.5,5.1,35.8,
05212,秋田県,大仙市,2016(平成28）,市全域,100.0,21.8,2.6,3.0,0.3,31.7,5.0,35.7,
05212,秋田県,大仙市,2017(平成29）,市全域,100.0,21.8,2.5,3.0,0.3,31.8,5.0,35.6,
05212,秋田県,大仙市,2018(平成30）,市全域,100.0,21.7,2.5,3.0,0.3,32.0,5.0,35.5,
05212,秋田県,大仙市,2019(令和1）,市全域,100.0,21.7,2.5,3.0,0.3,32.1,5.0,35.4,
05212,秋田県,大仙市,2020(令和2）,市全域,100.0,21.7,2.5,3.0,0.3,32.3,4.9,35.3,
05212,秋田県,大仙市,2021(令和3）,市全域,100.0,21.7,2.5,3.0,0.3,32.4,4.9,35.2,
05212,秋田県,大仙市,2005(平成17),大曲地域,100.0,37.1,5.0,8.0,0.3,8.7,9.5,31.5,
05212,秋田県,大仙市,2006(平成18）,大曲地域,100.0,37.0,5.0,7.5,0.3,8.8,9.5,31.9,
05212,秋田県,大仙市,2007(平成19）,大曲地域,100.0,37.0,5.0,7.6,0.3,8.7,9.4,32.0,
05212,秋田県,大仙市,2008(平成20）,大曲地域,100.0,36.9,4.9,7.7,0.3,8.7,9.4,32.1,
05212,秋田県,大仙市,2009(平成21）,大曲地域,100.0,36.9,4.9,7.9,0.3,8.9,9.3,31.8,
05212,秋田県,大仙市,2010(平成22）,大曲地域,100.0,36.8,4.9,8.0,0.3,8.9,9.3,31.8,
05212,秋田県,大仙市,2011(平成23）,大曲地域,100.0,36.7,4.6,8.0,0.3,8.8,9.0,32.6,
05212,秋田県,大仙市,2012(平成24）,大曲地域,100.0,36.7,4.6,8.0,0.3,9.0,9.0,32.4,
05212,秋田県,大仙市,2013(平成25）,大曲地域,100.0,36.7,4.6,8.1,0.3,9.0,8.9,32.3,
05212,秋田県,大仙市,2014(平成26）,大曲地域,100.0,36.7,4.6,8.1,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2015(平成27）,大曲地域,100.0,36.7,4.6,8.2,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2016(平成28）,大曲地域,100.0,36.6,4.6,8.2,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2017(平成29）,大曲地域,100.0,36.6,4.6,8.3,0.3,9.0,8.9,32.3,
05212,秋田県,大仙市,2018(平成30）,大曲地域,100.0,36.5,4.6,8.3,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2019(令和1）,大曲地域,100.0,36.5,4.6,8.4,0.3,9.0,8.9,32.3,
05212,秋田県,大仙市,2020(令和2）,大曲地域,100.0,36.5,4.5,8.4,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2021(令和3）,大曲地域,100.0,36.5,4.5,8.4,0.3,9.0,8.9,32.4,
05212,秋田県,大仙市,2005(平成17),神岡地域,100.0,40.2,4.9,5.3,0.7,15.0,14.1,19.8,
05212,秋田県,大仙市,2006(平成18）,神岡地域,100.0,40.2,4.9,5.3,0.7,15.7,14.1,19.1,
05212,秋田県,大仙市,2007(平成19）,神岡地域,100.0,40.1,4.9,5.4,0.7,15.7,14.1,19.1,
05212,秋田県,大仙市,2008(平成20）,神岡地域,100.0,40.1,4.8,5.4,0.7,15.7,14.0,19.3,
05212,秋田県,大仙市,2009(平成21）,神岡地域,100.0,40.1,4.8,5.5,0.7,15.7,14.0,19.1,
05212,秋田県,大仙市,2010(平成22）,神岡地域,100.0,40.1,4.8,5.5,0.7,15.7,14.0,19.1,
05212,秋田県,大仙市,2011(平成23）,神岡地域,100.0,40.1,4.8,5.5,0.7,15.7,14.1,19.1,
05212,秋田県,大仙市,2012(平成24）,神岡地域,100.0,40.1,4.8,5.5,0.7,15.7,14.0,19.2,
05212,秋田県,大仙市,2013(平成25）,神岡地域,100.0,40.0,4.8,5.5,0.7,15.7,14.0,19.2,
05212,秋田県,大仙市,2014(平成26）,神岡地域,100.0,40.0,4.8,5.5,0.7,15.7,14.0,19.2,
05212,秋田県,大仙市,2015(平成27）,神岡地域,100.0,40.0,4.8,5.5,0.7,15.7,14.0,19.3,
05212,秋田県,大仙市,2016(平成28）,神岡地域,100.0,40.0,4.8,5.5,0.7,15.7,13.9,19.3,
05212,秋田県,大仙市,2017(平成29）,神岡地域,100.0,40.0,4.8,5.6,0.7,15.7,13.9,19.3,
05212,秋田県,大仙市,2018(平成30）,神岡地域,100.0,40.0,4.8,5.6,0.7,15.7,13.9,19.3,
05212,秋田県,大仙市,2019(令和1）,神岡地域,100.0,40.0,4.8,5.6,0.7,15.7,13.9,19.3,
05212,秋田県,大仙市,2020(令和2）,神岡地域,100.0,39.9,4.8,5.6,0.7,15.7,13.9,19.4,
05212,秋田県,大仙市,2021(令和3）,神岡地域,100.0,39.8,4.8,5.6,0.7,15.7,13.9,19.5,
05212,秋田県,大仙市,2005(平成17),西仙北地域,100.0,14.1,3.1,1.7,0.6,59.8,4.4,16.3,
05212,秋田県,大仙市,2006(平成18）,西仙北地域,100.0,14.1,3.1,1.7,0.6,60.5,4.4,15.6,
05212,秋田県,大仙市,2007(平成19）,西仙北地域,100.0,14.2,3.0,1.8,0.6,60.5,4.4,15.5,
05212,秋田県,大仙市,2008(平成20）,西仙北地域,100.0,14.2,3.0,1.8,0.6,60.5,4.4,15.5,
05212,秋田県,大仙市,2009(平成21）,西仙北地域,100.0,14.2,3.0,1.8,0.6,60.5,4.4,15.6,
05212,秋田県,大仙市,2010(平成22）,西仙北地域,100.0,14.2,3.0,1.8,0.6,60.5,4.4,15.6,
05212,秋田県,大仙市,2011(平成23）,西仙北地域,100.0,14.2,3.0,1.8,0.6,60.5,4.3,15.6,
05212,秋田県,大仙市,2012(平成24）,西仙北地域,100.0,14.2,3.0,1.8,0.6,61.5,4.3,14.6,
05212,秋田県,大仙市,2013(平成25）,西仙北地域,100.0,14.2,3.0,1.8,0.6,61.5,4.3,14.6,
05212,秋田県,大仙市,2014(平成26）,西仙北地域,100.0,14.2,3.0,1.8,0.6,61.6,4.3,14.4,
05212,秋田県,大仙市,2015(平成27）,西仙北地域,100.0,14.2,3.0,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2016(平成28）,西仙北地域,100.0,14.2,3.0,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2017(平成29）,西仙北地域,100.0,14.2,2.9,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2018(平成30）,西仙北地域,100.0,14.2,2.9,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2019(令和1）,西仙北地域,100.0,14.2,2.9,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2020(令和2）,西仙北地域,100.0,14.2,2.9,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2021(令和3）,西仙北地域,100.0,14.2,2.9,1.9,0.6,62.5,4.3,13.6,
05212,秋田県,大仙市,2005(平成17),中仙地域,100.0,43.9,2.7,3.7,0.1,8.4,11.2,30.0,
05212,秋田県,大仙市,2006(平成18）,中仙地域,100.0,43.9,2.7,3.7,0.1,8.4,11.2,30.0,
05212,秋田県,大仙市,2007(平成19）,中仙地域,100.0,43.9,2.7,3.7,0.1,8.4,11.2,30.0,
05212,秋田県,大仙市,2008(平成20）,中仙地域,100.0,44.0,2.6,3.7,0.1,8.4,11.1,30.1,
05212,秋田県,大仙市,2009(平成21）,中仙地域,100.0,43.9,2.6,3.8,0.1,8.5,11.1,30.1,
05212,秋田県,大仙市,2010(平成22）,中仙地域,100.0,43.9,2.6,3.8,0.1,8.5,11.1,30.1,
05212,秋田県,大仙市,2011(平成23）,中仙地域,100.0,43.9,2.6,3.8,0.1,8.5,11.1,30.0,
05212,秋田県,大仙市,2012(平成24）,中仙地域,100.0,43.9,2.6,3.8,0.1,8.5,11.1,30.1,
05212,秋田県,大仙市,2013(平成25）,中仙地域,100.0,43.9,2.6,3.8,0.1,8.5,11.1,30.1,
05212,秋田県,大仙市,2014(平成26）,中仙地域,100.0,43.6,2.5,3.9,0.1,8.5,11.1,30.3,
05212,秋田県,大仙市,2015(平成27）,中仙地域,100.0,43.6,2.5,3.9,0.1,8.5,11.0,30.3,
05212,秋田県,大仙市,2016(平成28）,中仙地域,100.0,43.6,2.5,3.9,0.1,8.6,11.1,30.3,
05212,秋田県,大仙市,2017(平成29）,中仙地域,100.0,43.6,2.5,3.9,0.1,8.6,11.0,30.3,
05212,秋田県,大仙市,2018(平成30）,中仙地域,100.0,43.6,2.5,4.0,0.1,8.6,11.0,30.2,
