市町村コード,都道府県名,市区町村名,事業所名称,事業所名称ｶﾅ,実施サービス,住所,電話番号,FAX番号,利用可能曜日,定員,URL,,,
052124,秋田県,大仙市,デイサービスセンター鷹揚館,ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰｵｳﾖｳｶﾝ,通所介護,秋田県大仙市佐野町3-41,0187-62-1203,0187-62-1205,月火水木金土・祝日,35,,,,
052124,秋田県,大仙市,おうようかん介護センター,ｵｳﾖｳｶﾝｶｲｺﾞｾﾝﾀｰ,小規模多機能型居宅介護事業所,秋田県大仙市佐野町3-41,0187-73-7381,0187-62-1205,月火水木金土日・祝日,29,,,,
052124,秋田県,大仙市,おうようかん介護センター富士見,ｵｳﾖｳｶﾝｶｲｺﾞｾﾝﾀｰﾌｼﾞﾐ,看護小規模多機能型居宅介護事業所,秋田県大仙市富士見町3-8,0187-73-5611,0187-62-6201,月火水木金土日・祝日,29,,,,
052124,秋田県,大仙市,有料老人ホームおうようかん,ﾕｳﾘｮｳﾛｳｼﾞﾝﾎｰﾑｵｳﾖｳｶﾝ,有料老人ホーム,秋田県大仙市富士見町3-8,0187-73-5655,0187-62-6201,月火水木金土日・祝日,15,,,,
052124,秋田県,大仙市,ケアプランナー咲いた,ｹｱﾌﾟﾗﾝﾅｰｻｲﾀ,居宅介護支援事業所,秋田県大仙市佐野町17-15アバニティ佐野11号,0187-73-6016,0187-73-6942,月火水木金,,,,,
052124,秋田県,大仙市,ケアサポート咲いた,ｹｱｻﾎﾟｰﾄｻｲﾀ,訪問介護,秋田県大仙市佐野町17-15アバニティ佐野11号,0187-73-6016,0187-73-6942,月火水木金土日・祝日,,,,,
052124,秋田県,大仙市,おおまがり介護支援センター花あかり,ｵｵﾏｶﾞﾘｶｲｺﾞｼｴﾝｾﾝﾀｰﾊﾅｱｶﾘ,小規模多機能型居宅介護事業所,秋田県大仙市大花町5-27,0187-73-7430,0187-73-7431,月火水木金土日・祝日,29,http://www.fine-care.co.jp/,,,
052124,秋田県,大仙市,グループホーム大花,ｸﾞﾙｰﾌﾟﾎｰﾑｵｵﾊﾅ,認知症対応型共同生活介護,秋田県大仙市大花町5-26,0187-73-7436,0187-73-7436,月火水木金土日・祝日,9,http://www.fine-care.co.jp/,,,
052124,秋田県,大仙市,虹の街サービス付き高齢者向け住宅リライエおおまがり,ﾆｼﾞﾉﾏﾁｻｰﾋﾞｽﾂｷｺｳﾚｲｼｬﾑｹｼﾞｭｳﾀｸﾘﾗｲｴｵｵﾏｶﾞﾘ,サービス付高齢者向け住宅,秋田県大仙市大花町3-60-3,0187-88-8624,0187-88-8624,月火水木金土日・祝日,31,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,虹の街看護小規模多機能おおまがり,ﾆｼﾞﾉﾏﾁｶﾝｺﾞｼｮｳｷﾎﾞﾀｷﾉｳｵｵﾏｶﾞﾘ,看護小規模多機能型居宅介護事業所,秋田県大仙市大花町3-60-6,0187-88-8623,0187-88-8625,月火水木金土日・祝日,29,http://www.nijinomachi.co.jp/,,,
052124,秋田県,大仙市,虹の街訪問看護ステーション大曲,ﾆｼﾞﾉﾏﾁﾎｳﾓﾝｶﾝｺﾞｽﾃｰｼｮﾝｵｵﾏｶﾞﾘ,訪問看護,秋田県大仙市大花町3-60-6,0187-88-8773,0187-88-8625,月火水木金土・祝日,,,,,
052124,秋田県,大仙市,さらさ大曲,ｻﾗｻｵｵﾏｶﾞﾘ,特定施設,秋田県大仙市大曲通町12-36,0187-66-1016,0187-62-5056,月火水木金土日・祝日,67,https://jawa-akita.com/,,,
052124,秋田県,大仙市,あいぱる大曲,ｱｲﾊﾟﾙｵｵﾏｶﾞﾘ,サービス付高齢者向け住宅,秋田県大仙市大曲福住町5-23,0187-63-0088,0187-66-3166,月火水木金土日・祝日,67,,,,
052124,秋田県,大仙市,あいぱるケアセンター,ｱｲﾊﾟﾙｹｱｾﾝﾀｰ,訪問介護,秋田県大仙市大曲福住町5-23,0187-73-5678,0187-66-3166,月火水木金土日・祝日,,,,,
052124,秋田県,大仙市,ケアプランセンターあんり,ｹｱﾌﾟﾗﾝｾﾝﾀｰｱﾝﾘ,居宅介護支援事業所,秋田県大仙市大曲福住町1-10,0187-73-5700,0187-73-6418,月火水木金,,https://bdr-fc.com/anri-grp/,,,
052124,秋田県,大仙市,ＪＡ秋田おばこケアプランセンター,ｼﾞｪｲｴｲｱｷﾀｵﾊﾞｺｹｱﾌﾟﾗﾝｾﾝﾀｰ,居宅介護支援事業所,秋田県大仙市大曲通町8-68　         ,0187-86-0892,0187-86-0963,月火水木金,,https://ja-obako.or.jp/care,,,
052124,秋田県,大仙市,ＪＡ秋田おばこホームヘルプサービス,ｼﾞｪｲｴｲｱｷﾀｵﾊﾞｺﾎｰﾑﾍﾙﾌﾟｻｰﾋﾞｽ,訪問介護,秋田県大仙市大曲通町8-68　         ,0187-86-0898,0187-86-0936,月火水木金土日・祝日,,https://ja-obako.or.jp/care,,,
052124,秋田県,大仙市,ＪＡ秋田おばこショートステイやすらぎ,ｼﾞｪｲｴｲｱｷﾀｵﾊﾞｺｼｮｰﾄｽﾃｲﾔｽﾗｷﾞ,短期入所生活介護,秋田県大仙市大曲通町8-68　         ,0187-88-8608,0187-86-0936,月火水木金土日・祝日,40,https://ja-obako.or.jp/care,,,
