年次,大曲ＩＣ出入数（台）,大曲ＩＣ対前年増減率（％）,西仙北ＩＣ出入数（台）,西仙北ＩＣ対前年増減率（％）,協和ＩＣ出入数（台）,協和ＩＣ対前年増減率（％）
2005,1106495,-,178274,-,410864,-
2006,1199301,8.4,160332,-10.1,362639,-11.7
2007,1251535,4.4,155183,-3.2,371098,2.3
2008,1286493,2.8,141912,-8.6,342292,-7.8
2009,1439878,11.9,158248,11.5,359241,5.0
2010,1520640,5.6,160785,1.6,391276,8.9
2011,1736850,14.2,175741,9.3,464412,18.7
2012,1590487,-8.4,174172,-0.9,414075,-10.8
2013,1647601,3.6,182370,4.7,426485,3.0
2014,1501231,-8.9,157458,-13.7,393546,-7.7
2015,1481649,-1.3,156024,-0.9,388930,-1.2
2016,1494307,0.8,155710,-0.2,393749,1.2
2017,1540871,3.1,164033,5.3,410395,4.2
2018,1535660,-0.3,173337,5.6,413544,0.8
2019,1465612,-4.6,169441,-2.2,406397,-1.7
2020,1163818,-20.6,152783,-9.8,302522,-25.6
