３　都　市　計　画　用　途　地　域　別　面　積,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
（１）秋田都市計画区域,,,,,,,,,,,,,,,各年１２月３１日現在　単位：ha,,,,,,,,,,
年次,総数,市街化区域,,,,,,,,市街化区域,,,,,"市 街 化
調整区域",,,,,,,,,,
,,総数,"第一種
低層
住居
専用","第二種
低層
住居
専用","第一種
中高層
住居
専用","第二種
中高層
住居
専用","第一種
住居","第二種
住居",準住居,近隣商業,商業,準工業,工業,"工業
専用",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
平成25年,"30,987 ","7,424 ","2,129 ",14 ,711 ,467 ,"1,431 ",86 ,6 ,351 ,390 ,796 ,250 ,794 ,"23,563 ",,,,,,,,,,
26,"41,437 ","7,602 ","2,120 ",15 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,835 ",,,,,,,,,,
27,"41,437 ","7,602 ","2,120 ",15 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,835 ",,,,,,,,,,
28,"41,437 ","7,602 ","2,120 ",15 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,835 ",,,,,,,,,,
29,"41,437 ","7,602 ","2,120 ",15 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,835 ",,,,,,,,,,
30,"41,437 ","7,602 ","2,120 ",15 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,835 ",,,,,,,,,,
令和元年,"41,437 ","7,586 ","2,106 ",13 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,851 ",,,,,,,,,,
２,"41,437 ","7,586 ","2,106 ",13 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,851 ",,,,,,,,,,
３,"41,437 ","7,586 ","2,106 ",13 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,250 ,852 ,"33,851 ",,,,,,,,,,
４,"41,437 ","7,586 ","2,106 ",13 ,717 ,488 ,"1,489 ",91 ,6 ,355 ,390 ,828 ,281 ,822 ,"33,851 ",,,,,,,,,,
　資料　秋田市都市計画課　　　　　,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　総数値においては、端数調整の関係で内訳合計値と相違する項目がある。,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　平成17年の市町合併により行政区域内に河辺都市計画区域が追加。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
（２）河辺都市計画区域,,,,,,,,,,,,,,,,,,,,,,,,,
年次,総数,用途地域の指定のある区域,,,,,,,用途地域の指定のない区域,,,,,,,,,,,,,,,,
,,総数,"第一種
低層
住居
専用","第一種
住居","第二種
住居",近隣商業,準工業,工業専用,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
平成22年,"10,450 ",136 ,7 ,38 ,5 ,5 ,24 ,58 ,"10,314 ",,,,,,,,,,,,,,,,
23,"10,450 ",136 ,7 ,38 ,5 ,5 ,24 ,58 ,"10,314 ",,,,,,,,,,,,,,,,
24,"10,450 ",136 ,7 ,38 ,5 ,5 ,24 ,58 ,"10,314 ",,,,,,,,,,,,,,,,
25,"10,450 ",136 ,7 ,38 ,5 ,5 ,24 ,58 ,"10,314 ",,,,,,,,,,,,,,,,
26,"10,450 ",136 ,7 ,38 ,5 ,5 ,24 ,58 ,"10,314 ",,,,,,,,,,,,,,,,
　資料　秋田市都市計画課　　　　　,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　平成26年に河辺都市計画区域は秋田都市計画区域と統合。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
