４３　大学卒業者の進路状況,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,各年３月卒業者　単位：人
暦年・学科,卒業者総数,,,進学者,,就職者,,"就職
進学者","左記以
外の者","死亡・
不詳","臨床
研修医
予定者"
,,,,,,,,,,,
,計,男,女,男,女,男,女,,,,
平成25年,"1,520",842,678,134,55,618,579,－,134,－,95
26,"1,627",881,746,174,66,642,640,－,105,－,112
27,"1,542",843,699,188,58,613,621,－,62,－,100
28,"1,590",887,703,180,61,673,613,－,63,－,118
29,"1,741",946,795,206,58,701,698,－,78,－,118
30,"1,696",966,730,221,67,712,626,－,70,－,121
31,"1,663",908,755,202,75,663,637,－,86,－,116
令和２年,"1,696",899,797,195,82,666,682,－,71,－,116
３,"1,671",912,759,183,68,674,635,－,111,－,123
４,"1,736",974,762,258,88,655,633,－,102,－,116
,,,,,,,,,,,
理工学部,457,393,64,192,30,177,32,－,26,－,－
教育文化学部,213,81,132,4,7,66,119,－,17,－,－
医学部,227,97,130,－,3,95,123,－,6,－,116
工学資源学部,－,－,－,－,－,－,－,－,－,－,－
国際資源学部,119,82,37,37,11,41,25,－,5,－,－
経済学部,120,103,17,1,1,102,15,－,1,－,－
法学部,73,53,20,－,－,48,20,－,5,－,－
生物資源科学部,160,81,79,15,17,61,59,－,8,－,－
国際教養学部,161,58,103,6,7,45,84,－,19,－,－
看護学部,114,11,103,－,3,10,99,－,2,－,－
美術学部,92,15,77,3,9,10,57,－,13,－,－
　資料　秋田大学、ノースアジア大学、秋田県立大学、国際教養大学、日本赤十字秋田看護大学、秋田公立美術大学,,,,,,,,,,,
　　注）１　秋田大学は、臨床研修医予定者を就職者数にも計上している。,,,,,,,,,,,
　　　　２　秋田大学の各年卒業者には前年９月卒業者も含む。,,,,,,,,,,,
　　　  ３　国際教養大学の各年卒業者には前年８月卒業者も含む。,,,,,,,,,,,
　　　　４　日本赤十字秋田看護大学は、平成25年から掲載した。,,,,,,,,,,,
　　　　５　秋田公立美術大学は、平成27年から掲載した。,,,,,,,,,,,
　　　　６　ノースアジア大学の各年卒業者には前年９月卒業者も含む。,,,,,,,,,,,
,,,,,,,,,,,
