８４　　秋田空港の利用状況  （ Ⅵ ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(6) 貨物、郵便（全路線）,,,,,各年間,,,,,,,,,,,
年月,"全路線就航率
（％）",貨物（ｔ）,,郵便（ｔ）,,,,,,,,,,,,
,,積,降,積,降,,,,,,,,,,,
平成29年,98.0 ,547.9 ,874.0 ,64.8 ,315.5 ,,,,,,,,,,,
30,97.9 ,604.4 ,815.8 ,39.1 ,203.9 ,,,,,,,,,,,
令和元年,99.2 ,657.0 ,694.6 ,－,－,,,,,,,,,,,
２,98.9 ,263.0 ,337.0 ,－,－,,,,,,,,,,,
３,98.0 ,235.8 ,279.8 ,－,－,,,,,,,,,,,
,,,,,,,,,,,,,,,,
３年１月,80.3 ,12.8 ,14.4 ,－,－,,,,,,,,,,,
２,93.6 ,13.3 ,18.4 ,－,－,,,,,,,,,,,
３,99.8 ,27.6 ,21.6 ,－,－,,,,,,,,,,,
４,100.0 ,15.3 ,23.4 ,－,－,,,,,,,,,,,
５,100.0 ,14.4 ,19.0 ,－,－,,,,,,,,,,,
６,100.0 ,19.2 ,19.7 ,－,－,,,,,,,,,,,
７,100.0 ,29.9 ,36.3 ,－,－,,,,,,,,,,,
８,100.0 ,22.5 ,25.5 ,－,－,,,,,,,,,,,
９,99.7 ,22.0 ,24.8 ,－,－,,,,,,,,,,,
10,99.2 ,22.4 ,23.8 ,－,－,,,,,,,,,,,
11,99.9 ,19.7 ,26.5 ,－,－,,,,,,,,,,,
12,97.3 ,16.7 ,26.4 ,－,－,,,,,,,,,,,
　資料　秋田県港湾空港課,,,,,,,,,,,,,,,,
　　注）　平成30年9月より郵便取扱廃止,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
