１３９　結核健康診断の実施状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（１）ＢＣＧ接種者,,,,各年度間　単位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,総数,未就学児,小学生,中学生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成24年度,"2,129 ","2,129 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"1,924 ","1,924 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"2,267 ","2,267 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"2,248 ","2,248 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"2,115 ","2,115 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"2,010 ","2,010 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"1,889 ","1,889 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年度,"1,861 ","1,861 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２,"1,768 ","1,768 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３,"1,707 ","1,707 ",－ ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　資料　秋田市保健所「保健衛生事業の概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　平成15年度以降、小・中学生のＢＣＧ接種を廃止した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　平成25年度以降、ＢＣＧの接種対象年齢を生後１歳に至るまでとした。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（２）Ｘ線撮影,,,,,,,,,各年度間　単位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,対象者,,,受診者,,,受診率（％）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,生徒,一般,総数,生徒,一般,総数,生徒,一般,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成24年度,"66,925 ","3,433 ","63,492 ","10,173 ","3,371 ","6,802 ",15.2 ,98.2 ,10.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"66,572 ","3,241 ","63,331 ","10,030 ","3,210 ","6,820 ",15.1 ,99.0 ,10.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"75,683 ","2,993 ","72,690 ","10,001 ","2,966 ","7,035 ",13.2 ,99.1 ,9.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"72,808 ","2,637 ","70,171 ","9,565 ","2,623 ","6,942 ",13.1 ,99.5 ,10.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"72,568 ","2,881 ","69,687 ","9,702 ","2,859 ","6,843 ",13.4 ,99.2 ,9.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"74,485 ","3,030 ","71,455 ","9,767 ","3,020 ","6,747 ",13.1 ,99.7 ,9.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"76,091 ","2,822 ","73,269 ","9,518 ","2,805 ","6,713 ",12.5 ,99.4 ,9.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年度,"80,958 ","2,704 ","78,254 ","9,328 ","2,689 ","6,639 ",11.5 ,99.4 ,8.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２,"83,036 ","2,748 ","80,288 ","3,075 ","2,735 ",340 ,3.7 ,99.5 ,0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３,"79,467 ","2,675 ","76,792 ","5,328 ","2,656 ","2,672 ",6.7 ,99.3 ,3.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　資料　秋田市保健所「保健衛生事業の概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　生徒の対象者は、市内全高校に入学した生徒である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　平成17年度以降、一般の対象者を65歳以上とした。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
