２８　　高　　等　　学　　校　　の　　概　　況,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,各年度５月１日現在,,,,,
年度,学校数,,,,,,,教員数（人),,,,生徒数（人）,,,,,,,,,,,,,,,
,総数,全日制,,,,定時制,"(参考)
定時制
併置校",総数,全日制,定時制,通信制,総数,全日制,,,,定時制,,通信制,,,,,,,,
,,計,県立,市立,私立,,,,,,,,公立,,私立,,男,女,男,,女,,,,,,
,,,,,,,,,,,,,男,女,男,女,,,,,,,,,,,
平成25年度, 14 , 13 , 7 , 2 , 4 , 1 , － , 689 , 613 , 52 , 24 ," 9,471 "," 3,015 "," 2,874 ", 943 ," 1,598 ", 261 , 215 ,(15), 253 ,(10), 312 ,,,,,
26, 14 , 13 , 7 , 2 , 4 , 1 , － , 672 , 598 , 51 , 23 ," 9,330 "," 2,964 "," 2,817 ", 905 ," 1,629 ", 264 , 206 ,(16), 247 ,(13), 298 ,,,,,
27, 14 , 13 , 7 , 2 , 4 , 1 , － , 670 , 595 , 51 , 24 ," 9,077 "," 2,909 "," 2,756 ", 866 ," 1,571 ", 243 , 206 ,(16), 237 ,(12), 289 ,,,,,
28, 14 , 13 , 7 , 2 , 4 , 1 , － , 664 , 591 , 50 , 23 ," 8,949 "," 2,887 "," 2,719 ", 900 ," 1,485 ", 241 , 211 ,(12), 230 ,(17), 276 ,,,,,
29, 14 , 13 , 7 , 2 , 4 , 1 , － , 656 , 583 , 51 , 22 ," 8,705 "," 2,776 "," 2,728 ", 897 ," 1,430 ", 205 , 193 ,(16), 219 ,(14), 257 ,,,,,
30, 14 , 13 , 7 , 2 , 4 , 1 , － , 647 , 576 , 50 , 21 ," 8,547 "," 2,672 "," 2,749 ", 903 ," 1,397 ", 175 , 187 ,(18), 219 ,(14), 245 ,,,,,
令和元年度, 14 , 13 , 7 , 2 , 4 , 1 , － , 642 , 572 , 50 , 20 ," 8,395 "," 2,659 "," 2,711 ", 812 ," 1,343 ", 202 , 200 ,(15), 221 ,(12), 247 ,,,,,
２, 14 , 13 , 7 , 2 , 4 , 1 , － , 632 , 565 , 47 , 20 ," 8,264 "," 2,712 "," 2,654 ", 800 ," 1,287 ", 194 , 181 ,(15), 212 ,(3), 224 ,,,,,
３, 14 , 13 , 7 , 2 , 4 , 1 , － , 648 , 578 , 48 , 22 ," 8,160 "," 2,754 "," 2,594 ", 815 ," 1,184 ", 179 , 170 ,(14), 219 ,(3), 245 ,,,,,
４, 14 , 13 , 7 , 2 , 4 , 1 , － , 639 , 571 , 48 , 20 ," 8,235 "," 2,778 "," 2,551 ", 874 ," 1,169 ", 171 , 177 ,(29), 237 ,(19), 278 ,,,,,
　資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　通信課程の（　）内は、他校からの併修者数で外数,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
