地域コード,地域,地区,年次,農家数(戸),農家数構成比(パーセント),販売なし(戸),販売なし構成比(パーセント),50万円未満(戸),50万円未満(パーセント),50以上100未満(戸),50以上100未満(パーセント),100以上200未満(戸),100以上200未満(パーセント),200以上300未満(戸),200以上300未満(パーセント),300以上500未満(戸),300以上500未満(パーセント),500以上700未満(戸),500以上700未満(パーセント),"700以上1,000未満(戸)","700以上1,000未満(パーセント)","1,000以上1,500未満(戸)","1,000以上1,500未満(パーセント)","1,500以上2,000未満(戸)","1,500以上2,000未満(パーセント)","2,000以上3,000未満(戸)","2,000以上3,000未満(パーセント)","3,000万円以上(戸)","3,000万円以上(パーセント)"
05212,大仙市,市内全域,2000(平成12),"9,524",100.0,228,2.4,"1,349",14.2,"1,862",19.6,"2,507",26.3,"1,607",16.9,"1,255",13.2,395,4.1,203,2.1,77,0.8,22,0.2,14.0,0.1,5,0.1
05212,大仙市,市内全域,2005(平成17),"8,469",100.0,312,3.7,"1,359",16.0,"1,768",20.9,"2,357",27.8,"1,162",13.7,920,10.9,296,3.5,165,1.9,96,1.1,21,0.2,7.0,0.1,6,0.1
05212,大仙市,市内全域,2010(平成22),"6,333",100.0,294,4.6,"1,147",18.1,"1,334",21.1,"1,614",25.5,784,12.4,612,9.7,263,4.2,156,2.5,91,1.4,18,0.3,10.0,0.2,10,0.2
05212,大仙市,市内全域,2015(平成27),"5,117",100.0,137,2.7,"1,093",21.4,"1,132",22.1,"1,246",24.4,590,11.5,470,9.2,206,4.0,134,2.6,82,1.6,15,0.3,7.0,0.1,5,0.1
05212,大仙市,大曲地域,2000(平成12),"2,420",25.4,57,0.6,333,3.5,570,6.0,741,7.8,390,4.1,212,2.2,58,0.6,32,0.3,18,0.2,6,0.1,1.0,0.0,2,0.0
05212,大仙市,大曲地域,2005(平成17),"2,213",26.1,74,0.9,450,5.3,561,6.6,656,7.7,230,2.7,143,1.7,45,0.5,21,0.2,26,0.3,5,0.1,1.0,0.0,1,0.0
05212,大仙市,大曲地域,2010(平成22),"1,636",25.8,54,0.9,387,6.1,403,6.4,417,6.6,178,2.8,99,1.6,42,0.7,25,0.4,23,0.4,5,0.1,1.0,0.1,2,0.0
05212,大仙市,大曲地域,2015(平成27),"1,286",25.1,11,0.2,347,6.8,343,6.7,312,6.1,115,2.2,78,1.5,31,0.6,23,0.4,22,0.4,3,0.1,0.0,0.0,1,0.0
05212,大仙市,神岡地域,2000(平成12),593,6.2,9,6.2,111,1.2,104,1.1,142,1.5,108,1.1,72,0.8,24,0.3,10,0.1,12,0.1,1,0.0,0.0,0.0,0,0.0
05212,大仙市,神岡地域,2005(平成17),527,6.2,31,6.2,99,1.2,82,1.0,149,1.8,77,0.9,46,0.5,19,0.2,13,0.2,7,0.1,3,0.0,0.0,0.0,1,0.0
05212,大仙市,神岡地域,2010(平成22),446,7.0,18,7.0,87,1.4,69,1.1,140,2.2,47,0.7,46,0.7,18,0.3,9,0.1,9,0.1,2,0.0,1.0,0.2,0,0.0
05212,大仙市,神岡地域,2015(平成27),352,6.9,9,6.9,82,1.6,78,1.5,87,1.7,39,0.8,25,0.5,14,0.3,8,0.2,7,0.1,2,0.0,1.0,0.3,0,0.0
05212,大仙市,西仙北地域,2000(平成12),"1,327",13.9,38,0.4,212,2.2,241,2.5,357,3.7,232,2.4,173,1.8,41,0.4,20,0.2,7,0.1,3,0.0,3.0,0.0,0,0.0
05212,大仙市,西仙北地域,2005(平成17),"1,162",13.7,43,0.5,154,1.8,239,2.8,378,4.5,173,2.0,118,1.4,30,0.4,15,0.2,8,0.1,2,0.0,1.0,0.0,1,0.0
