観測点,年　次,1月(mm),2月(mm),3月(mm),4月(mm),5月(mm),6月(mm),7月(mm),8月(mm),9月(mm),10月(mm),11月(mm),12月(mm)
大曲観測所,1985,131.0 ,96.0 ,101.0 ,77.0 ,91.0 ,54.0 ,233.0 ,77.0 ,230.0 ,138.0 ,265.0 ,160.0 
大曲観測所,1986,161.0 ,121.0 ,60.0 ,106.0 ,118.0 ,101.0 ,163.0 ,104.0 ,148.0 ,111.0 ,186.0 ,163.0 
大曲観測所,1987,125.0 ,100.0 ,104.0 ,47.0 ,93.0 ,32.0 ,312.0 ,417.0 ,93.0 ,82.0 ,154.0 ,132.0 
大曲観測所,1988,150.0 ,128.0 ,58.0 ,137.0 ,142.0 ,82.0 ,76.0 ,180.0 ,68.0 ,132.0 ,211.0 ,132.0 
大曲観測所,1989,106.0 ,71.0 ,87.0 ,211.0 ,60.0 ,58.0 ,51.0 ,149.0 ,241.0 ,100.0 ,150.0 ,162.0 
大曲観測所,1990,180.0 ,82.0 ,75.0 ,112.0 ,55.0 ,258.0 ,245.0 ,109.0 ,301.0 ,154.0 ,175.0 ,279.0 
大曲観測所,1991,158.0 ,102.0 ,69.0 ,67.0 ,126.0 ,169.0 ,403.0 ,227.0 ,93.0 ,222.0 ,208.0 ,133.0 
大曲観測所,1992,104.0 ,96.0 ,70.0 ,118.0 ,94.0 ,70.0 ,136.0 ,118.0 ,146.0 ,104.0 ,181.0 ,164.0 
大曲観測所,1993,104.0 ,179.0 ,47.0 ,88.0 ,136.0 ,136.0 ,227.0 ,179.0 ,164.0 ,163.0 ,241.0 ,173.0 
大曲観測所,1994,131.0 ,83.0 ,86.0 ,35.0 ,115.0 ,100.0 ,90.0 ,70.0 ,238.0 ,105.0 ,75.0 ,178.0 
大曲観測所,1995,99.0 ,55.0 ,83.0 ,178.0 ,104.0 ,153.0 ,230.0 ,560.0 ,139.0 ,151.0 ,287.0 ,228.0 
大曲観測所,1996,123.0 ,131.0 ,147.0 ,88.0 ,152.0 ,228.0 ,149.0 ,89.0 ,92.0 ,70.0 ,182.0 ,175.0 
大曲観測所,1997,101.0 ,112.0 ,79.0 ,81.0 ,200.0 ,170.0 ,149.0 ,92.0 ,406.0 ,237.0 ,156.0 ,133.0 
大曲観測所,1998,176.0 ,72.0 ,77.0 ,73.0 ,184.0 ,176.0 ,164.0 ,432.0 ,149.0 ,230.0 ,191.0 ,174.0 
大曲観測所,1999,151.0 ,128.0 ,128.0 ,65.0 ,134.0 ,112.0 ,100.0 ,205.0 ,204.0 ,189.0 ,194.0 ,179.0 
大曲観測所,2000,221.0 ,161.0 ,179.0 ,181.0 ,113.0 ,115.0 ,150.0 ,65.0 ,272.0 ,84.0 ,131.0 ,150.0 
大曲観測所,2001,124.0 ,88.0 ,108.0 ,48.0 ,98.0 ,168.0 ,236.0 ,159.0 ,116.0 ,157.0 ,160.0 ,120.0 
大曲観測所,2002,211.0 ,106.0 ,174.0 ,98.0 ,78.0 ,119.0 ,396.0 ,312.0 ,105.0 ,270.0 ,303.0 ,115.0 
大曲観測所,2003,172.0 ,57.0 ,77.0 ,139.0 ,50.0 ,70.0 ,188.0 ,222.0 ,147.0 ,144.0 ,120.0 ,150.0 
大曲観測所,2004,140.0 ,118.0 ,85.0 ,144.0 ,176.0 ,186.0 ,229.0 ,238.0 ,218.0 ,115.0 ,119.0 ,165.0 
大曲観測所,2005,199.0 ,146.0 ,113.0 ,78.0 ,103.0 ,111.0 ,124.0 ,162.0 ,218.0 ,142.0 ,174.0 ,172.0 
大曲観測所,2006,63.0 ,99.0 ,120.0 ,105.0 ,106.0 ,64.0 ,151.0 ,56.0 ,62.0 ,113.0 ,176.0 ,200.0 
大曲観測所,2007,142.0 ,110.0 ,144.0 ,93.0 ,106.0 ,119.0 ,100.0 ,336.0 ,263.0 ,127.0 ,175.0 ,183.0 
大曲観測所,2008,108.0 ,81.0 ,53.0 ,46.0 ,80.5 ,46.5 ,235.0 ,249.0 ,101.5 ,151.0 ,216.0 ,158.0 
大曲観測所,2009,170.0 ,121.0 ,117.0 ,99.0 ,65.0 ,98.5 ,300.5 ,146.5 ,89.0 ,159.5 ,224.0 ,188.0 
大曲観測所,2010,249.5 ,76.0 ,142.5 ,105.5 ,118.0 ,162.0 ,244.5 ,251.0 ,224.5 ,98.5 ,190.5 ,199.0 
大曲観測所,2011,229.0 ,84.5 ,117.5 ,123.0 ,157.5 ,323.5 ,81.5 ,205.5 ,213.5 ,140.0 ,143.0 ,193.0 
大曲観測所,2012,113.5 ,134.0 ,149.5 ,101.5 ,107.0 ,29.0 ,209.0 ,32.5 ,101.0 ,146.0 ,326.5 ,221.5 
大曲観測所,2013,164.5 ,120.5 ,92.5 ,124.0 ,46.5 ,27.0 ,556.0 ,223.0 ,198.5 ,248.0 ,307.0 ,218.0 
大曲観測所,2014,275.0 ,116.0 ,159.5 ,27.5 ,120.5 ,166.0 ,136.0 ,325.0 ,114.5 ,209.5 ,148.0 ,280.0 
大曲観測所,2015,77.0 ,63.5 ,112.5 ,114.5 ,61.5 ,78.0 ,175.0 ,116.5 ,178.5 ,208.5 ,144.0 ,187.0 
大曲観測所,2016,143.5 ,147.0 ,80.0 ,127.5 ,98.0 ,178.5 ,101.5 ,244.0 ,140.5 ,198.0 ,141.5 ,63.0 
大曲観測所,2017,159.0 ,140.5 ,65.5 ,124.5 ,107.0 ,102.5 ,400.0 ,262.0 ,125.0 ,153.0 ,208.5 ,220.5 
大曲観測所,2018,192.0 ,194.5 ,101.5 ,111.5 ,249.0 ,141.0 ,157.5 ,207.5 ,165.0 ,152.0 ,95.0 ,128.5 
大曲観測所,2019,107.0 ,78.5 ,62.0 ,82.0 ,79.5 ,120.5 ,62.5 ,223.0 ,69.0 ,170.5 ,145.5 ,160.0 
大曲観測所,2020,114.0 ,129.0 ,137.0 ,113.5 ,49.0 ,126.0 ,481.5 ,365.5 ,240.0 ,99.0 ,146.5 ,138.5 
大曲観測所,2021,199.0 ,154.5 ,88.5 ,120.5 ,160.0 ,76.0 ,136.5 ,158.0 ,63.5 ,92.0 ,290.0 ,231.5 
大曲観測所,2022,181.5 ,123.0 ,162.0 ,78.5 ,104.5 ,158.0 ,137.0 ,420.0 ,125.0 ,96.0 ,132.5 ,270.5 
