市町村コード,都道府県名,市町村名,地域,年次,件数(件),死者(人),傷者(人)
052124,秋田県,大仙市,市全域,2005(平成17),425 ,15,517
052124,秋田県,大仙市,市全域,2006(平成18）,405 ,8,507
052124,秋田県,大仙市,市全域,2007(平成19）,345 ,4,477
052124,秋田県,大仙市,市全域,2008(平成20）,305 ,5,372
052124,秋田県,大仙市,市全域,2009(平成21）,315 ,7,397
052124,秋田県,大仙市,市全域,2010(平成22）,262 ,6,337
052124,秋田県,大仙市,市全域,2011(平成23）,270 ,6,318
052124,秋田県,大仙市,市全域,2012(平成24）,293 ,4,392
052124,秋田県,大仙市,市全域,2013(平成25）,260 ,3,363
052124,秋田県,大仙市,市全域,2014(平成26）,231 ,2,315
052124,秋田県,大仙市,市全域,2015(平成27）,198 ,5,242
052124,秋田県,大仙市,市全域,2016(平成28）,142 ,3,194
052124,秋田県,大仙市,市全域,2017(平成29）,139 ,5,176
052124,秋田県,大仙市,市全域,2018(平成30）,119 ,9,142
052124,秋田県,大仙市,市全域,2019(令和1）,116 ,5,143
052124,秋田県,大仙市,市全域,2020(令和2）,117 ,5,150
052124,秋田県,大仙市,市全域,2021(令和3）,98 ,2,121
052124,秋田県,大仙市,大曲地域,2005(平成17),200 ,2,239
052124,秋田県,大仙市,大曲地域,2006(平成18）,211 ,2,248
052124,秋田県,大仙市,大曲地域,2007(平成19）,172 ,1,221
052124,秋田県,大仙市,大曲地域,2008(平成20）,151 ,2,191
052124,秋田県,大仙市,大曲地域,2009(平成21）,160 ,2,202
052124,秋田県,大仙市,大曲地域,2010(平成22）,148 ,3,183
052124,秋田県,大仙市,大曲地域,2011(平成23）,124 ,3,147
052124,秋田県,大仙市,大曲地域,2012(平成24）,148 ,0,191
052124,秋田県,大仙市,大曲地域,2013(平成25）,137 ,1,176
052124,秋田県,大仙市,大曲地域,2014(平成26）,114 ,0,139
052124,秋田県,大仙市,大曲地域,2015(平成27）,107 ,2,124
052124,秋田県,大仙市,大曲地域,2016(平成28）,80 ,2,105
052124,秋田県,大仙市,大曲地域,2017(平成29）,74 ,3,90
052124,秋田県,大仙市,神岡地域,2005(平成17),39 ,4,49
052124,秋田県,大仙市,神岡地域,2006(平成18）,35 ,2,48
052124,秋田県,大仙市,神岡地域,2007(平成19）,26 ,0,40
052124,秋田県,大仙市,神岡地域,2008(平成20）,31 ,0,33
052124,秋田県,大仙市,神岡地域,2009(平成21）,19 ,0,25
052124,秋田県,大仙市,神岡地域,2010(平成22）,15 ,1,15
052124,秋田県,大仙市,神岡地域,2011(平成23）,25 ,0,30
052124,秋田県,大仙市,神岡地域,2012(平成24）,26 ,0,31
052124,秋田県,大仙市,神岡地域,2013(平成25）,14 ,0,24
052124,秋田県,大仙市,神岡地域,2014(平成26）,18 ,0,25
052124,秋田県,大仙市,神岡地域,2015(平成27）,12 ,0,18
052124,秋田県,大仙市,神岡地域,2016(平成28）,7 ,0,9
052124,秋田県,大仙市,神岡地域,2017(平成29）,13 ,0,15
052124,秋田県,大仙市,西仙北地域,2005(平成17),24 ,0,29
052124,秋田県,大仙市,西仙北地域,2006(平成18）,23 ,1,25
052124,秋田県,大仙市,西仙北地域,2007(平成19）,15 ,1,23
052124,秋田県,大仙市,西仙北地域,2008(平成20）,25 ,0,35
052124,秋田県,大仙市,西仙北地域,2009(平成21）,18 ,0,25
