４５　主要スポーツ施設の利用状況（ Ⅱ ）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,各年度間,,,
年度,学校体育館施設,,,,,,,,ナイター施設,,,,,,,,,,,,,,
,"利用者
総数
(人)",指定開放,,一般開放,,,,,施設数,点灯日数,利用者数（人）,,,,,,,,,,,,
,,"開放日数
（日）","利用者数
（人）","登録
団体数",一般団体,,スポーツ少年団,,,（各施設,総数,八橋健康広場・第２球技場,"土崎市民
グラウンド","勝平市民
グラウンド","八 橋
球技場","八橋
テニス場","多目的
グラウンド",花の森テニスコート,"１施設
平均","１施設
１日平均",,,
,,,,,"利用回数
（回）","利用者数
（人）","利用回数
（回）","利用者数
（人）",,平均）,,,,,,,,,,,,,
,,,,,,,,,,（日）,,,,,,,,,,,,,
平成24年度,"524,293 ",35 ,"19,036 ",355 ,"5,442 ","85,587 ","22,971 ","419,670 ",7 ,117 ,"27,557 ","4,831 ","3,328 ","11,532 ",540 ,"3,680 "," 3,030 ", 616 ,"3,936 ",33 ,,,
25,"505,579 ",35 ,"21,205 ",353 ,"5,567 ","84,872 ","22,703 ","399,502 ",7 ,90 ,"26,645 "," 1,528 ","1,663 ","16,191 ", 330 ,"3,068 "," 3,152 ", 713 ,"3,806 ",42 ,,,
26,"479,304 ",35 ,"21,600 ",365 ,"5,521 ","84,709 ","22,166 ","372,995 ",7 ,127 ,"30,127 "," 10,748 ","2,178 ","8,907 ",565 ,"3,904 "," 2,602 "," 1,223 ","4,303 ",33 ,,,
27,"478,926 ",35 ,"21,553 ",363 ,"5,929 ","81,770 ","21,383 ","375,603 ",7 ,206 ,"36,641 "," 17,473 ","2,541 ","8,632 ",350 ,"3,874 ","2,385 ","1,386 ","5,234 ",25 ,,,
28,"472,507 ",35 ,"21,051 ",358 ,"5,858 ","87,871 ","20,292 ","363,585 ",7 ,198 ,"33,589 ","16,889 ","1,931 ","6,738 ","1,000 ","3,499 ","2,494 ","1,038 ","4,798 ",24 ,,,
29,"446,134 ",35 ,"21,415 ",360 ,"5,242 ","78,756 ","19,506 ","345,963 ",7 ,130 ,"32,440 ","14,966 ","2,454 ","7,119 ",700 ,"3,344 ","2,749 ","1,108 ","4,634 ",35 ,,,
30,"446,105 ",35 ,"23,521 ",376 ,"5,337 ","79,113 ","19,995 ","343,471 ",7 ,128 ,"34,191 ","17,339 ","2,336 ","6,665 ","1,086 ","2,453 ","2,704 ","1,608 ","4,884 ",38 ,,,
令和元年度,"385,375 ",35 ,"22,596 ",350 ,"4,515 ","66,557 ","17,159 ","296,222 ",7 ,136 ,"31,014 ","14,874 ","2,592 ","6,336 ",510 ,"3,131 ","2,411 ","1,160 ","4,431 ",33 ,,,
２,"340,139 ",35 ,"15,330 ",340 ,"4,280 ","53,576 ","16,669 ","271,233 ",7 ,117 ,"26,111 ","12,790 ","2,659 ","4,360 ",90 ,"2,830 ","2,189 ","1,193 ","3,730 ",32 ,,,
３,"334,523 ",31 ,"13,602 ",351 ,"4,137 ","56,234 ","15,822 ","264,687 ",7 ,130 ,"32,134 ","13,549 ","2,836 ","4,606 ","2,480 ","3,389 ","3,105 ","2,169 ","4,591 ",35 ,,,
　資料　秋田県の施設：秋田県観光文化スポーツ部スポーツ振興課、秋田市の施設：スポーツ振興課、商工貿易振興課,,,,,,,,,,,,,,,,,,,,,,,
　　注) １　学校体育館の指定開放日は、４月～11月の毎週水曜日である。,,,,,,,,,,,,,,,,,,,,,,,
　　    ２　学校体育施設の指定開放は、令和３年５月19日から６月２日までの３回を新型コロナウイルス感染症の影響により閉鎖した。,,,,,,,,,,,,,,,,,,,,,,,
　　    ３　学校体育施設の一般開放は、令和３年５月12日から６月12日まで新型コロナウイルス感染症の影響により閉鎖した。,,,,,,,,,,,,,,,,,,,,,,,
　　　　４　スポーツ振興課所管体育施設は、令和２年４月12日から５月10日まで新型コロナウイルス感染症の影響により閉鎖した。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年度間,,,,,,,,
年　度,勝平屋内ゲートボール場,,,屋内多目的運動場（光沼アリーナ),,,県立体育館,,,,,,サンライフ秋田,,,,,,,,,,
,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用回数（回),,利 用 者 数（人),,,"開場日数
（日）",利用者数（人),,,,,,,,,
,,総数,１日平均,,総数,１日平均,,総数,うちｽﾎﾟｰﾂ行事,総数,うちｽﾎﾟｰﾂ行事,１日平均,,総数,１日平均,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
平成24年度,354 ,"9,142 ",25 ,359 ,"12,156 ",33 ,315 ,315 ,313 ,"123,146 ","122,956 ",390 ,350 ,"123,435 ",353 ,,,,,,,,
25,359 ,"9,048 ",25 ,359 ,"11,142 ",31 ,353 ,353 ,351 ,"121,933 ","121,773 ",345 ,351 ,"123,687 ",352 ,,,,,,,,
26,359 ,"9,215 ",25 ,359 ,"9,841 ",27 ,348 ,348 ,347 ,"131,104 ","130,974 ",377 ,351 ,"120,809 ",344 ,,,,,,,,
27,360 ,"7,831 ",21 ,360 ,"11,074 ",30 ,338 ,338 ,320 ,"134,387 ","115,886 ",397 ,350 ,"123,027 ",351 ,,,,,,,,
28,359 ,"7,820 ",22 ,359 ,"11,387 ",32 ,355 ,338 ,332 ,"119,521 ","115,301 ",353 ,351 ,"121,218 ",345 ,,,,,,,,
29,359 ,"8,240 ",22 ,359 ,"11,258 ",31 ,355 ,355 ,349 ,"167,435 ","115,424 ",471 ,349 ,"121,668 ",349 ,,,,,,,,
30,359 ,"6,899 ",19 ,359 ,"10,448 ",29 ,353 ,353 ,345 ,"112,113 ","101,090 ",317 ,351 ,"117,197 ",333 ,,,,,,,,
令和元年度,360 ,"6,323 ",18 ,360 ,"9,912 ",28 ,330 ,330 ,326 ,"111,028 ","106,918 ",336 ,352 ,"113,856 ",323 ,,,,,,,,
２,330 ,"6,110 ",19 ,330 ,"9,665 ",29 ,117 ,82 ,80 ,"5,042 ","4,985 ",43 ,323 ,"85,054 ",263 ,,,,,,,,
３,359 ,"5,855 ",16 ,359 ,"10,278 ",29 ,108 ,99 ,93 ,"10,589 ","10,463 ",98 ,351 ,"81,360 ",232 ,,,,,,,,
　資料　秋田県の施設：秋田県観光文化スポーツ部スポーツ振興課、秋田市の施設：スポーツ振興課、商工貿易振興課,,,,,,,,,,,,,,,,,,,,,,,
　　注）５　施設データの平均値については、すべて少数第１位を切り捨てている。,,,,,,,,,,,,,,,,,,,,,,,
　　　　６　サンライフ秋田の利用者数は、各８施設を１日３回に分け延人数とする。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
