指定緊急避難場所一覧,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NO,施設・場所名,住所,対象とする異常な現象の種類,,,,,,,,指定避難所との重複,想定収容人数,緯度,経度
,,,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,,,,
1,旭川小学校グラウンド,秋田県秋田市手形字才ノ浜63,○,,,○,,,,,,"2,715人(2㎡あたり1人）",39.7381707,140.1321059
2,広面小学校グラウンド,秋田県秋田市広面字蟹沢29,○,,,○,,,,,,"5,715人(2㎡あたり1人）",39.72836865,140.1441636
3,東小学校グラウンド,秋田県秋田市東通2-11-1,,○,,○,,,,,,"4,590人(2㎡あたり1人）",39.715559,140.140469
4,下北手小学校グラウンド,秋田県秋田市下北手松崎字谷崎202-1,○,,,○,,,,,,"5,550人(2㎡あたり1人）",39.72036242,140.1687461
5,太平小学校グラウンド,秋田県秋田市太平目長崎字上目長崎144,,○,,○,,,,,,"3,245人(2㎡あたり1人）",39.73070414,140.1955987
6,桜小学校グラウンド,秋田県秋田市桜4-12-1,○,○,,○,,,,,,"3,560人(2㎡あたり1人）",39.70909646,140.1547246
7,城東中学校グラウンド,秋田県秋田市広面字鍋沼17,,○,,○,,,,,,"6,195人(2㎡あたり1人）",39.71619984,140.1472791
8,下北手中学校グラウンド,秋田県秋田市下北手松崎字走り崎14,○,○,,○,,,,,,"5,500人(2㎡あたり1人）",39.72372202,140.1639723
9,桜中学校グラウンド,秋田県秋田市桜台1-1-1,○,○,,○,,,,,,"6,395人(2㎡あたり1人）",39.71129274,140.1559808
10,旧山谷小学校グラウンド,秋田県秋田市太平山谷字中山谷143,○,○,,○,,,,,,"2,805人(2㎡あたり1人）",39.73205266,140.260115
11,横森地域運動広場,秋田県秋田市横森3-3,○,○,,○,,,,,,"4,170人(2㎡あたり1人）",39.7059591,140.144184
12,桜台中央公園,秋田県秋田市桜台2-5,○,○,,○,,,,,,"3,000人(2㎡あたり1人）",39.710105,140.158165
13,桜ガ丘第二街区公園,秋田県秋田市桜ガ丘3-4,○,○,,○,,,,,,"2,195人(2㎡あたり1人）",39.702826,140.153225
14,大平台もみの木公園,秋田県秋田市大平台1-14,○,○,,○,,,,,,"3,220人(2㎡あたり1人）",39.699793,140.1608911
15,平和公園,秋田県秋田市泉字五庵山135,○,,,○,,,,,,"30,000人(2㎡あたり1人）",39.7403709,140.1212314
16,秋田県立秋田高等学校陸上競技場,秋田県秋田市手形字中台1,○,○,,○,,,,,,"7,500人（2㎡あたり1人）",39.73436627,140.1345185
17,ノースアジア大学明桜高等学校グラウンド,秋田県秋田市下北手桜字守沢8-1,○,○,,○,,,,,,"16,000人（2㎡あたり1人）",39.71722068,140.1619804
18,ノースアジア大学グラウンド,秋田県秋田市下北手桜字守沢46-1,○,○,,○,,,,,,"8,000人（2㎡あたり1人）",39.71443946,140.1590407
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
