市町村コード,都道府県名,市町村名,地域,年度,初雪,終雪,最大積雪深（cm）,最大降雪深（cm）,最大降雪深記録日,累計降雪量（cm）,降雪日数（日）
052124,秋田県,大仙市,市全域,2005(平成17),2005-12-10,2006-03-31,175,48,2006-01-04,778,72
052124,秋田県,大仙市,市全域,2006(平成18）,2006-12-01,2007-03-25,40,34,2006-12-04,320,46
052124,秋田県,大仙市,市全域,2007(平成19）,2007-11-19,2008-03-10,132,35,2007-12-05,614,67
052124,秋田県,大仙市,市全域,2008(平成20）,2008-11-19,2009-03-31,93,42,2009-01-25,448,53
052124,秋田県,大仙市,市全域,2009(平成21）,2009-12-07,2010-03-28,119,43,2009-12-16,607,55
052124,秋田県,大仙市,市全域,2010(平成22）,2010-11-29,2011-03-29,186,58,2011-02-01,777,70
052124,秋田県,大仙市,市全域,2011(平成23）,2011-11-16,2012-04-08,143,50,2012-01-07,777,86
052124,秋田県,大仙市,市全域,2012(平成24）,2012-11-21,2013-04-01,211,50,2012-12-27,890,80
052124,秋田県,大仙市,市全域,2013(平成25）,2013-11-11,2014-03-22,175,55,2014-01-11,869,80
052124,秋田県,大仙市,市全域,2014(平成26）,2014-11-15,2015-03-24,119,43,2014-12-22,602,59
052124,秋田県,大仙市,市全域,2015(平成27）,2015-11-29,2016-03-26,103,40,2016-02-17,539,62
052124,秋田県,大仙市,市全域,2016(平成28）,2016-11-09,2017-03-28,96,47,2017-01-13,552,66
052124,秋田県,大仙市,市全域,2017(平成29）,2017-11-19,2018-03-23,178,45,2018-01-25,940,78
052124,秋田県,大仙市,市全域,2018(平成30）,2018-11-23,2019-04-11,86,37,2018-12-09,452,65
052124,秋田県,大仙市,市全域,2019(令和1）,2019-11-20,2020-03-24,80,39,2019-12-04,280,38
052124,秋田県,大仙市,市全域,2020(令和2）,2020-12-13,2021-03-03,166,55,2021-01-05,826,54
052124,秋田県,大仙市,市全域,2021(令和3）,2021-11-27,2022-03-21,162,38,2022-01-13,676,70
052124,秋田県,大仙市,大曲,2005(平成17),2005-12-10,2006-03-31,175,37,2006-01-23,778,72
052124,秋田県,大仙市,大曲,2006(平成18）,2006-12-01,2007-03-19,39,25,2006-12-04,303,42
052124,秋田県,大仙市,大曲,2007(平成19）,2007-11-19,2008-03-08,107,31,2007-11-23,548,65
052124,秋田県,大仙市,大曲,2008(平成20）,2008-11-19,2009-03-31,70,26,2009-01-26,364,49
052124,秋田県,大仙市,大曲,2009(平成21）,2009-12-15,2010-03-28,119,43,2009-12-16,525,52
052124,秋田県,大仙市,大曲,2010(平成22）,2010-11-29,2011-03-29,186,45,2011-02-01,751,68
052124,秋田県,大仙市,大曲,2011(平成23）,2011-11-16,2012-04-02,143,28,2012-01-08,705,80
052124,秋田県,大仙市,大曲,2012(平成24）,2012-11-21,2013-03-26,211,43,2013-02-21,836,73
052124,秋田県,大仙市,大曲,2013(平成25）,2013-11-11,2014-03-12,166,55,2014-01-11,869,70
052124,秋田県,大仙市,大曲,2014(平成26）,2014-11-15,2015-03-24,108,37,2014-12-22,506,58
052124,秋田県,大仙市,大曲,2015(平成27）,2015-11-29,2016-03-25,92,33,2016-02-17,459,54
052124,秋田県,大仙市,大曲,2016(平成28）,2016-11-10,2017-03-24,96,40,2017-01-13,552,61
052124,秋田県,大仙市,大曲,2017(平成29）,2017-11-20,2018-03-12,178,45,2018-02-13,925,73
052124,秋田県,大仙市,大曲,2018(平成30）,2018-11-30,2019-04-11,86,30,2018-12-10,427,56
052124,秋田県,大仙市,大曲,2019(令和1）,2019-11-20,2020-03-17,70,30,2020-02-06,245,34
052124,秋田県,大仙市,大曲,2020(令和2）,2020-12-14,2021-03-03,166,50,2021-01-02,826,53
052124,秋田県,大仙市,大曲,2021(令和3）,2021-12-02,2022-03-21,152,35,2022-01-29,633,60
052124,秋田県,大仙市,神岡,2005(平成17),2005-12-10,2006-03-30,158,27,2006-01-20,625,68
052124,秋田県,大仙市,神岡,2006(平成18）,2006-12-03,2007-03-21,30,26,2006-12-04,217,40
052124,秋田県,大仙市,神岡,2007(平成19）,2007-11-19,2008-03-08,90,28,2007-12-05,406,67
052124,秋田県,大仙市,神岡,2008(平成20）,2008-11-19,2009-03-28,78,37,2009-01-26,286,48
052124,秋田県,大仙市,神岡,2009(平成21）,2009-12-15,2010-03-28,85,40,2009-12-16,400,55
052124,秋田県,大仙市,神岡,2010(平成22）,2010-11-29,2011-03-28,150,36,2011-01-13,768,70
052124,秋田県,大仙市,神岡,2011(平成23）,2011-11-16,2012-04-02,125,36,2011-12-26,720,81
052124,秋田県,大仙市,神岡,2012(平成24）,2012-11-21,2013-03-21,192,42,2012-12-26,890,76
052124,秋田県,大仙市,神岡,2013(平成25）,2013-11-11,2014-03-12,144,52,2014-01-11,795,73
052124,秋田県,大仙市,神岡,2014(平成26）,2014-11-15,2015-03-24,91,43,2014-12-22,477,57
052124,秋田県,大仙市,神岡,2015(平成27）,2015-11-29,2016-03-25,78,32,2015-12-29,398,57
052124,秋田県,大仙市,神岡,2016(平成28）,2016-11-10,2017-03-24,92,40,2017-01-13,513,62
052124,秋田県,大仙市,神岡,2017(平成29）,2017-11-19,2018-03-12,144,40,2018-01-27,846,75
052124,秋田県,大仙市,神岡,2018(平成30）,2018-11-23,2019-04-11,70,25,2018-12-28,401,65
052124,秋田県,大仙市,神岡,2019(令和1）,2019-11-20,2020-03-16,80,30,2019-12-05,265,31
052124,秋田県,大仙市,神岡,2020(令和2）,2020-12-14,2021-02-27,166,50,2021-01-02,812,52
052124,秋田県,大仙市,神岡,2021(令和3）,2021-11-27,2022-03-21,162,33,2022-01-29,649,66
052124,秋田県,大仙市,西仙北,2005(平成17),2005-12-10,2006-03-31,154,46,2006-01-05,592,69
052124,秋田県,大仙市,西仙北,2006(平成18）,2006-12-02,2007-03-19,32,29,2006-12-04,242,39
052124,秋田県,大仙市,西仙北,2007(平成19）,2007-11-19,2008-03-07,87,29,2007-12-05,611,66
052124,秋田県,大仙市,西仙北,2008(平成20）,2008-11-19,2009-03-28,86,42,2009-01-25,448,45
052124,秋田県,大仙市,西仙北,2009(平成21）,2009-12-15,2010-03-18,70,42,2009-12-16,562,48
052124,秋田県,大仙市,西仙北,2010(平成22）,2010-11-29,2011-03-29,118,39,2011-02-01,777,67
052124,秋田県,大仙市,西仙北,2011(平成23）,2011-11-16,2012-04-02,119,30,2011-12-30,679,85
052124,秋田県,大仙市,西仙北,2012(平成24）,2012-11-21,2013-03-21,166,50,2012-12-27,841,77
052124,秋田県,大仙市,西仙北,2013(平成25）,2013-11-11,2014-03-14,135,43,2014-01-11,669,70
052124,秋田県,大仙市,西仙北,2014(平成26）,2014-11-15,2015-03-24,79,33,2014-12-22,435,54
052124,秋田県,大仙市,西仙北,2015(平成27）,2015-11-29,2016-03-25,52,28,2016-02-17,345,48
052124,秋田県,大仙市,西仙北,2016(平成28）,2016-11-09,2017-03-10,82,25,2017-02-12,473,62
052124,秋田県,大仙市,西仙北,2017(平成29）,2017-11-19,2018-03-21,127,40,2018-01-27,731,72
052124,秋田県,大仙市,西仙北,2018(平成30）,2018-12-08,2019-04-11,62,16,2018-12-09,320,54
052124,秋田県,大仙市,西仙北,2019(令和1）,2019-11-20,2020-03-24,56,34,2019-12-05,239,35
