市町村コード,都道府県名,市町村名,年度,歳入決算額（千円）,歳出決算額（千円）,差引（千円）
5212,秋田県,大仙市,2005(平成17),48310949,46908873,1402076
5212,秋田県,大仙市,2006(平成18）,47990368,46598669,1391699
5212,秋田県,大仙市,2007(平成19）,46916971,46070333,846638
5212,秋田県,大仙市,2008(平成20）,45280460,44258996,1021464
5212,秋田県,大仙市,2009(平成21）,48496045,47568067,927978
5212,秋田県,大仙市,2010(平成22）,50914164,49942110,972054
5212,秋田県,大仙市,2011(平成23）,48283664,47316294,967370
5212,秋田県,大仙市,2012(平成24）,46724795,45870213,854582
5212,秋田県,大仙市,2013(平成25）,53215624,52314485,901139
5212,秋田県,大仙市,2014(平成26）,49678429,48548473,1129956
5212,秋田県,大仙市,2015(平成27）,50558612,48852780,1705832
5212,秋田県,大仙市,2016(平成28）,47760474,46511188,1249286
5212,秋田県,大仙市,2017(平成29）,50297792,48748460,1549332
5212,秋田県,大仙市,2018(平成30）,49840105,48468255,1371850
5212,秋田県,大仙市,2019(令和1）,46694957,45057908,1637049
5212,秋田県,大仙市,2020(令和2）,57058965,55070103,1988862
