市町村コード,都道府県名,市町村名,路線名,道路管理者,年度,実延長合計（m）,道路実延長（m）,橋梁実延長（m）,トンネル実延長（m）,舗装道延長（m）,舗装率（%）
052124,秋田県,大仙市,国道13号・46号,国,2015(平成27）,63392,60843,2549,0,63392,100
052124,秋田県,大仙市,国道13号・46号,国,2016(平成28）,63392,60848,2544,0,63392,100
052124,秋田県,大仙市,国道13号・46号,国,2017(平成29）,63392,60848,2544,0,63392,100
052124,秋田県,大仙市,国道13号・46号,国,2018(平成30）,54885,52341,2544,0,54885,100
052124,秋田県,大仙市,国道13号・46号,国,2019(平成31）,54885,52341,2544,0,54885,100
052124,秋田県,大仙市,国道13号・46号,国,2020(令和2）,54885,52341,2544,0,54885,100
052124,秋田県,大仙市,国道13号・46号,国,2021(令和3）,54637,52021,2616,0,54637,100
052124,秋田県,大仙市,国道105号・341号,県,2015(平成27）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2016(平成28）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2017(平成29）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2018(平成30）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2019(平成31）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2020(令和2）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,国道105号・341号,県,2021(令和3）,56387,53255,2684,448,56387,100
052124,秋田県,大仙市,県道計,県,2015(平成27）,232821,224943,7464,414,230059,98.8
052124,秋田県,大仙市,県道計,県,2016(平成28）,233500,225608,7478,414,230738,98.8
052124,秋田県,大仙市,県道計,県,2017(平成29）,232679,224800,7465,414,229917,98.8
052124,秋田県,大仙市,県道計,県,2018(平成30）,231943,224433,7096,414,229181,98.8
052124,秋田県,大仙市,県道計,県,2019(平成31）,233142,225625,7103,414,230380,98.8
052124,秋田県,大仙市,県道計,県,2020(令和2）,233133,225624,7095,414,230371,98.8
052124,秋田県,大仙市,県道計,県,2021(令和3）,231283,223774,7095,414,228521,98.8
052124,秋田県,大仙市,主要地方道,県,2015(平成27）,120856,116178,4678,0,120216,99.5
052124,秋田県,大仙市,主要地方道,県,2016(平成28）,121557,116879,4678,0,120917,99.5
052124,秋田県,大仙市,主要地方道,県,2017(平成29）,121056,116391,4665,0,120416,99.5
052124,秋田県,大仙市,主要地方道,県,2018(平成30）,120320,116024,4296,0,119680,99.5
052124,秋田県,大仙市,主要地方道,県,2019(平成31）,121519,117216,4303,0,120879,99.5
052124,秋田県,大仙市,主要地方道,県,2020(令和2）,121510,117215,4295,0,120870,99.5
052124,秋田県,大仙市,主要地方道,県,2021(令和3）,119660,115365,4295,0,119020,99.5
052124,秋田県,大仙市,一般県道,県,2015(平成27）,111965,108765,2786,414,109843,98.1
052124,秋田県,大仙市,一般県道,県,2016(平成28）,111943,108729,2800,414,109821,98.1
052124,秋田県,大仙市,一般県道,県,2017(平成29）,111623,108409,2800,414,109501,98.1
052124,秋田県,大仙市,一般県道,県,2018(平成30）,111623,108409,2800,414,109501,98.1
052124,秋田県,大仙市,一般県道,県,2019(平成31）,111623,108409,2800,414,109501,98.1
052124,秋田県,大仙市,一般県道,県,2020(令和2）,111623,108409,2800,414,109501,98.1
052124,秋田県,大仙市,一般県道,県,2021(令和3）,111623,108409,2800,414,109501,98.1
