１２１　炭化水素類（HC）濃度の測定結果,,,,,,,,
,,,,,,,,
(１)光化学オキシダントの生成防止のための大気中炭化水素濃度の指針との比較,,,,,,,,
　　,,,,,,,,令和３年度
項　　　目,,,将軍野,,,山王,,
,,,非メタン,メタン,全炭化水素,非メタン,メタン,全炭化水素
測　　　定　　　時　　　間（時間)　　,,,"8,639 ","8,639 ","8,639 ","8,637 ","8,637 ","8,637 "
年　　　平　　　均　　　値（ppmC),,,0.08 ,2.02 ,2.10 ,0.09 ,2.01 ,2.10 
６ ～ ９時における年平均値（ppmC),,,0.09 ,2.02 ,2.10 ,0.09 ,2.02 ,2.11 
６ ～ ９時　測　定　日　数（日),,,363 ,363 ,363 ,364 ,364 ,364 
６～９時３時間平均値の,,,,,,,,
最　　　 高　　 　値（ppmC),,,0.41 ,2.37 ,2.79 ,1.89 ,2.41 ,3.98 
最　　　 低　 　　値（ppmC),,,0.03 ,1.87 ,1.95 ,0.01 ,1.90 ,1.99 
６～９時３時間平均値が,,,,,,,,
　　0.20ppmCを超えた日数（日),,,9 ,-,-,15 ,-,-
　　そ　　の　　割　　合（％),,,2.5 ,-,-,4.1 ,-,-
0.31ppmCを超えた日数（日),,,2 ,-,-,4 ,-,-
そ　　の　　割　　合（％),,,0.6 ,-,-,1.1 ,-,-
,,,,,,,,
(２)非メタンの６～９時における年平均値および指針値を超えた日数の推移,,,,,,,,
    ,,,,,,各年度間,,
年　　度,将軍野,,,山王,,,,
,"年平均値
(ppmC)",指針を超えた日数（日）,,"年平均値
(ppmC)",指針を超えた日数（日）,,,
,,0.20ppmC,0.31ppmC,,0.20ppmC,0.31ppmC,,
平成24年度,0.10 ,18 ,13 ,-,-,-,,
25,0.11 ,59 ,28 ,-,-,-,,
26,0.07 ,7 ,0 ,-,-,-,,
27,0.08 ,23 ,4 ,-,-,-,,
28,0.10 ,6 ,2 ,-,-,-,,
29,0.08 ,6 ,1 ,-,-,-,,
30,0.09 ,17 ,6 ,-,-,-,,
令和元年度,0.08 ,6 ,2 ,-,-,-,,
２,0.09 ,10 ,5 ,0.10 ,24 ,13 ,,
３,0.09 ,9 ,2 ,0.09 ,15 ,4 ,,
　資料　秋田市環境保全課,,,,,,,,
　　注）１　ガスクロマトグラフ直接法による測定。,,,,,,,,
　　　　２　光化学オキシダントの生成防止のための大気中炭化水素濃度の指針値：６～９時の非メタン炭化水素の３時間平均値が,,,,,,,,
　　　　　　0.20～0.31ppmC（炭素換算量）の範囲又はそれ以下であること。,,,,,,,,
