市町村コード,都道府県名,市区町村名,年度,内訳,全域(人),大曲(人),神岡(人),西仙北(人),中仙(人),協和(人),南外(人),仙北(人),太田(人),,,,,,,,
052124,秋田県,大仙市,平成17年,計,79672,31840,4968,8915,9703,7346,3872,6715,6313,,,,,,,,
052124,秋田県,大仙市,平成17年,男,37229,14791,2243,4206,4571,3461,1835,3153,2969,,,,,,,,
052124,秋田県,大仙市,平成17年,女,42443,17049,2725,4709,5132,3885,2037,3562,3344,,,,,,,,
052124,秋田県,大仙市,平成18年,計,79250,31700,4943,8868,9652,7264,3847,6688,6288,,,,,,,,
052124,秋田県,大仙市,平成18年,男,36942,14705,2232,4180,4537,3391,1816,3134,2947,,,,,,,,
052124,秋田県,大仙市,平成18年,女,42308,16995,2711,4688,5115,3873,2031,3554,3341,,,,,,,,
052124,秋田県,大仙市,平成19年,計,78710,31657,4925,8742,9557,7167,3772,6680,6210,,,,,,,,
052124,秋田県,大仙市,平成19年,男,36687,14715,2229,4116,4471,3346,1777,3131,2902,,,,,,,,
052124,秋田県,大仙市,平成19年,女,42023,16942,2696,4626,5086,3821,1995,3549,3308,,,,,,,,
052124,秋田県,大仙市,平成20年,計,78080,31501,4893,8608,9476,7089,3727,6613,6173,,,,,,,,
052124,秋田県,大仙市,平成20年,男,36372,14639,2221,4037,4435,3322,1750,3092,2876,,,,,,,,
052124,秋田県,大仙市,平成20年,女,41708,16862,2672,4571,5041,3767,1977,3521,3297,,,,,,,,
052124,秋田県,大仙市,平成21年,計,77624,31422,4904,8523,9376,6990,3680,6581,6128,,,,,,,,
052124,秋田県,大仙市,平成21年,男,36077,14564,2213,3989,4392,3278,1727,3078,2836,,,,,,,,
052124,秋田県,大仙市,平成21年,女,41547,16878,2691,4534,4984,3712,1953,3503,3292,,,,,,,,
052124,秋田県,大仙市,平成22年,計,77032,31334,4891,8399,9272,6889,3624,6562,6061,,,,,,,,
052124,秋田県,大仙市,平成22年,男,35773,14501,2202,3926,4358,3235,1701,3053,2797,,,,,,,,
052124,秋田県,大仙市,平成22年,女,41259,16833,2689,4473,4914,3654,1923,3509,3264,,,,,,,,
052124,秋田県,大仙市,平成23年,計,76486,31313,4864,8270,9160,6781,3595,6526,5977,,,,,,,,
052124,秋田県,大仙市,平成23年,男,35474,14453,2190,3868,4297,3177,1689,3029,2771,,,,,,,,
052124,秋田県,大仙市,平成23年,女,41012,16860,2674,4402,4863,3604,1906,3497,3206,,,,,,,,
052124,秋田県,大仙市,平成24年,計,75670,31180,4807,8139,9022,6636,3516,6460,5910,,,,,,,,
052124,秋田県,大仙市,平成24年,男,35066,14393,2160,3803,4234,3105,1647,2984,2740,,,,,,,,
052124,秋田県,大仙市,平成24年,女,40604,16787,2647,4336,4788,3531,1869,3476,3170,,,,,,,,
052124,秋田県,大仙市,平成25年,計,74798,31094,4735,8042,8910,6494,3426,6287,5810,,,,,,,,
052124,秋田県,大仙市,平成25年,男,34610,14329,2131,3751,4178,3021,1597,2910,2693,,,,,,,,
052124,秋田県,大仙市,平成25年,女,40188,16765,2604,4291,4732,3473,1829,3377,3117,,,,,,,,
052124,秋田県,大仙市,平成26年,計,74171,31059,4694,7901,8780,6376,3371,6240,5750,,,,,,,,
052124,秋田県,大仙市,平成26年,男,34299,14313,2128,3678,4114,2948,1573,2886,2659,,,,,,,,
052124,秋田県,大仙市,平成26年,女,39872,16746,2566,4223,4666,3428,1798,3354,3091,,,,,,,,
052124,秋田県,大仙市,平成27年,計,73295,30901,4648,7737,8604,6245,3344,6175,5641,,,,,,,,
052124,秋田県,大仙市,平成27年,男,33873,14242,2110,3593,4020,2892,1559,2855,2602,,,,,,,,
052124,秋田県,大仙市,平成27年,女,39422,16659,2538,4144,4584,3353,1785,3320,3039,,,,,,,,
052124,秋田県,大仙市,平成28年,計,73703,31286,4664,7720,8605,6200,3326,6234,5668,,,,,,,,
052124,秋田県,大仙市,平成28年,男,34093,14373,2137,3588,4045,2877,1553,2890,2630,,,,,,,,
052124,秋田県,大仙市,平成28年,女,39610,16913,2527,4132,4560,3323,1773,3344,3038,,,,,,,,
