１３８　乳幼児健康診査の受診状況,,,,,,,,
,,,,,,,,
（１）４か月児,,,,,（２）７か月児,,,
,,,各年度間　単位：人、％,,,,,各年度間　単位：人、％
年度,対象者,受診者,受診率,,年度,対象者,受診者,受診率
平成24年度,"2,288 ","2,228 ",97.4 ,,平成24年度,"2,225 ","2,158 ",97.0 
25,"2,235 ","2,215 ",99.1 ,,25,"2,265 ","2,205 ",97.4 
26,"2,286 ","2,223 ",97.2 ,,26,"2,269 ","2,215 ",97.6 
27,"2,150 ","2,135 ",99.3 ,,27,"2,263 ","2,191 ",96.8 
28,"2,098 ","2,040 ",97.2 ,,28,"2,070 ","2,045 ",98.8 
29,"2,001 ","1,949 ",97.4 ,,29,"2,008 ","1,944 ",96.8 
30,"1,890 ","1,863 ",98.6 ,,30,"1,921 ","1,860 ",96.8 
令和元年度,"1,816 ","1,784 ",98.2 ,,令和元年度,"1,838 ","1,801 ",98.0 
２,"1,761 ","1,738 ",98.7 ,,２,"1,767 ","1,754 ",99.3 
３,"1,740 ","1,683 ",96.7 ,,３,"1,725 ","1,683 ",97.6 
,,,,,,,,
（３）10か月児,,,,,（４）１歳６か月児,,,
,,,各年度間　単位：人、％,,,,,各年度間　単位：人、％
年度,対象者,受診者,受診率,,年度,対象者,受診者,受診率
平成24年度,"2,272 ","2,127 ",93.6 ,,平成24年度,"2,358 ","2,265 ",96.1 
25,"2,255 ","2,173 ",96.4 ,,25,"2,256 ","2,212 ",98.0 
26,"2,253 ","2,164 ",96.0 ,,26,"2,271 ","2,201 ",96.9 
27,"2,277 ","2,169 ",95.3 ,,27,"2,233 ","2,176 ",97.4 
28,"2,162 ","2,074 ",95.9 ,,28,"2,263 ","2,216 ",97.9 
29,"1,958 ","1,880 ",96.0 ,,29,"2,062 ","2,001 ",97.0 
30,"1,930 ","1,851 ",95.9 ,,30,"2,010 ","1,980 ",98.5 
令和元年度,"1,904 ","1,815 ",95.3 ,,令和元年度,"1,735 ","1,714 ",98.8 
２,"1,787 ","1,733 ",97.0 ,,２,"1,628 ","1,491 ",91.6 
３,"1,752 ","1,659 ",94.7 ,,３,"2,289 ","2,071 ",90.5 
,,,,,,,,
（５）３歳児,,,,,（６）２歳児歯科,,,
,,,各年度間　単位：人、％,,,,,各年度間　単位：人、％
年度,対象者,受診者,受診率,,年度,対象者,受診者,受診率
平成24年度,"2,455 ","2,333 ",95.0 ,,平成24年度,"2,357 ","1,761 ",74.7 
25,"2,399 ","2,306 ",96.1 ,,25,"2,320 ","1,682 ",72.5 
26,"2,369 ","2,267 ",95.7 ,,26,"2,302 ","1,659 ",72.1 
27,"2,275 ","2,197 ",96.6 ,,27,"2,219 ","1,603 ",72.2 
28,"2,312 ","2,230 ",96.5 ,,28,"2,253 ","1,563 ",69.4 
29,"2,234 ","2,150 ",96.2 ,,29,"2,157 ","1,533 ",71.1 
30,"2,207 ","2,167 ",98.2 ,,30,"2,079 ","1,499 ",72.1 
令和元年度,"1,926 ","1,843 ",95.7 ,,令和元年度,"2,036 ","1,684 ",82.7 
２,"1,755 ","1,490 ",84.9 ,,２,"2,006 ","1,550 ",77.3 
３,"2,503 ","2,185 ",87.3 ,,３,"1,848 ","1,499 ",81.1 
　資料　子ども健康課,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
