４４　主 要 文 化 施 設 の 利 用 状 況 （Ⅰ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,各年度末現在、各年度間,,,,,,,,,
年度,公民館（全数分 ）,,,,,,,中央市民サービスセンター,,,,北部市民サービスセンター,,,,西部市民サービスセンター,,,,,,,,,,,,
,施設数,"平均開館
日数
（日）",　　　　　　　利用回数（回）,,利 用 者 数 （人）,,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,,,,,,,,,
,,,総数,１館平均,総数,１館平均,"１館平均
（１日）",,,総数,1日平均,,,総数,1日平均,,,総数,1日平均,,,,,,,,,
平成24年度,8 ,357 ,"29,797 ","3,725 ","418,321 ","52,290 ",147 ,344 ,"4,492 ","73,774 ",215 ,357 ,"8,267 ","104,021 ",291 ,357 ,"5,928 ","79,961 ",224 ,,,,,,,,,
25,8 ,357 ,"30,426 ","3,803 ","407,212 ","50,902 ",143 ,347 ,"4,141 ","67,090 ",194 ,357 ,"8,505 ","101,247 ",284 ,357 ,"6,033 ","83,171 ",233 ,,,,,,,,,
26,8 ,355 ,"29,567 ","3,696 ","388,236 ","48,530 ",137 ,330 ,"4,021 ","62,599 ",190 ,357 ,"8,356 ","103,674 ",290 ,357 ,"5,785 ","77,356 ",217 ,,,,,,,,,
27,8 ,355 ,"30,617 ","3,827 ","406,718 ","50,840 ",143 ,348 ,"4,102 ","74,292 ",213 ,358 ,"8,585 ","104,689 ",292 ,358 ,"6,028 ","76,977 ",215 ,,,,,,,,,
28,8 ,356 ,"38,865 ","4,858 ","444,477 ","55,560 ",156 ,345 ,"7,546 ","81,209 ",235 ,357 ,"8,745 ","104,670 ",293 ,357 ,"5,926 ","74,198 ",208 ,,,,,,,,,
29,8 ,358 ,"39,015 ","4,877 ","447,725 ","55,966 ",156 ,359 ,"9,505 ","100,976 ",281 ,357 ,"8,341 ","106,522 ",298 ,357 ,"5,943 ","74,997 ",210 ,,,,,,,,,
30,9 ,348 ,"43,023 ","4,780 ","477,897 ","53,100 ",153 ,358 ,"9,850 ","109,505 ",306 ,357 ,"8,429 ","103,395 ",290 ,357 ,"5,613 ","70,340 ",197 ,,,,,,,,,
令和元年度,9 ,359 ,"43,249 ","4,805 ","477,771 ","53,086 ",148 ,359 ,"9,945 ","109,900 ",306 ,357 ,"8,241 ","97,282 ",272 ,358 ,"4,916 ","57,721 ",161 ,,,,,,,,,
２,9 ,330 ,"32,980 ","3,664 ","298,474 ","33,164 ",101 ,331 ,"7,619 ","68,689 ",208 ,329 ,"5,318 ","40,704 ",124 ,330 ,"4,189 ","44,082 ",134 ,,,,,,,,,
３,9 ,354 ,"27,679 ","3,075 ","286,250 ","31,806 ",90 ,359 ,"6,052 ","53,959 ",150 ,357 ,"5,965 ","76,992 ",216 ,357 ,"3,593 ","33,667 ",94 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,東部市民サービスセンター,,,,南部市民サービスセンター,,,,南部市民サービスセンター別館,,,,下新城交流センター,,,,河辺市民サービスセンター,,,,,,,,,,,
,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,"開館日数
(日)","利用回数
(回)",利用者数（人）,,,,,,,,,
,,,総数,1日平均,,,総数,1日平均,,,総数,1日平均,,,総数,1日平均,,,総数,1日平均,,,,,,,,
平成24年度,359 ,"3,123 ","49,620 ",138 ,359 ,"3,525 ","50,590 ",141 ,,,,,359 ,"1,856 ","27,697 ",77 ,359 ,"1,571 ","16,891 ",47 ,,,,,,,,
25,359 ,"3,660 ","45,323 ",126 ,359 ,"3,464 ","52,154 ",145 ,,,,,359 ,"1,799 ","25,666 ",71 ,359 ,"1,753 ","18,481 ",51 ,,,,,,,,
26,359 ,"3,630 ","41,986 ",117 ,359 ,"3,347 ","47,184 ",131 ,,,,,359 ,"1,722 ","23,732 ",66 ,359 ,"1,722 ","17,193 ",48 ,,,,,,,,
27,336 ,"4,196 ","48,163 ",143 ,360 ,"3,209 ","48,328 ",134 ,,,,,360 ,"1,787 ","24,050 ",66 ,360 ,"1,737 ","15,467 ",43 ,,,,,,,,
28,357 ,"5,970 ","64,574 ",181 ,357 ,"6,263 ","68,907 ",193 ,,,,,359 ,"1,844 ","22,526 ",63 ,359 ,"1,562 ","14,632 ",41 ,,,,,,,,
29,356 ,"6,383 ","66,296 ",186 ,357 ,"5,302 ","59,760 ",167 ,,,,,359 ,"1,064 ","12,510 ",35 ,359 ,"1,495 ","13,420 ",37 ,,,,,,,,
