市町村コード,都道府県名,市町村名,地域,年,1月（人）,2月（人）,3月（人）,4月（人）,5月（人）,6月（人）,7月（人）,8月（人）,9月（人）,10月（人）,11月（人）,12月（人）,計（人）
052124,秋田県,大仙市,市全域,2005（平成17）,124,146,158,164,252,184,205,"1,003",198,302,153,108,"3,014"
052124,秋田県,大仙市,市全域,2006（平成18）,127,125,132,140,201,163,163,"1,028",177,367,136,90,"2,864"
052124,秋田県,大仙市,市全域,2007（平成19）,120,115,125,158,190,179,156,"1,012",183,290,120,83,"2,744"
052124,秋田県,大仙市,市全域,2008（平成20）,126,124,134,144,154,159,149,913,163,272,126,85,"2,549"
052124,秋田県,大仙市,市全域,2009（平成21）,127,115,135,135,158,157,144,943,163,265,125,83,"2,550"
052124,秋田県,大仙市,市全域,2010（平成22）,125,124,133,121,179,146,146,"1,045",157,230,129,83,"2,618"
052124,秋田県,大仙市,市全域,2011（平成23）,113,113,70,117,155,140,150,930,152,206,130,79,"2,355"
052124,秋田県,大仙市,市全域,2012（平成24）,120,107,123,109,159,149,139,"1,061",154,203,115,79,"2,518"
052124,秋田県,大仙市,市全域,2013（平成25）,114,113,145,111,185,153,137,"1,089",176,205,130,82,"2,640"
052124,秋田県,大仙市,市全域,2014（平成26）,114,113,145,111,185,153,137,"1,089",176,205,130,76,"2,615"
052124,秋田県,大仙市,市全域,2015（平成27）,112,116,151,127,161,149,146,"1,028",190,243,125,77,"2,631"
052124,秋田県,大仙市,市全域,2016（平成28）,113,133,128,176,156,144,146,"1,055",163,245,129,80,"2,668"
052124,秋田県,大仙市,市全域,2017（平成29）,109,108,128,220,156,146,139,"1,081",152,348,111,77,"2,782"
052124,秋田県,大仙市,市全域,2018（平成30）,108,100,123,129,178,140,135,"1,079",165,250,117,98,"2,625"
052124,秋田県,大仙市,市全域,2019（平成31）,112,116,109,145,198,161,144,"1,045",164,196,118,86,"2,598"
052124,秋田県,大仙市,市全域,2020（令和2）,89,95,76,48,57,96,109,112,121,145,107,75,"1,134"
052124,秋田県,大仙市,市全域,2021（令和3）,89,84,76,99,102,117,106,104,103,123,97,75,"1,180"
052124,秋田県,大仙市,大曲地域,2005（平成17）,16,21,37,15,28,28,31,727,19,92,13,4,"1,036"
052124,秋田県,大仙市,大曲地域,2006（平成18）,14,21,37,14,26,28,19,802,20,180,14,4,"1,183"
052124,秋田県,大仙市,大曲地域,2007（平成19）,10,16,36,16,24,31,19,808,25,103,11,5,"1,109"
052124,秋田県,大仙市,大曲地域,2008（平成20）,11,14,40,13,21,35,22,691,16,98,15,6,982
052124,秋田県,大仙市,大曲地域,2009（平成21）,12,13,38,13,20,35,20,724,18,95,14,7,"1,009"
052124,秋田県,大仙市,大曲地域,2010（平成22）,13,17,40,11,20,28,19,844,16,66,20,5,"1,099"
052124,秋田県,大仙市,大曲地域,2011（平成23）,12,11,4,33,18,24,20,735,16,54,11,3,941
052124,秋田県,大仙市,大曲地域,2012（平成24）,10,8,34,10,18,27,22,877,13,55,9,4,"1,087"
052124,秋田県,大仙市,大曲地域,2013（平成25）,13,11,36,7,19,28,20,890,16,61,15,4,"1,120"
052124,秋田県,大仙市,大曲地域,2014（平成26）,11,10,38,9,19,26,23,844,18,92,13,2,"1,105"
052124,秋田県,大仙市,大曲地域,2015（平成27）,12,10,40,8,19,23,22,826,19,96,16,3,"1,100"
052124,秋田県,大仙市,大曲地域,2016（平成28）,8,8,34,42,17,24,21,861,17,91,11,4,"1,138"
052124,秋田県,大仙市,大曲地域,2017（平成29）,9,10,38,91,14,34,17,881,15,205,7,2,"1,326"
052124,秋田県,大仙市,大曲地域,2018（平成30）,12,8,37,8,48,25,16,896,19,112,13,5,"1,205"
052124,秋田県,大仙市,大曲地域,2019（平成31）,11,13,17,14,57,36,22,892,17,70,12,5,"1,172"
052124,秋田県,大仙市,大曲地域,2020（令和2）,6,9,5,3,5,17,14,11,15,28,8,3,129
052124,秋田県,大仙市,大曲地域,2021（令和3）,7,6,4,7,10,32,13,10,13,17,9,4,138
052124,秋田県,大仙市,神岡地域,2005（平成17）,24,20,22,24,30,28,29,33,36,30,25,22,330
052124,秋田県,大仙市,神岡地域,2006（平成18）,26,21,21,25,32,30,27,33,40,30,25,20,334
052124,秋田県,大仙市,神岡地域,2007（平成19）,23,21,24,25,30,28,27,32,38,26,22,19,321
052124,秋田県,大仙市,神岡地域,2008（平成20）,20,20,22,23,28,28,25,32,40,26,24,18,306
052124,秋田県,大仙市,神岡地域,2009（平成21）,21,19,23,22,28,27,24,30,36,27,21,16,294
052124,秋田県,大仙市,神岡地域,2010（平成22）,19,18,20,21,28,23,22,28,34,24,21,16,274
052124,秋田県,大仙市,神岡地域,2011（平成23）,16,17,13,18,25,22,23,27,34,26,21,16,258
052124,秋田県,大仙市,神岡地域,2012（平成24）,17,17,20,21,25,22,21,24,34,29,17,12,259
052124,秋田県,大仙市,神岡地域,2013（平成25）,13,14,37,20,24,19,17,24,46,23,17,13,267
052124,秋田県,大仙市,神岡地域,2014（平成26）,13,14,18,19,24,19,19,26,50,24,17,11,254
052124,秋田県,大仙市,神岡地域,2015（平成27）,12,14,37,19,22,19,18,24,49,22,16,13,270
052124,秋田県,大仙市,神岡地域,2016（平成28）,14,31,18,19,24,21,20,22,32,24,33,16,274
052124,秋田県,大仙市,神岡地域,2017（平成29）,16,14,18,18,23,21,17,22,32,21,27,15,249
052124,秋田県,大仙市,神岡地域,2018（平成30）,15,14,17,18,24,25,19,24,38,21,18,26,265
052124,秋田県,大仙市,神岡地域,2019（平成31）,15,15,17,20,23,21,21,24,38,21,19,17,256
052124,秋田県,大仙市,神岡地域,2020（令和2）,16,15,14,8,9,17,18,18,19,20,17,14,193
052124,秋田県,大仙市,神岡地域,2021（令和3）,13,14,16,15,17,18,17,18,19,19,18,16,206
052124,秋田県,大仙市,西仙北地域,2005（平成17）,12,17,14,12,14,13,13,19,12,13,10,7,160
052124,秋田県,大仙市,西仙北地域,2006（平成18）,9,13,13,11,10,11,12,19,12,13,11,9,149
052124,秋田県,大仙市,西仙北地域,2007（平成19）,11,15,10,12,11,10,10,17,10,10,8,8,139
052124,秋田県,大仙市,西仙北地域,2008（平成20）,8,15,10,10,12,10,10,17,9,9,9,9,128
052124,秋田県,大仙市,西仙北地域,2009（平成21）,10,14,6,13,11,11,10,19,11,9,10,9,133
