１５０　身体障害者手帳の交付状況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,各年度末現在　単位：人,,,,,,,
年度・級種,総数,,,０～17歳,18～59歳,60歳以上,,,,,,,
,総数,男,女,,,,,,,,,,
平成24年度,"14,258 ","6,573 ","7,685 ",227 ,"2,337 ","11,694 ",,,,,,,
25,"14,196 ","6,528 ","7,668 ",225 ,"2,358 ","11,613 ",,,,,,,
26,"14,250 ","6,429 ","7,821 ",216 ,"2,424 ","11,610 ",,,,,,,
27,"13,946 ","6,300 ","7,646 ",221 ,"2,208 ","11,517 ",,,,,,,
28,"13,782 ","6,222 ","7,560 ",220 ,"2,185 ","11,377 ",,,,,,,
29,"13,678 ","6,155 ","7,523 ",212 ,"2,122 ","11,344 ",,,,,,,
30,"13,741 ","6,209 ","7,532 ",202 ,"2,107 ","11,432 ",,,,,,,
令和元年度,"13,729 ","6,239 ","7,490 ",196 ,"2,076 ","11,457 ",,,,,,,
２,"13,716 ","6,266 ","7,450 ",202 ,"2,064 ","11,450 ",,,,,,,
３,"13,793 ","6,325 ","7,468 ",203 ,"2,058 ","11,532 ",,,,,,,
,,,,,,,,,,,,,
肢体不自由,,,,,,,,,,,,,
１級,"1,286 ",623 ,663 ,31 ,296 ,959 ,,,,,,,
２,"1,480 ",737 ,743 ,64 ,282 ,"1,134 ",,,,,,,
３,"1,526 ",489 ,"1,037 ",5 ,181 ,"1,340 ",,,,,,,
４,"1,714 ",482 ,"1,232 ",4 ,145 ,"1,565 ",,,,,,,
５,727 ,291 ,436 , - ,138 ,589 ,,,,,,,
６,364 ,177 ,187 ,5 ,84 ,275 ,,,,,,,
,,,,,,,,,,,,,
視覚障害,,,,,,,,,,,,,
１級,267 ,131 ,136 ,3 ,49 ,215 ,,,,,,,
２,236 ,117 ,119 ,2 ,42 ,192 ,,,,,,,
３,59 ,20 ,39 ,1 ,9 ,49 ,,,,,,,
４,64 ,26 ,38 ,1 ,11 ,52 ,,,,,,,
５,102 ,65 ,37 ,2 ,23 ,77 ,,,,,,,
６,54 ,22 ,32 ,1 ,5 ,48 ,,,,,,,
,,,,,,,,,,,,,
聴覚・平衡機能障害,,,,,,,,,,,,,
１級,80 ,40 ,40 , - ,22 ,58 ,,,,,,,
２,225 ,109 ,116 ,12 ,67 ,146 ,,,,,,,
３,143 ,53 ,90 ,6 ,22 ,115 ,,,,,,,
４,322 ,122 ,200 , - ,33 ,289 ,,,,,,,
５,10 ,4 ,6 , - ,2 ,8 ,,,,,,,
６,423 ,155 ,268 ,8 ,22 ,393 ,,,,,,,
,,,,,,,,,,,,,
音声言語そしゃく機能障害,,,,,,,,,,,,,
１級,3 ,2 ,1 , - ,2 ,1 ,,,,,,,
２,8 ,6 ,2 , - ,2 ,6 ,,,,,,,
３,116 ,84 , 32 , 1 ,11 ,104 ,,,,,,,
４,78 ,51 ,27 , - ,19 ,59 ,,,,,,,
５, - , - , - , - , - , - ,,,,,,,
６, - , - , - , - , - , - ,,,,,,,
,,,,,,,,,,,,,
内部障害,,,,,,,,,,,,,
１級,"2,814 ","1,537 ","1,277 ",31 ,378 ,"2,405 ",,,,,,,
２,55 ,28 ,27 ,1 ,13 ,41 ,,,,,,,
３,826 ,482 ,344 ,9 ,97 ,720 ,,,,,,,
４,811 ,472 ,339 ,16 ,103 ,692 ,,,,,,,
５, - , - , - , - , - , - ,,,,,,,
６, - , - , - , - , - , - ,,,,,,,
　資料　秋田市障がい福祉課,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
