地域コード,都道府県名,市町村名,年度,学校数（校）,学級数_総数（学級）,学級数_単式（学級）,学級数_複式（学級）,学級数_特別支援（学級）,児童数_総数（人）,児童数_男（人）,児童数_女（人）,教員数_本務_総数（人）,教員数_本務_男（人）,教員数_本務_女（人）
052124,秋田県,大仙市,2005(平成17),31,245,213,5,27,4803,2448,2355,397,153,244
052124,秋田県,大仙市,2006(平成18),31,245,212,5,28,4647,2366,2281,397,156,241
052124,秋田県,大仙市,2007(平成19),31,243,207,6,30,4423,2271,2152,392,148,244
052124,秋田県,大仙市,2008(平成20),26,221,189,2,30,4304,2209,2095,355,137,218
052124,秋田県,大仙市,2009(平成21),26,222,189,2,31,4188,2150,2038,354,138,216
052124,秋田県,大仙市,2010(平成22),26,224,185,3,36,4056,2118,1938,350,143,207
052124,秋田県,大仙市,2011(平成23),26,227,188,2,37,3975,2076,1899,351,139,212
052124,秋田県,大仙市,2012(平成24),21,195,164,0,31,3855,2004,1851,305,119,186
052124,秋田県,大仙市,2013(平成25),21,199,170,0,29,3831,1966,1865,304,125,179
052124,秋田県,大仙市,2014(平成26),21,200,166,1,33,3786,1927,1859,307,129,178
052124,秋田県,大仙市,2015(平成27),21,203,168,1,34,3704,1886,1818,308,130,178
052124,秋田県,大仙市,2016(平成28),21,206,164,1,41,3663,1853,1810,312,139,173
052124,秋田県,大仙市,2017(平成29),21,207,163,2,42,3592,1790,1802,314,142,172
052124,秋田県,大仙市,2018(平成30),21,202,156,4,42,3506,1764,1742,315,141,174
052124,秋田県,大仙市,2019(令和1),21,207,155,4,48,3385,1721,1664,322,140,182
052124,秋田県,大仙市,2020(令和2),21,199,148,5,46,3280,1689,1591,308,128,180
052124,秋田県,大仙市,2021(令和3),20,194,147,3,44,3165,1637,1528,301,115,186
052124,秋田県,大仙市,2022(令和4),20,190,145,4,41,3104,1591,1513,296,113,183
