１７６　一般会計歳入当初予算および決算,,,,,,,,
,,,,,,,,
,,,,,,,単位：千円、％　,
科目,令和２年度,,,３,,,４,
,当初予算額,決算額,構成比,当初予算額,決算額,構成比,当初予算額,
総額,"139,600,000 ","181,026,078 ",100.0 ,"136,850,000 ","161,334,760 ",100.0 ,"137,870,000 ",
市　　　　　税,"42,556,233 ","42,661,734 ",23.6 ,"40,301,980 ","42,810,036 ",26.5 ,"44,354,122 ",
地 方 譲 与 税,"1,089,246 ","1,010,618 ",0.6 ,"992,938 ","1,057,022 ",0.7 ,"1,091,858 ",
利子割交付金,"32,497 ","32,839 ",0.0 ,"15,956 ","24,957 ",0.0 ,"21,034 ",
配当割交付金,"110,578 ","78,735 ",0.0 ,"76,643 ","122,606 ",0.1 ,"86,226 ",
株式等譲渡所得割交付金,"96,165 ","106,222 ",0.1 ,"52,684 ","169,273 ",0.1 ,"52,684 ",
法人事業税交付金," 461,719 ","435,873 ",0.2 ,"550,724 ","732,726 ",0.5 ,"702,480 ",
地方消費税交付金,"7,986,263 ","7,244,010 ",4.0 ,"7,380,228 ","7,881,152 ",4.9 ,"8,908,930 ",
ゴルフ場利用税交付金,"56,818 ","49,250 ",0.0 ,"46,837 ","53,349 ",0.0 ,"52,470 ",
特別地方消費税交付金, － , － , － , － , － , － , － ,
自動車取得税交付金, － , － , － , － , － , － , － ,
環境性能割交付金,"65,846 ","47,995 ",0.0 ,"58,513 ","46,425 ",0.0 ,"64,606 ",
"国有提供施設等
所在市助成交付金","3,739 ","3,380 ",0.0 ,"3,380 ","3,042 ",0.0 ,"3,042 ",
地方特例交付金,"316,457 ","334,947 ",0.2 ,"511,500 ","730,725 ",0.5 ,"462,939 ",
地 方 交 付 税,"21,217,000 ","21,193,836 ",11.7 ,"20,740,000 ","23,451,860 ",14.5 ,"21,155,000 ",
交通安全対策特別交付金,"68,500 ","63,506 ",0.0 ,"63,000 ","61,103 ",0.0 ,"63,000 ",
分担金及び負担金,"660,413 ","643,356 ",0.4 ,"484,560 ","490,537 ",0.3 ,"471,339 ",
使用料及び手数料,"2,398,027 ","2,245,663 ",1.2 ,"2,377,704 ","2,231,426 ",1.4 ,"2,316,936 ",
国 庫 支 出 金,"23,075,255 ","61,404,672 ",33.9 ,"23,343,772 ","37,373,732 ",23.2 ,"24,274,483 ",
県　支　出　金,"10,226,808 ","9,537,853 ",5.3 ,"10,227,769 ","11,292,299 ",7.0 ,"9,855,330 ",
財　産　収　入,"217,176 ","236,653 ",0.1 ,"186,552 ","488,474 ",0.3 ,"372,493 ",
寄　　附　　金,"265,559 ","471,824 ",0.3 ,"473,853 ","594,072 ",0.4 ,"802,895 ",
繰　　入　　金,"4,177,804 ","4,046,775 ",2.2 ,"3,453,256 ","3,197,903 ",2.0 ,"3,392,917 ",
繰　　越　　金,"700,000 ","2,319,037 ",1.3 ,"700,000 ","2,777,211 ",1.7 ,"700,000 ",
諸　　収　　入,"9,483,997 ","9,217,671 ",5.1 ,"8,259,951 ","8,096,430 ",5.0 ,"8,310,516 ",
市　　　　　債,"14,333,900 ","17,639,629 ",9.8 ,"16,548,200 ","17,648,400 ",10.9 ,"10,354,700 ",
　資料　秋田市財政課,,,,,,,,
　　注）１　法人事業税交付金は令和２年度当初予算から新設,,,,,,,,
　　　　２　自動車取得税交付金は令和２年度当初予算から廃止,,,,,,,,
