４４　主要文化施設の利用状況（ Ⅴ ）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,各年度末現在、各年度間,,,,,,,,,,,
年　度,秋田県立図書館,,,,,,,,,,,,,,,,,,,
,"蔵書数
（冊）",開館日数(日),入館者数（人）,登録者数（人）,資料利用,,,,"調査相談
(レファレンス)",,,,,,,,,,,
,,,,,利用資料数(冊),,利用者数(人),,,,,,,,,,,,,
,,,,,館外携出,,館外携出,,,,,,,,,,,,,
平成24年度,"804,816 ",330 ,"454,820 ","3,288 ",,"390,081 ",,"105,516 ","25,364 ",,,,,,,,,,,
25,"819,797 ",334 ,"450,106 ","3,024 ",,"385,100 ",,"107,275 ","26,582 ",,,,,,,,,,,
26,"839,368 ",334 ,"438,108 ","2,804 ",,"390,570 ",,"108,715 ","25,270 ",,,,,,,,,,,
27,"859,468 ",332 ,"421,547 ","2,766 ",,"405,612 ",,"111,492 ","28,309 ",,,,,,,,,,,
28,"879,064 ",329 ,"425,540 ","2,616 ",,"395,030 ",,"108,676 ","24,733 ",,,,,,,,,,,
29,"900,637 ",328 ,"411,465 ","2,277 ",,"419,109 ",,"107,417 ","26,661 ",,,,,,,,,,,
30,"920,320 ",321 ,"399,099 ","2,222 ",,"425,766 ",,"104,486 ","24,714 ",,,,,,,,,,,
令和元年度,"941,933 ",274 ,"371,130 ","2,067 ",,"382,219 ",,"94,715 ","22,805 ",,,,,,,,,,,
２,"961,642 ",285 ,"262,998 ","2,207 ",,"371,333 ",,"88,554 ","19,121 ",,,,,,,,,,,
３,"984,858 ",295 ,"316,745 ","2,304 ",,"397,849 ",,"96,910 ","20,788 ",,,,,,,,,,,
　資料　秋田県教育庁生涯学習課,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年度,秋田県立美術館,,,,,,秋田県生涯学習センター ,,,,,,,,,,,,,
,"美術ホール
（貸展示室）",,美術展示室,,,,開館日数(日),"利用団体数
（団体）",利用者数(人),,,,,,,,,,,
,"開館日数
（日）","利用回数
(回)","開館日数
（日）",入館者数(人),,,,,,,,,,,,,,,,
,,,,総数,１日平均,蔵品数,,,総数,１日平均,,,,,,,,,,
平成24年度,249 ,53 ,308 ,"13,972 ",45 ,599 ,307 ,"1,327 ","90,786 ",296 ,,,,,,,,,,
25, (旧)   115,31 ,78 ,"5,680 ",73 ,599 ,307 ,"1,367 ","103,457 ",337 ,,,,,,,,,,
, (新)   185,185 ,178 ,"96,890 ",544 ,599 ,,,,,,,,,,,,,,
26,346 ,277 ,346 ,"144,864 ",418 ,599 ,308 ,"1,355 ","109,327 ",355 ,,,,,,,,,,
27,346 ,250 ,346 ,"124,135 ",359 ,599 ,308 ,"1,400 ","114,608 ",372 ,,,,,,,,,,
28,345 ,197 ,345 ,"90,391 ",262 ,599 ,308 ,"1,197 ","110,815 ",360 ,,,,,,,,,,
29,258 ,207 ,258 ,"85,937 ",333 ,922 ,308 ,"1,178 ","123,826 ",402 ,,,,,,,,,,
30,327 ,228 ,327 ,"118,429 ",362 ,922 ,307 ,"1,400 ","132,066 ",430 ,,,,,,,,,,
令和元年度,323 ,277 ,323 ,"113,753 ",352 ,922 ,299 ,"1,408 ","138,476 ",463 ,,,,,,,,,,
２,273 ,136 ,273 ,"33,482 ",123 ,922 ,289 ,"1,012 ","48,872 ",169 ,,,,,,,,,,
３,327 ,257 ,327 ,"80,497 ",246 ,922 ,310 ,"1,245 ","50,538 ",163 ,,,,,,,,,,
　資料　秋田県教育庁生涯学習課,,,,,,,,,,,,,,,,,,,,
　　注）１　平成25年度の美術ホールの開館日数について、旧美術館は４月１日から９月１日まで、新美術館は９月28日から３月31日までの日数である。,,,,,,,,,,,,,,,,,,,,
　　　　２　平成25年度の美術展示室の開館日数について、旧美術館は４月１日から６月30日まで、新美術館は９月28日から３月31日までの日数である。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年度,秋田県民会館,,,,秋田県児童会館,,,,,,,,,,,,,,,
,"開館日数
（日）","利用回数
(回)",　 利用者数（人）,,"開館日数
(日)",　 利用者数（人）,,,,,,,,,,,,,,
,,,総  数,1日平均,,総数,1日平均,,,,,,,,,,,,,
平成24年度,293 ,218 ,"167,772 ",573 ,308,"129,435",420,,,,,,,,,,,,,
25,310 ,219 ,"170,767 ",551 ,307,"122,246",398,,,,,,,,,,,,,
26,310 ,217 ,"182,185 ",588 ,308,"125,484",407,,,,,,,,,,,,,
27,313 ,208 ,"177,358 ",567 ,308,"134,398",436,,,,,,,,,,,,,
28,308 ,206 ,"184,886 ",600 ,308,"136,348",442,,,,,,,,,,,,,
29,313 ,223 ,"194,426 ",621 ,298,"116,657",391,,,,,,,,,,,,,
30,54 ,37 ,"41,585 ",770 ,194,"76,153",393,,,,,,,,,,,,,
令和元年度, - , - , - , - ,274,"127,211",464,,,,,,,,,,,,,
２, - , - , - , - ,273,"47,670",175,,,,,,,,,,,,,
３, - , - , - , - ,308,"58,900",191,,,,,,,,,,,,,
　資料　秋田県あきた未来創造部次世代・女性活躍支援課、秋田県観光文化スポーツ部文化振興課,,,,,,,,,,,,,,,,,,,,
　　注）３　秋田県民会館の開館日数は稼働日数。なお、平成30年５月31日をもって閉館。,,,,,,,,,,,,,,,,,,,,
　　　　４　秋田県児童会館は新型コロナウイルス感染拡大防止のため令和２年４月１日～５月11日まで臨時閉館。,,,,,,,,,,,,,,,,,,,,
