市町村コード,都道府県名,市町村名,事業名,年度,収益的収入(千円),収益的支出(千円),資本的収入(千円),資本的支出(千円)
052124,秋田県,大仙市,市立大曲病院事業,2005(平成17),"848,286","838,286",,"68,527"
052124,秋田県,大仙市,市立大曲病院事業,2006(平成18）,"858,226","850,226",,"106,607"
052124,秋田県,大仙市,市立大曲病院事業,2007(平成19）,"868,330","859,330",,"72,323"
052124,秋田県,大仙市,市立大曲病院事業,2008(平成20）,"884,978","874,978",,"81,981"
052124,秋田県,大仙市,市立大曲病院事業,2009(平成21）,"897,378","882,378",,"78,122"
052124,秋田県,大仙市,市立大曲病院事業,2010(平成22）,"932,421","924,421",,"96,545"
052124,秋田県,大仙市,市立大曲病院事業,2011(平成23）,"971,087","963,087","1,000","93,505"
052124,秋田県,大仙市,市立大曲病院事業,2012(平成24）,"976,586","968,423",,"92,384"
052124,秋田県,大仙市,市立大曲病院事業,2013(平成25）,"991,105","959,943",,"105,078"
052124,秋田県,大仙市,市立大曲病院事業,2014(平成26）,"861,571","846,605",395,"115,495"
052124,秋田県,大仙市,市立大曲病院事業,2015(平成27）,"885,759","847,104",,"96,268"
052124,秋田県,大仙市,市立大曲病院事業,2016(平成28）,"875,758","835,432","54,000","101,587"
052124,秋田県,大仙市,市立大曲病院事業,2017(平成29）,"840,878","823,657","49,615","102,631"
052124,秋田県,大仙市,市立大曲病院事業,2018(平成30）,"868,099","840,403","49,686","100,498"
052124,秋田県,大仙市,市立大曲病院事業,2019(令和1）,"852,468","837,069","51,259","105,437"
052124,秋田県,大仙市,市立大曲病院事業,2020(令和2）,"902,759","845,010","70,510","114,420"
052124,秋田県,大仙市,市立大曲病院事業,2021(令和3）,"920,254","854,372","157,446","200,100"
