地域コード,市町村,地域,年次,総数(所),食料品(所),飲料・飼料(所),繊維(所),衣服(所),木材・木製品(所),家具・装備品(所),パルプ・紙(所),出版・印刷(所),化学(所),石油製品(所),プラスチック(所),ゴム製品(所),皮革(所),窯業・土石(所),鉄鋼(所),非鉄金属(所),金属製品(所),一般機械(所),はん用機械(所),生産用機械(所),業務用機械(所),電子部品(所),電子部品・デバイス(所),電気機械(所),情報通信機械(所),輸送機械(所),精密機械(所),その他(所)
052124,大仙市,市内全域,1991年(平成3),372,29,11,17,97,32,6,2,17,-,1,12,-,6,25,5,-,18,8,-,-,-,-,-,57,-,4,14,11
052124,大仙市,市内全域,1992年(平成4),361,30,11,15,99,32,7,2,15,-,-,10,-,6,24,5,-,17,9,-,-,-,-,-,52,-,3,13,11
052124,大仙市,市内全域,1993年(平成5）,381,32,10,20,102,35,7,2,16,-,-,12,-,5,28,4,1,20,11,-,-,-,-,-,48,-,3,12,13
052124,大仙市,市内全域,1994年(平成6）,368,31,10,1,109,34,6,2,17,-,-,13,-,5,28,3,1,20,10,-,-,-,-,-,49,-,3,13,13
052124,大仙市,市内全域,1995年(平成7）,355,27,10,1,100,27,6,2,19,-,-,13,-,6,29,3,1,20,11,-,-,-,-,-,47,-,3,14,16
052124,大仙市,市内全域,1996年(平成8),352,30,10,1,99,28,5,1,20,-,1,13,-,6,30,3,1,21,10,-,-,-,-,-,40,-,3,16,14
052124,大仙市,市内全域,1997年(平成9),349,30,10,1,95,29,4,1,20,-,1,13,-,6,29,3,2,22,10,-,-,-,-,-,42,-,3,15,13
052124,大仙市,市内全域,1998年(平成10),357,38,9,-,98,27,6,1,17,-,1,14,-,7,28,3,2,21,13,-,-,-,-,-,40,-,3,16,13
052124,大仙市,市内全域,1999年(平成11),338,36,9,-,88,27,7,1,17,-,1,13,-,5,28,2,2,20,14,-,-,-,-,-,38,-,3,14,13
052124,大仙市,市内全域,2000年(平成12),328,38,9,-,79,27,6,1,18,-,1,13,-,5,26,3,1,20,14,-,-,-,-,-,38,-,3,12,14
052124,大仙市,市内全域,2001年(平成13),295,38,9,-,72,22,5,1,17,-,1,10,-,3,22,3,1,17,14,-,-,-,-,-,31,-,4,11,14
052124,大仙市,市内全域,2002年(平成14),266,35,9,-,60,20,5,1,14,-,1,9,-,3,20,3,3,16,15,-,-,-,16,-,7,-,5,11,13
052124,大仙市,市内全域,2003年(平成15),272,34,9,-,63,21,3,1,15,-,1,9,-,3,24,4,3,17,14,-,-,-,17,-,4,3,5,8,13
052124,大仙市,市内全域,2004年(平成16),261,33,9,-,58,21,3,1,14,-,1,9,-,3,22,3,4,17,17,-,-,-,17,-,2,1,5,9,12
052124,大仙市,市内全域,2005年(平成17),257,34,7,-,56,20,3,1,15,-,1,10,-,3,23,3,4,18,16,-,-,-,-,13,3,1,6,8,12
052124,大仙市,市内全域,2006年(平成18),239,29,8,-,56,16,4,1,12,-,1,10,-,3,19,3,4,17,14,-,-,-,-,14,4,1,5,7,11
052124,大仙市,市内全域,2007年(平成19),235,27,8,-,54,17,3,1,12,-,1,10,-,3,18,2,5,17,16,-,-,-,-,12,4,3,4,6,12
052124,大仙市,市内全域,2008年(平成20),243,29,9,55,-,18,3,1,13,-,1,10,-,3,18,2,4,18,-,2,16,6,-,14,4,2,2,-,13
052124,大仙市,市内全域,2009年(平成21),219,26,9,47,-,17,3,1,11,-,1,9,-,3,17,2,3,18,-,2,10,6,-,12,5,3,3,-,11
052124,大仙市,市内全域,2010年(平成22),212,26,9,47,-,16,1,1,11,-,1,9,-,3,16,2,3,18,-,2,8,6,-,12,4,4,3,-,10
052124,大仙市,市内全域,2011年(平成23),217,31,10,40,-,12,3,-,13,1,1,8,-,3,13,3,3,18,-,2,9,7,-,16,6,3,3,-,12
052124,大仙市,市内全域,2012年(平成24),209,26,10,46,-,12,1,-,11,-,1,12,-,3,15,3,3,17,-,2,8,6,-,13,5,2,3,-,10
052124,大仙市,市内全域,2013年(平成25),205,30,10,45,-,13,1,-,10,-,1,8,-,3,14,3,2,19,-,1,6,6,-,12,6,2,3,-,10
052124,大仙市,市内全域,2014年(平成26),199,26,10,45,-,13,1,-,10,-,1,8,-,3,12,3,2,19,-,2,5,6,-,12,6,1,3,-,11
052124,大仙市,市内全域,2015年(平成27)/2016年(平成28),202,28,9,43,-,14,3,-,9,-,1,8,-,3,14,4,1,17,-,1,8,8,-,11,6,2,2,-,10
052124,大仙市,市内全域,2017年(平成29),193,26,10,41,-,13,-,-,9,-,2,8,-,3,12,3,1,18,-,1,7,6,-,13,6,2,3,-,9
052124,大仙市,市内全域,2018年(平成30),192,26,11,40,-,13,-,-,9,-,2,8,-,3,13,3,-,16,-,2,7,7,-,14,5,2,3,-,8
052124,大仙市,市内全域,2019年(平成31/令和1),191,22,12,39,-,12,-,-,9,-,2,7,-,3,13,3,-,17,-,1,7,7,-,16,6,3,3,-,9
052124,大仙市,市内全域,2020年(令和2),183,24,10,36,-,9,-,-,8,-,2,8,-,3,13,3,-,16,-,2,9,6,-,15,5,2,3,-,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
