市町村コード,都道府県名,市町村名,年度,地域,総評価額(%),田(%),畑(%),宅地(%),池沼(%),山林(%),原野(%),雑種地・その他(%)
052124,秋田県,大仙市,2005(平成17),市全域,100,7,0.3,89,0,1.4,0.1,2.1
052124,秋田県,大仙市,2006(平成18）,市全域,100,7.3,0.3,87.9,0,1.5,0.1,2.9
052124,秋田県,大仙市,2007(平成19）,市全域,100,7.5,0.3,87.7,0,1.5,0.1,2.9
052124,秋田県,大仙市,2008(平成20）,市全域,100,7.4,0.3,85.4,0,1.5,0.1,5.3
052124,秋田県,大仙市,2009(平成21）,市全域,100,7.8,0.3,87.1,0,1.6,0.1,3.1
052124,秋田県,大仙市,2010(平成22）,市全域,100,8.1,0.3,86.6,0,1.7,0.1,3.1
052124,秋田県,大仙市,2011(平成23）,市全域,100,8.4,0.3,86.1,0,1.7,0.2,3.3
052124,秋田県,大仙市,2012(平成24）,市全域,100,8.9,0.3,85.4,0,1.9,0.2,3.3
052124,秋田県,大仙市,2013(平成25）,市全域,100,9.3,0.3,85,0,1.9,0.2,3.3
052124,秋田県,大仙市,2014(平成26）,市全域,100,9.6,0.3,84.6,0,2,0.2,3.2
052124,秋田県,大仙市,2015(平成27）,市全域,100,10.3,0.4,83.9,0,2.2,0.2,3.1
052124,秋田県,大仙市,2016(平成28）,市全域,100,10.5,0.4,83.4,0,2.2,0.2,3.2
052124,秋田県,大仙市,2017(平成29）,市全域,100,10.7,0.4,83.2,0,2.3,0.2,3.2
052124,秋田県,大仙市,2018(平成30）,市全域,100,11.1,0.4,82.5,0,2.4,0.2,3.4
052124,秋田県,大仙市,2019(令和1）,市全域,100,11.2,0.4,82.4,0,2.4,0.2,3.4
052124,秋田県,大仙市,2020(令和2）,市全域,100,11.3,0.4,82.4,0,2.4,0.2,3.3
052124,秋田県,大仙市,2021(令和3）,市全域,100,11.7,0.4,81.8,0,2.5,0.2,3.4
052124,秋田県,大仙市,2022(令和4）,市全域,100,11.6,0.4,81.7,0,2.5,0.2,3.6
052124,秋田県,大仙市,2005(平成17),大曲地域,100,2.2,0.1,95.7,0,0.1,0,1.9
052124,秋田県,大仙市,2006(平成18）,大曲地域,100,2.5,0.1,95,0,0.1,0,2.3
