観測点,年次,1月(℃),2月(℃),3月(℃),4月(℃),5月(℃),6月(℃),7月(℃),8月(℃),9月(℃),10月(℃),11月(℃),12月(℃)
大曲観測所,1985,-4.9,-1.6,0.4,9.6,14.5,18.4,22.3,26.3,18.5,11.8,6.2,-1
大曲観測所,1986,-3.5,-3.7,0.9,8,13.5,18.6,20.3,23.9,19.1,10.9,4.5,1.4
大曲観測所,1987,-2.5,-1.8,1.5,7.8,14.3,19.8,22.5,23.3,19.5,0,6,0.2
大曲観測所,1988,-1.3,-3.9,0.8,8.1,13.3,19.3,20.6,25.2,19.4,11.2,3.8,0.8
大曲観測所,1989,-0.4,0.2,4.2,9,14.3,18.2,23,24.4,19.1,11.9,8.1,0.7
大曲観測所,1990,-3.3,0.7,3.9,9.3,14.6,19.9,0,24.7,20.4,13.7,8.5,3.4
大曲観測所,1991,-1.8,-1.1,2,9.5,14.9,20.7,21.9,22.7,0,13.7,0,1.1
大曲観測所,1992,-0.6,-1.2,2.3,8.9,12.6,18.8,22.4,23.8,17.9,12.7,6.5,1.4
大曲観測所,1993,-0.7,0.5,2.4,7,13.4,18.2,20.7,21.2,18.3,10.9,7.3,0.9
大曲観測所,1994,-2.5,-0.4,0.6,8.3,15.1,18.8,24.6,26.1,21,13.7,6,0.5
大曲観測所,1995,-2.6,-1,2.2,9,14.9,18.4,22.4,23.7,18.1,14,5.6,0.4
大曲観測所,1996,-2.1,-1.6,1.2,6.5,12.8,18.8,22.9,23.3,18.7,12.6,6.1,0.9
大曲観測所,1997,-0.7,-0.7,2.4,8.9,14.6,19.3,23.6,23.4,18.6,11,7.8,1.5
大曲観測所,1998,-2.9,-0.8,2.9,11.5,16.1,18.7,23.4,23,21.5,14.8,5.7,1.4
大曲観測所,1999,-1.6,-1.5,1.5,9.7,14.5,19.6,24.3,26.4,21.1,13.2,6.8,0.7
大曲観測所,2000,0.2,-1.2,1.1,8.3,16,19.7,24,25.9,20.8,12.7,6.2,0
大曲観測所,2001,-3.1,-2.7,1.5,9.7,15.6,18.8,23.5,23.4,19.2,13.1,5.6,-1.1
大曲観測所,2002,-1.2,-0.6,3.4,11,14,18.6,23.4,23.6,19.2,12.9,2.5,-0.9
大曲観測所,2003,-2,-1.1,1.7,9.3,15.7,19.7,20.4,22.6,19.1,11.9,7.8,2.9
大曲観測所,2004,-1.3,-0.2,2.5,8.6,15.7,19.5,23.8,23.3,20.3,12.7,9.1,2.5
大曲観測所,2005,-1.5,-2.2,0.9,7.7,13.3,21.1,21.9,25.1,19.9,13.7,6.6,-1
大曲観測所,2006,-2.9,-1,1.5,7.2,14.7,19.5,21.8,25.5,19.3,13,7,1.2
大曲観測所,2007,0.2,0.4,2.2,7.9,14.7,20.6,21.9,24.2,21.7,13.1,5.7,0.6
大曲観測所,2008,-2.6,-2.1,3.5,10.5,15,19.3,23.5,23.2,19.6,13.7,6.1,2.3
大曲観測所,2009,-0.6,-0.6,2.6,9.1,15.5,19.9,22.5,23.1,18.3,13,3.9,1.4
大曲観測所,2010,-1,-1.7,1.5,7.3,14.3,20.7,24.4,26.6,20.7,14,6.9,2.1
大曲観測所,2011,-3,-1.4,0.3,7,14.3,19.5,24.7,24.7,20.6,13,7.9,0.1
大曲観測所,2012,-3.2,-3.1,1.3,8.5,14.8,19.7,23.3,26.2,23.3,13.8,6.6,-0.6
大曲観測所,2013,-2.8,-2.2,1.2,6.7,14.3,21.2,23,24.4,20.2,14.5,5.3,1.1
大曲観測所,2014,-2,-1.8,1.7,8.2,15.2,21.3,23.7,23.9,18.6,12.1,7.1,-0.4
大曲観測所,2015,-1.1,0.4,4.2,10.4,16.4,19.8,23.6,24,19.2,11.5,8.2,2.3
大曲観測所,2016,-1.2,-0.7,3.1,9.6,16.7,19.6,23.1,25.4,21.3,12.4,5,1.3
大曲観測所,2017,-1.2,-0.5,1.7,9.2,15.8,17.5,24.2,24.1,18.8,12.8,5.4,-0.3
大曲観測所,2018,-2.2,-3.3,2.7,9.6,15.4,19.7,25.2,24.1,19.6,14,7.4,0.7
大曲観測所,2019,-1.8,-1,3.3,8.4,16.5,19.7,23.8,25.8,20.8,15,6.3,1.6
大曲観測所,2020,0.8,0.8,5.3,7.7,15.4,20.8,22.7,25.8,22.2,13.4,7.2,0.6
大曲観測所,2021,-2.4,-0.8,4,9.2,15.1,21.1,25.4,24.8,19.8,13.8,8.2,1.2
大曲観測所,2022,-1.9,-1.3,2.6,10,16,20,25.3,24.2,21.5,12.8,8,0.7
